Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-09-16;28,99;29,19;28,61;29,17;578.151;16.798.060
2021-09-15;29,01;29,22;28,64;28,89;598.367;17.315.814
2021-09-14;28,41;29,13;28,05;29,03;490.821;14.090.041
2021-09-13;29,96;30,00;28,44;28,49;596.373;17.157.245
2021-09-10;29,81;30,07;29,55;29,81;461.078;13.741.271
2021-09-09;29,79;29,90;29,25;29,62;389.538;11.542.549
2021-09-08;30,01;30,41;29,67;29,90;633.025;19.000.361
2021-09-07;29,15;30,12;29,00;30,12;909.069;27.177.228
2021-09-06;28,50;29,62;28,49;29,17;811.262;23.786.694
2021-09-03;27,89;28,46;27,75;28,25;397.029;11.172.525
2021-09-02;28,58;28,93;27,87;27,97;482.636;13.568.299
2021-09-01;28,30;28,74;28,05;28,65;442.032;12.592.700
2021-08-31;29,05;29,28;28,02;28,21;922.755;26.188.375
2021-08-30;28,82;30,00;28,59;29,41;833.846;24.581.878
2021-08-27;28,83;29,10;28,18;28,67;680.223;19.479.544
2021-08-26;27,58;28,97;27,15;28,75;676.983;19.215.555
2021-08-25;28,14;28,49;27,61;27,68;422.404;11.813.778
2021-08-24;27,61;28,29;27,61;28,08;482.759;13.542.398
2021-08-23;27,58;27,77;27,11;27,45;422.580;11.564.785
2021-08-20;27,62;27,80;26,98;27,43;433.843;11.853.955
2021-08-19;27,35;27,60;27,08;27,60;302.285;8.290.717
2021-08-18;28,18;28,30;27,75;27,75;316.875;8.826.442
2021-08-17;27,12;28,20;27,01;28,16;590.883;16.435.308
2021-08-16;28,10;28,13;27,27;27,31;349.770;9.624.422
2021-08-13;28,18;28,45;27,90;28,28;430.265;12.133.909
2021-08-12;27,79;28,15;27,31;28,10;628.542;17.491.181
2021-08-11;27,88;28,12;27,18;27,60;766.271;21.125.834
2021-08-10;26,83;28,28;26,61;27,70;1.293.157;35.765.253
2021-08-09;25,99;26,95;25,83;26,54;1.027.770;27.198.882
2021-08-06;26,80;27,13;25,85;25,96;851.224;22.339.646
2021-08-05;25,88;26,66;25,65;26,66;1.201.570;31.678.409
2021-08-04;25,85;25,95;25,10;25,76;1.811.706;46.323.340
2021-08-03;28,48;28,49;25,60;25,61;3.371.982;88.553.148
2021-08-02;28,40;28,72;28,05;28,49;633.887;18.039.936
2021-07-30;28,88;28,93;28,33;28,35;751.395;21.403.899
2021-07-29;29,44;29,80;29,18;29,29;441.514;12.993.964
2021-07-28;28,48;29,40;28,46;29,17;615.119;17.867.134
2021-07-27;28,40;29,02;28,28;28,58;308.241;8.819.617
2021-07-26;28,90;29,32;28,30;28,48;729.956;20.907.017
2021-07-23;29,45;29,80;29,12;29,25;649.242;19.063.871
2021-07-22;29,20;29,58;28,82;29,45;773.018;22.614.538
2021-07-21;29,11;29,36;28,85;29,07;433.762;12.623.527
2021-07-20;28,99;29,78;28,74;28,92;776.166;22.603.271
2021-07-19;29,27;29,27;28,21;28,76;728.942;20.906.074
2021-07-16;29,19;29,84;29,01;29,42;762.323;22.442.683
2021-07-15;30,10;30,33;28,51;28,94;868.478;25.322.713
2021-07-14;29,92;30,57;29,23;30,44;952.252;28.590.257
2021-07-13;28,84;29,95;28,54;29,88;1.363.790;40.397.391
2021-07-12;28,75;29,55;28,51;29,03;1.262.157;36.625.993
2021-07-09;27,88;29,04;27,38;28,12;1.820.401;51.651.521
2021-07-08;29,60;29,80;27,03;27,69;5.230.909;147.252.942
2021-07-07;32,13;32,69;31,64;32,30;594.915;19.227.566
2021-07-06;30,50;32,04;30,49;31,94;674.345;21.306.692
2021-07-05;31,03;31,13;30,46;30,52;656.904;20.151.747
2021-07-02;31,55;31,59;30,85;31,04;1.067.887;33.209.134
2021-07-01;31,95;32,30;31,20;31,65;479.178;15.166.023
2021-06-30;32,40;32,86;31,62;31,72;651.833;20.808.986
2021-06-29;32,18;32,90;32,12;32,18;545.009;17.648.944
2021-06-28;32,76;32,80;31,79;32,22;823.693;26.632.005
2021-06-25;33,80;33,94;33,32;33,59;421.877;14.178.307
2021-06-24;33,00;34,08;32,93;33,75;687.833;23.163.924
2021-06-23;33,59;33,88;32,95;32,95;385.321;12.820.347
2021-06-22;32,55;33,55;32,45;33,39;584.995;19.434.030
2021-06-21;33,73;33,74;32,64;32,84;736.986;24.332.077
2021-06-18;32,95;34,08;32,86;33,93;2.192.558;74.144.595
2021-06-17;32,40;33,03;32,07;32,75;1.115.561;36.382.764
2021-06-16;31,90;32,21;31,36;32,05;624.971;19.931.393
2021-06-15;32,67;32,92;31,91;31,91;935.990;30.208.248
2021-06-14;30,61;33,27;30,37;32,39;2.246.640;72.418.221
2021-06-11;30,30;30,72;30,13;30,60;463.369;14.139.104
2021-06-10;31,02;31,09;29,67;30,15;910.669;27.477.430
2021-06-09;29,95;30,80;29,29;30,79;1.140.151;34.423.377
2021-06-08;30,42;30,55;29,96;29,96;994.052;30.005.952
2021-06-07;31,15;31,30;30,35;30,79;501.881;15.423.834
2021-06-04;30,40;31,01;30,08;30,95;871.931;26.638.860
2021-06-03;31,11;31,18;30,23;30,33;678.159;20.713.775
2021-06-02;32,20;32,20;30,83;30,90;942.172;29.472.022
2021-06-01;32,37;32,53;31,84;31,95;732.755;23.516.100
2021-05-31;32,08;32,57;31,92;32,37;355.996;11.511.735
2021-05-28;32,71;32,72;31,82;32,17;698.834;22.541.201
2021-05-27;32,41;32,90;32,16;32,83;1.272.519;41.699.655
