Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2025-07-11;269,30;269,50;266,40;267,10;56.383;15.090.962
2025-07-10;271,90;272,10;269,10;269,70;289.220;78.041.519
2025-07-09;270,00;271,90;267,20;271,80;301.025;81.531.738
2025-07-08;274,90;276,00;270,10;270,10;277.102;75.301.908
2025-07-07;271,60;275,00;271,00;275,00;185.881;50.837.829
2025-07-04;271,20;273,00;270,60;271,00;190.235;51.611.058
2025-07-03;268,90;272,00;268,50;271,90;239.581;64.857.657
2025-07-02;275,70;276,30;267,30;268,90;353.042;95.070.142
2025-07-01;278,10;278,60;274,80;274,80;450.103;124.309.027
2025-06-30;278,00;279,10;275,80;276,90;265.497;73.577.720
2025-06-27;277,40;278,90;275,10;277,40;302.950;84.050.537
2025-06-26;274,90;278,70;274,30;276,40;340.967;94.415.829
2025-06-25;272,20;273,70;270,60;272,50;334.544;91.138.131
2025-06-24;274,80;275,50;270,10;271,00;369.204;100.269.617
2025-06-23;270,20;275,10;269,70;272,10;266.318;72.590.503
2025-06-20;267,80;272,00;267,70;272,00;953.075;258.459.861
2025-06-19;267,00;268,70;266,50;266,80;195.249;52.184.220
2025-06-18;270,20;270,60;268,10;269,20;245.849;66.208.273
2025-06-17;270,90;271,50;268,10;270,20;267.024;72.075.817
2025-06-16;269,00;274,40;268,10;273,50;353.851;96.512.763
2025-06-13;269,50;270,20;267,30;267,90;441.546;118.452.430
2025-06-12;273,70;275,50;272,00;272,00;278.323;75.922.180
2025-06-11;275,50;278,20;270,00;274,70;430.210;118.333.444
2025-06-10;281,90;282,40;277,90;277,90;305.255;85.159.956
2025-06-09;285,60;285,80;281,60;281,70;280.584;79.306.162
2025-06-06;282,60;285,80;282,20;285,40;182.364;51.956.108
2025-06-05;281,70;284,80;281,70;282,40;196.723;55.655.857
2025-06-04;281,90;282,60;279,10;282,20;290.234;81.794.245
2025-06-03;286,70;287,30;280,30;281,20;362.877;102.419.290
2025-06-02;283,30;286,20;282,10;285,50;227.680;64.775.653
2025-05-30;284,90;287,80;283,50;283,50;464.194;131.869.261
2025-05-29;288,00;288,20;282,80;283,70;239.397;68.012.961
2025-05-28;288,40;289,40;285,90;286,00;278.065;79.713.147
2025-05-27;289,30;291,80;288,70;288,80;304.052;88.071.439
2025-05-26;290,00;290,00;287,90;288,80;188.886;54.572.365
2025-05-23;287,30;289,50;284,20;287,30;407.568;116.984.695
2025-05-22;289,10;289,10;285,10;287,50;297.945;85.551.590
2025-05-21;285,70;289,00;285,00;288,80;383.206;110.350.177
2025-05-20;285,50;287,90;284,30;286,00;416.592;119.260.748
2025-05-19;283,80;285,40;282,10;284,90;294.661;83.800.611
2025-05-16;282,90;284,60;281,20;284,30;435.840;123.546.490
2025-05-15;278,00;280,90;277,10;280,10;474.437;132.636.561
2025-05-14;279,60;283,30;279,20;281,60;347.754;97.987.768
2025-05-13;281,50;282,10;278,10;279,80;257.499;72.007.770
2025-05-12;291,20;291,80;276,50;280,50;498.145;140.280.247
2025-05-09;287,30;289,90;287,30;289,10;352.051;101.777.263
2025-05-08;292,40;293,60;285,90;287,00;399.758;115.058.091
2025-05-07;292,10;293,00;289,00;291,10;256.202;74.555.842
2025-05-06;294,10;294,20;288,80;291,70;429.700;125.286.765
2025-05-05;289,40;294,30;289,10;293,00;331.094;96.887.044
2025-05-02;283,50;291,10;281,30;289,40;587.267;169.197.048
2025-04-30;275,10;283,50;272,90;283,50;757.830;213.485.626
2025-04-29;268,00;275,80;261,90;273,30;1.049.769;282.755.560
2025-04-28;283,10;283,80;274,90;277,70;577.170;160.472.588
2025-04-25;281,60;283,90;278,90;282,80;467.842;132.277.354
2025-04-24;280,30;282,30;279,70;280,90;373.438;104.873.544
2025-04-23;279,10;282,60;276,40;280,20;595.840;166.774.175
2025-04-22;271,60;277,80;270,70;277,40;411.567;113.705.876
2025-04-17;269,50;271,70;268,40;271,40;428.843;116.094.205
2025-04-16;271,00;271,30;264,90;269,30;548.467;147.357.974
2025-04-15;269,70;271,20;268,60;271,10;846.092;228.446.174
2025-04-14;269,40;270,80;266,90;268,00;658.072;176.902.306
2025-04-11;263,90;266,50;260,10;265,40;718.760;189.732.727
2025-04-10;259,50;264,40;258,00;261,30;711.397;185.534.191
2025-04-09;256,60;259,40;250,50;251,20;889.460;224.735.706
2025-04-08;249,40;261,10;249,30;259,70;748.864;192.735.115
2025-04-07;252,20;259,40;245,10;247,50;1.916.385;480.153.288
2025-04-04;283,20;284,70;260,20;260,20;1.285.269;342.613.503
2025-04-03;276,80;282,50;274,80;280,40;643.481;179.775.809
2025-04-02;274,90;276,70;272,60;276,70;353.083;97.282.214
2025-04-01;273,80;276,00;272,50;275,80;405.707;111.599.811
2025-03-31;271,10;273,90;270,10;272,10;563.748;153.345.970
2025-03-28;267,60;271,60;266,50;271,60;440.453;119.000.905
2025-03-27;265,10;268,40;264,20;268,40;299.519;80.077.792
2025-03-26;266,80;268,50;264,70;264,70;356.812;94.739.472
2025-03-25;264,10;269,20;263,50;266,50;385.041;102.698.407
2025-03-24;267,80;269,50;262,70;263,10;358.978;94.812.470
2025-03-21;264,70;268,60;264,10;267,20;838.589;223.940.742
2025-03-20;272,90;272,90;264,80;266,30;592.853;158.038.414
2025-03-19;270,40;274,60;270,20;272,00;595.442;161.897.709
2025-03-18;270,60;271,40;269,00;270,80;332.132;89.815.361
2025-03-17;269,80;272,20;268,80;270,20;331.295;89.566.045
2025-03-14;263,80;270,10;262,90;270,00;465.099;125.135.043
2025-03-13;262,60;265,00;261,60;263,90;336.003;88.580.617
2025-03-12;260,50;265,10;260,50;263,40;327.609;86.274.762
2025-03-11;265,50;266,30;260,20;260,50;543.779;142.581.603
2025-03-10;258,80;267,00;258,10;263,20;760.019;199.676.656
2025-03-07;254,20;257,70;253,30;257,30;485.784;124.632.354
2025-03-06;256,00;257,10;250,80;255,90;587.700;149.691.015
2025-03-05;257,10;259,50;254,60;255,90;397.935;102.214.542
2025-03-04;256,50;259,20;255,00;255,00;389.137;99.745.401
2025-03-03;251,00;258,10;249,90;257,30;390.921;100.007.939
2025-02-28;252,30;252,80;248,70;251,20;665.336;166.953.403
2025-02-27;251,50;253,00;249,70;252,70;294.538;74.207.751
2025-02-26;246,60;252,50;246,50;252,00;298.390;74.885.418
2025-02-25;244,80;247,00;244,30;246,30;302.519;74.393.067
2025-02-24;246,00;247,40;243,90;244,80;339.083;83.187.880
2025-02-21;248,10;248,10;243,70;246,40;408.377;100.210.715
2025-02-20;249,60;250,50;246,20;247,30;289.817;71.816.511
2025-02-19;249,30;250,60;246,80;248,20;264.604;65.711.590
2025-02-18;246,00;248,50;245,80;248,40;307.629;76.243.594
2025-02-17;244,40;245,50;243,10;245,20;185.838;45.513.647
2025-02-14;246,70;247,20;244,40;244,70;521.033;127.824.317
2025-02-13;245,60;248,80;243,50;248,80;441.838;109.289.980
2025-02-12;243,50;246,30;242,30;245,20;401.231;98.211.569
2025-02-11;240,90;243,90;240,50;241,70;245.899;59.553.447
2025-02-10;240,90;242,60;240,10;240,90;284.981;68.726.959
2025-02-07;240,20;242,30;239,40;240,60;320.238;77.166.897
2025-02-06;241,50;242,60;239,10;240,90;289.693;69.785.248
2025-02-05;239,50;241,50;238,90;241,20;192.202;46.286.925
2025-02-04;239,10;240,90;238,50;240,30;168.029;40.348.019
2025-02-03;235,70;241,80;235,60;239,90;271.747;65.106.240
2025-01-31;240,50;240,80;238,10;238,40;240.317;57.411.547
2025-01-30;238,80;240,70;237,30;240,70;191.148;45.794.787
2025-01-29;238,90;239,60;237,80;237,80;215.647;51.353.825
2025-01-28;237,00;240,20;236,90;238,50;304.170;72.657.677
2025-01-27;234,70;237,80;234,10;237,80;287.622;68.023.656
2025-01-24;235,70;235,70;232,80;234,90;252.178;59.175.465
2025-01-23;237,30;237,30;233,80;234,80;323.330;75.975.299
2025-01-22;233,30;234,90;232,10;234,90;280.268;65.692.574
2025-01-21;229,40;232,00;229,20;231,80;187.558;43.382.008
2025-01-20;230,20;230,90;229,50;229,60;149.112;34.288.171
2025-01-17;229,90;231,80;229,60;230,30;375.147;86.411.902
2025-01-16;229,70;230,00;227,00;229,10;252.152;57.620.446
2025-01-15;229,00;231,60;227,80;229,20;316.292;72.617.819
2025-01-14;226,60;229,30;226,00;228,70;276.150;62.982.766
2025-01-13;224,80;226,40;224,80;225,90;234.394;52.908.983
2025-01-10;228,80;229,40;225,50;225,50;228.051;51.593.703
2025-01-09;225,70;229,10;225,70;228,70;177.492;40.495.439
2025-01-08;223,00;226,20;222,80;225,90;292.116;65.811.394
2025-01-07;220,30;222,80;219,90;222,80;310.013;68.796.562
2025-01-06;222,90;223,00;218,50;220,30;310.578;68.423.408
2025-01-03;224,10;224,70;221,70;222,00;152.550;33.960.725
2025-01-02;221,30;223,80;220,60;223,80;287.200;64.005.096
2024-12-30;224,10;224,10;222,40;222,40;139.286;31.024.305
2024-12-27;220,70;223,60;220,10;223,60;181.945;40.553.710
2024-12-23;222,90;223,60;221,20;221,20;214.289;47.547.838
2024-12-20;223,30;224,30;221,00;223,80;765.910;170.777.503
2024-12-19;222,60;224,60;222,50;224,60;354.593;79.532.102
2024-12-18;224,80;225,70;223,90;224,40;237.220;53.279.200
2024-12-17;223,90;225,80;223,60;225,30;277.823;62.503.426
2024-12-16;223,10;224,90;221,80;224,40;266.298;59.681.309
2024-12-13;222,50;223,50;221,70;222,90;274.206;61.103.332
2024-12-12;223,20;224,20;221,90;222,50;428.471;95.495.481
2024-12-11;221,50;223,20;221,00;223,00;220.290;49.053.044
2024-12-10;221,00;221,90;220,40;221,50;314.705;69.668.273
2024-12-09;223,60;223,60;220,10;220,50;197.790;43.687.516
2024-12-06;223,40;223,70;221,80;222,70;190.627;42.475.479
2024-12-05;221,60;225,60;221,40;224,10;305.709;68.534.490
2024-12-04;220,60;222,50;220,30;221,40;268.810;59.541.226
2024-12-03;221,40;222,00;218,50;220,60;260.490;57.367.993
2024-12-02;221,10;223,20;219,80;221,90;302.702;67.170.751
2024-11-29;219,70;222,00;218,90;221,50;268.566;59.355.898
