Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2025-07-11;189,48;189,60;188,60;189,02;17.338;3.277.268
2025-07-10;188,92;190,30;188,88;189,96;14.465;2.740.648
2025-07-09;188,18;190,28;188,06;189,14;33.427;6.327.041
2025-07-08;188,08;189,08;187,98;188,42;10.732;2.020.687
2025-07-07;188,14;189,00;187,90;188,18;13.965;2.630.637
2025-07-04;188,08;188,20;187,36;187,52;20.061;3.765.145
2025-07-03;186,82;189,06;186,54;188,94;24.621;4.618.712
2025-07-02;186,20;187,00;184,92;186,50;26.891;4.999.400
2025-07-01;187,02;187,02;184,90;185,56;55.537;10.341.846
2025-06-30;187,58;188,22;186,82;187,04;29.285;5.496.350
2025-06-27;186,68;187,44;186,24;187,32;69.673;13.025.747
2025-06-26;185,50;186,14;184,74;185,80;28.533;5.292.412
2025-06-25;185,96;187,00;185,82;185,82;17.027;3.172.183
2025-06-24;185,32;185,58;184,62;185,24;22.304;4.129.644
2025-06-23;182,48;184,00;182,46;182,88;20.621;3.774.601
2025-06-20;183,04;184,82;182,00;182,90;29.368;5.386.105
2025-06-19;183,50;183,54;181,52;182,02;17.101;3.126.760
2025-06-18;183,72;184,68;183,42;184,02;24.116;4.435.325
2025-06-17;183,56;184,50;182,94;184,22;28.186;5.174.515
2025-06-16;182,72;184,46;182,32;184,18;32.224;5.897.133
2025-06-13;181,7337;183,6911;181,6339;182,9121;41.159;7.511.282
2025-06-12;184,2303;184,3502;181,7537;183,8509;40.259;7.370.327
2025-06-11;186,2876;186,9866;185,7483;186,0279;36.489;6.797.964
2025-06-10;185,7483;186,1078;185,1291;185,229;41.206;7.647.277
2025-06-09;184,9693;186,2676;184,7496;185,6284;22.469;4.167.923
2025-06-06;184,0106;186,3275;183,8109;185,4287;28.985;5.351.376
2025-06-05;185,0892;185,7683;183,3715;185,7683;22.339;4.131.157
2025-06-04;184,9294;185,4687;183,751;184,8295;22.669;4.189.905
2025-06-03;182,3729;184,7896;181,7337;184,6897;32.203;5.898.208
2025-06-02;180,815;182,273;179,8563;181,4741;67.673;12.245.781
2025-05-30;182,4927;183,2916;181,4341;182,233;20.377;3.722.887
2025-05-29;187,2463;187,8055;182,6725;182,9521;18.576;3.461.131
2025-05-28;183,6911;184,9094;182,972;184,0106;29.983;5.513.056
2025-05-27;181,2344;182,9521;180,775;182,8322;23.399;4.257.033
2025-05-26;180,4754;181,4741;180,4754;181,0147;6.389;1.156.761
2025-05-23;181,1745;181,4541;177,5594;179,2171;39.398;7.055.881
2025-05-22;181,4741;182,8322;180,3156;182,3729;26.117;4.741.033
2025-05-21;182,253;183,8708;181,0546;183,6312;21.048;3.836.604
2025-05-20;184,2503;185,0293;183,7909;184,3102;22.284;4.107.641
2025-05-19;182,8322;184,6897;181,3742;184,2703;52.693;9.633.535
2025-05-16;184,6298;186,1078;184,51;186,1078;22.605;4.189.319
2025-05-15;184,2303;185,3888;183,1318;185,3888;41.728;7.684.954
2025-05-14;184,5699;184,8096;182,7523;184,6697;63.235;11.639.705
2025-05-13;181,5739;184,5499;181,2943;184,2703;47.606;8.688.308
2025-05-12;181,0746;183,1718;180,1359;181,2544;90.140;16.392.756
2025-05-09;173,7645;174,4636;172,0868;173,0056;45.447;7.896.051
2025-05-08;173,0854;173,7845;171,2679;173,4849;56.078;9.694.019
2025-05-07;170,1295;170,5489;168,5316;168,9111;23.876;4.052.294
2025-05-06;170,4091;170,5089;168,1721;169,9896;44.598;7.557.693
2025-05-05;171,2679;171,7273;170,1295;171,5875;32.159;5.502.970
2025-05-02;170,0695;171,967;169,5902;171,967;50.067;8.531.210
2025-04-30;166,1948;166,7341;162,5397;165,7754;30.519;5.039.446
2025-04-29;165,6955;166,5143;164,2974;165,4158;34.783;5.761.840
2025-04-28;166,2347;166,794;163,9578;164,0777;36.727;6.093.924
2025-04-25;165,6755;165,6755;163,4984;164,3173;29.808;4.902.234
2025-04-24;159,2242;163,2188;157,8461;162,9392;33.059;5.304.743
2025-04-23;158,8447;162,6596;158,645;160,3827;60.496;9.658.628
2025-04-22;152,1938;154,5705;151,5147;154,1311;29.460;4.502.237
2025-04-17;157,6264;158,4653;154,93;155,8488;15.401;2.420.231
2025-04-16;157,7462;160,1829;156,9473;158,8248;30.894;4.880.589
2025-04-15;161,3613;163,5384;160,2828;162,32;42.120;6.824.240
2025-04-14;161,2814;164,2774;160,7821;160,862;44.796;7.266.257
2025-04-11;159,2642;159,3241;154,6305;156,6677;49.969;7.859.681
2025-04-10;167,4731;167,7726;158,8847;158,8847;120.566;19.747.509
2025-04-09;150,6159;153,5919;146,9209;151,4548;88.029;13.262.024
2025-04-08;156,1684;162,2202;156,0685;159,5238;125.467;19.842.570
2025-04-07;145,6027;161,5211;144,664;153,2723;207.643;31.090.252
2025-04-04;162,2401;163,2987;155,2496;157,0272;180.662;28.872.309
2025-04-03;167,1535;168,1721;162,3001;164,4372;86.040;14.189.779
2025-04-02;174,4236;174,7831;172,0069;174,7831;46.353;8.054.972
2025-04-01;173,3251;174,5634;171,7473;174,2638;59.183;10.251.150
2025-03-31;170,429;171,4277;169,011;171,4277;115.981;19.790.047
2025-03-28;177,2598;178,2984;173,1653;173,3451;41.345;7.284.897
2025-03-27;179,3969;180,036;177,7591;179,0773;35.497;6.360.149
2025-03-26;182,5526;182,7523;179,8363;180,1359;37.909;6.878.760
2025-03-25;181,4142;182,233;180,8549;181,7737;44.643;8.101.562
2025-03-24;179,297;181,4341;178,9974;181,2544;61.098;11.021.950
2025-03-21;176,1413;176,5408;174,124;176,2412;29.740;5.212.616
2025-03-20;177,10;178,4981;175,1227;176,4209;36.178;6.403.828
2025-03-19;173,5448;176,0614;173,5049;175,6819;39.395;6.874.877
2025-03-18;175,4822;175,8617;172,7259;173,385;39.394;6.865.105
2025-03-17;174,883;176,6606;174,5235;175,0428;37.381;6.548.512
2025-03-14;173,5727;175,948;172,954;175,3093;100.861;17.581.288
2025-03-13;173,7324;175,449;172,3352;172,7144;30.686;5.333.876
2025-03-12;173,2534;176,2474;172,6546;175,2494;90.023;15.691.684
2025-03-11;173,5927;174,2314;171,2773;172,455;126.104;21.828.456
2025-03-10;179,9001;179,9001;174,5508;175,2693;123.873;21.904.205
2025-03-07;180,5188;181,1376;177,425;177,5647;112.139;20.147.952
2025-03-06;184,3312;184,5308;181,3172;182,5548;70.086;12.831.434
2025-03-05;186,5667;186,8661;182,2554;182,3552;75.267;13.930.620
2025-03-04;189,1216;189,5009;185,1895;185,8482;142.666;26.808.341
2025-03-03;195,3492;195,449;191,6565;192,8142;64.151;12.471.118
2025-02-28;192,2154;193,4729;189,3811;192,6945;78.303;15.006.474
2025-02-27;196,6665;198,3631;194,2314;196,3472;40.413;7.950.820
2025-02-26;196,3272;197,3651;195,5687;196,9859;39.279;7.717.541
2025-02-25;197,5048;197,9639;193,6326;193,7324;79.902;15.657.224
2025-02-24;200,7983;201,5967;198,3432;199,6007;82.315;16.525.992
2025-02-21;204,0917;205,5887;203,2933;203,7923;28.142;5.756.154
2025-02-20;205,5388;205,9879;203,2434;203,6925;50.465;10.367.344
2025-02-19;206,0877;206,6366;205,1396;206,3871;50.226;10.348.933
2025-02-18;206,0877;206,6865;204,7404;205,1396;71.879;14.794.804
2025-02-17;205,3891;205,5887;204,94;205,2893;26.630;5.467.618
2025-02-14;204,5907;204,6406;203,4929;203,7424;39.849;8.127.301
2025-02-13;202,8941;204,4909;201,9959;204,0418;49.838;10.117.095
2025-02-12;203,0937;203,5927;201,2474;202,1955;34.270;6.945.130
2025-02-11;203,9919;204,3911;202,9939;204,0418;22.168;4.520.598
2025-02-10;203,3931;205,0398;202,9939;204,8402;66.685;13.596.636
2025-02-07;203,4929;204,441;202,1955;202,445;29.412;5.979.661
2025-02-06;202,6446;203,5927;202,4949;202,8941;47.803;9.704.335
2025-02-05;199,8502;200,5987;198,8821;200,5987;34.783;6.946.796
2025-02-04;200,3492;201,8462;199,401;201,8462;36.361;7.295.899
2025-02-03;200,1995;201,0478;198,8222;200,7983;114.939;23.000.663
2025-01-31;202,0458;204,1915;202,0458;203,5428;61.643;12.506.833
2025-01-30;200,7983;201,2973;198,3432;199,4809;50.469;10.117.420
2025-01-29;200,6985;201,2474;198,7024;199,1815;37.687;7.550.463
2025-01-28;197,425;198,6825;195,908;198,2434;23.969;4.733.400
2025-01-27;196,3472;196,906;190,7583;194,8102;127.670;24.818.659
2025-01-24;202,6446;203,0937;201,5967;201,8462;28.275;5.724.450
2025-01-23;203,3432;203,6426;202,5947;203,2933;56.644;11.496.545
2025-01-22;202,4949;204,1915;201,7963;204,1915;46.233;9.369.110
2025-01-21;200,9979;202,3452;199,8502;200,2993;30.952;6.226.027
2025-01-20;202,0458;202,2953;200,5488;201,3472;34.182;6.893.912
2025-01-17;199,421;203,1436;199,2613;202,2454;26.707;5.364.298
2025-01-16;201,5967;201,6466;199,7504;200,0997;37.202;7.479.139
2025-01-15;195,5088;199,95;195,4689;199,6506;69.772;13.760.561
2025-01-14;197,8841;198,443;195,4689;195,7683;34.035;6.726.417
2025-01-13;196,8661;197,1655;195,0697;196,2074;37.912;7.437.754
2025-01-10;199,0018;199,7504;196,2074;197,0058;25.263;5.007.122
2025-01-09;198,7224;199,441;198,7024;199,441;15.665;3.116.440
2025-01-08;199,3212;200,1496;198,3831;199,6506;61.745;12.322.156
2025-01-07;200,7484;201,8462;198,922;199,5208;46.816;9.394.806
2025-01-06;200,8482;202,8941;200,449;202,3452;28.028;5.644.521
2025-01-03;198,8621;200,2993;198,2833;200,2993;42.086;8.381.178
2025-01-02;198,403;200,1496;197,5048;199,9999;98.110;19.520.092
2024-12-30;199,4609;199,9999;197,4649;197,5248;30.452;6.066.882
2024-12-27;202,0957;202,3951;198,443;199,4609;26.019;5.225.065
2024-12-23;199,9001;199,95;198,3232;199,2014;25.546;5.097.234
2024-12-20;196,5268;199,8003;193,7124;199,8003;66.162;12.970.122
2024-12-19;198,5028;199,8003;198,0637;199,421;46.882;9.317.304
2024-12-18;203,6925;204,1915;202,6945;203,942;56.610;11.534.423
2024-12-17;203,6426;204,5907;202,6945;203,8921;35.281;7.187.317
2024-12-16;201,3971;203,5927;200,9979;203,443;35.890;7.253.503
2024-12-13;201,4916;202,3395;200,3445;200,9929;44.766;9.016.735
2024-12-12;200,6937;201,1425;199,6463;200,4443;90.335;18.099.385
2024-12-11;197,8409;201,0428;197,5815;200,9929;51.456;10.241.352
2024-12-10;197,2224;199,1974;197,1227;198,18;21.858;4.330.818
2024-12-09;198,9979;199,0977;196,2449;197,0229;55.962;11.081.587
2024-12-06;196,6439;198,6987;196,0853;198,2199;45.501;8.952.585
2024-12-05;197,5616;198,1002;196,8833;197,3621;72.792;14.361.741
2024-12-04;196,7237;198,2199;196,584;197,4219;50.554;9.986.463
2024-12-03;195,6863;195,7262;194,4494;195,6264;42.207;8.241.090
2024-12-02;193,3322;196,0055;192,6539;195,6663;44.003;8.530.455
2024-11-29;191,2774;192,5143;190,8385;192,3946;32.823;6.286.630
2024-11-28;191,7762;191,8161;191,1976;191,7163;27.452;5.259.212
2024-11-27;193,1128;193,1128;189,4819;189,841;30.958;5.939.260
2024-11-26;192,7736;193,7312;191,9158;193,4519;27.580;5.318.006
2024-11-25;193,8509;193,9706;191,9358;192,9532;38.727;7.487.237
2024-11-22;191,8759;194,23;191,7961;193,2125;45.119;8.703.796
2024-11-21;189,841;191,9557;188,5643;191,437;58.279;11.102.049
2024-11-20;190,26;190,639;188,2251;189,0431;28.516;5.417.214
2024-11-19;188,8835;189,0431;186,3698;189,0431;33.997;6.391.053
2024-11-18;188,5044;189,3423;187,4271;189,3423;27.552;5.193.758
2024-11-15;190,7388;190,8984;188,265;188,3249;55.774;10.595.830
2024-11-14;193,2724;194,629;192,2549;192,8135;35.130;6.799.756
2024-11-13;192,3148;193,2524;191,7562;193,2524;28.676;5.517.035
2024-11-12;192,5941;193,2125;192,1951;192,8135;26.007;5.010.472
2024-11-11;192,2948;193,3522;191,836;192,1951;43.959;8.462.629
2024-11-08;190,3398;190,9183;189,1228;190,9183;22.365;4.249.744
2024-11-07;187,8062;189,3223;187,5269;189,2226;38.232;7.188.605
2024-11-06;185,6716;187,4271;185,0731;186,9483;110.423;20.510.168
2024-11-05;178,3301;179,7465;178,0508;179,6069;22.674;4.052.880
2024-11-04;178,749;179,0483;177,0334;178,4697;35.234;6.280.415
2024-11-01;178,4099;180,2053;177,9909;179,9859;42.034;7.518.680
2024-10-31;180,3051;180,9634;178,0508;178,2902;26.768;4.801.290
2024-10-30;184,7339;184,7938;182,7589;183,2377;22.334;4.109.418
2024-10-29;182,7789;184,0756;182,4597;183,7963;14.431;2.644.479
2024-10-28;183,8561;184,1953;182,7789;182,7789;15.744;2.886.498
2024-10-25;181,6018;184,0756;181,4622;183,7364;27.590;5.039.098
2024-10-24;181,6018;182,3001;181,0033;181,3824;24.672;4.483.909
2024-10-23;183,0382;183,4372;181,4422;181,6218;22.391;4.094.544
2024-10-22;181,921;182,6991;181,2427;182,32;11.213;2.040.517
2024-10-21;181,3824;182,3599;180,5245;181,2427;19.303;3.501.925
2024-10-18;181,4422;181,7415;181,123;181,6218;17.974;3.263.199
2024-10-17;181,2627;183,0981;180,9435;181,5619;38.475;6.996.804
2024-10-16;180,1056;180,3051;178,5695;179,6468;30.640;5.508.168
2024-10-15;182,0008;182,0607;179,5271;180,1854;32.966;5.987.080
2024-10-14;179,8862;182,1205;179,8463;181,1629;29.828;5.398.608
2024-10-11;179,4473;179,9261;178,6493;179,4672;26.341;4.720.944
2024-10-10;179,7465;179,9261;178,7291;179,9261;18.333;3.288.756
2024-10-09;177,3525;179,168;177,1929;179,168;15.859;2.817.459
2024-10-08;174,7192;177,552;174,6593;177,2927;23.653;4.161.410
2024-10-07;176,9735;177,0334;175,8164;176,5546;22.421;3.954.150
2024-10-04;174,1008;177,552;174,1008;175,7965;20.853;3.665.321
2024-10-03;173,7018;174,9586;172,9038;174,6194;10.764;1.868.944
2024-10-02;173,0434;174,5596;172,4449;174,5396;17.912;3.103.940
2024-10-01;174,9386;175,9561;171,9861;173,0035;70.585;12.349.028
2024-09-30;173,622;174,2005;172,5247;174,0409;25.914;4.501.382
2024-09-27;174,8588;175,2179;174,0409;174,1406;28.747;5.021.260
2024-09-26;176,1157;176,8139;173,5422;173,7217;23.606;4.152.982
2024-09-25;172,2654;173,9212;172,1656;173,9013;20.988;3.624.003
2024-09-24;173,7616;173,8614;171,7866;173,1831;12.162;2.105.577
2024-09-23;172,5247;173,4225;172,2055;173,203;23.077;3.994.818
2024-09-20;171,9661;172,4848;171,0086;171,627;19.992;3.439.195
2024-09-19;171,2878;173,622;171,0485;173,2828;31.082;5.334.365
2024-09-18;169,9113;169,9911;169,2131;169,3128;8.395;1.424.633
2024-09-17;169,632;170,849;169,632;170,2904;22.989;3.911.962
2024-09-16;170,0709;170,4101;168,2754;168,9537;30.942;5.245.062
2024-09-13;170,2305;170,7692;169,5323;170,7293;10.020;1.704.602
2024-09-12;169,9911;170,2106;168,6944;169,4325;21.563;3.660.733
2024-09-11;164,8441;166,3004;163,4875;164,4451;21.861;3.599.634
2024-09-10;163,3678;165,2032;163,2282;164,884;22.476;3.692.714
2024-09-09;162,7693;164,106;162,2307;163,0885;25.057;4.083.068
2024-09-06;164,0262;165,4426;161,4128;161,5923;29.923;4.890.457
2024-09-05;165,283;167,0984;163,3678;164,904;40.513;6.716.177
2024-09-04;165,2431;166,7393;164,6845;166,081;22.877;3.784.638
2024-09-03;171,4674;171,7467;168,0361;168,5547;25.011;4.261.816
2024-09-02;171,0684;171,9661;170,6894;171,7866;28.455;4.871.294
2024-08-30;169,9712;171,3676;169,9712;170,1707;14.213;2.423.667
2024-08-29;168,2355;171,9861;168,2355;171,4275;25.859;4.404.743
2024-08-28;170,3103;170,9288;168,076;168,435;20.563;3.496.146
2024-08-27;169,7916;170,3702;168,5747;169,8116;20.648;3.498.431
2024-08-26;171,0086;171,607;168,7742;169,5522;10.098;1.721.165
2024-08-23;170,9487;172,1656;169,8515;170,6894;21.695;3.713.520
2024-08-22;172,6245;173,8215;172,026;172,026;8.656;1.497.196
2024-08-21;172,006;173,5821;171,8464;172,2654;18.424;3.179.362
2024-08-20;173,3626;173,7417;171,5272;172,3252;39.690;6.867.579
2024-08-19;171,228;171,7068;170,6694;171,5671;22.297;3.820.000
2024-08-16;172,9038;172,9237;170,9487;171,5472;25.370;4.360.130
2024-08-15;167,9164;171,5272;167,5174;171,4075;36.905;6.252.546
2024-08-14;167,6171;167,7368;165,5024;167,4575;43.446;7.259.140
2024-08-13;165,5224;167,1782;164,7045;167,1782;29.950;4.969.435
2024-08-12;164,5449;165,5423;163,5474;164,2656;53.638;8.840.554
2024-08-09;163,2481;164,7444;162,5698;163,5075;35.456;5.807.928
2024-08-08;158,8592;163,0486;157,6622;162,6297;50.242;8.047.237
2024-08-07;161,4926;163,6471;160,934;163,0087;79.092;12.851.886
2024-08-06;161,0138;161,6522;158,54;160,9739;59.742;9.587.579
2024-08-05;155,6872;159,5973;152,4753;159,1784;190.918;29.746.568
2024-08-02;166,7992;167,1782;162,2905;163,4875;66.910;11.055.614
2024-08-01;174,5596;175,2179;171,7267;171,7267;44.256;7.712.548
2024-07-31;170,8091;173,2629;170,6495;173,1631;34.088;5.838.200
2024-07-30;170,7692;171,6669;169,0136;169,0136;10.128;1.725.982
2024-07-29;171,1083;172,2654;170,0909;170,0909;20.333;3.483.016
2024-07-26;169,3727;170,3303;168,834;169,2729;26.752;4.537.363
2024-07-25;170,7692;170,829;167,5174;170,0909;46.271;7.851.346
2024-07-24;174,8788;175,2379;171,4873;171,7866;68.517;11.859.346
2024-07-23;175,976;177,8313;175,5571;177,6318;26.811;4.735.666
2024-07-22;174,779;176,7142;174,5596;174,9985;32.637;5.722.287
2024-07-19;175,198;176,1955;174,2005;174,2005;29.067;5.098.070
2024-07-18;176,8937;177,3725;174,5197;174,5197;38.860;6.835.911
2024-07-17;180,0857;180,0857;176,4947;176,774;21.908;3.900.514
2024-07-16;181,522;182,3599;180,7639;181,123;16.865;3.064.488
2024-07-15;181,8612;182,8188;181,1629;182,2203;28.497;5.176.980
2024-07-12;180,4846;181,8412;178,4498;181,7614;19.189;3.463.735
2024-07-11;184,8935;184,9534;181,2427;181,2427;24.385;4.488.377
2024-07-10;183,5369;184,295;183,517;183,9359;20.271;3.725.743
2024-07-09;183,5369;184,1753;183,497;183,6367;20.524;3.771.751
2024-07-08;182,5195;182,9185;182,1804;182,8188;17.751;3.239.132
2024-07-05;181,2427;182,1604;180,6442;182,1405;27.449;4.971.636
2024-07-04;181,2028;181,3425;180,724;180,744;18.071;3.272.809
2024-07-03;180,4248;180,5844;179,547;180,5046;22.110;3.985.934
2024-07-02;178,3101;179,7665;177,951;179,7665;18.892;3.375.651
2024-07-01;177,971;178,2503;176,6344;178,2503;52.142;9.266.068
2024-06-28;180,0657;181,2627;179,4672;179,7864;21.602;3.888.813
2024-06-27;178,769;179,547;178,4897;178,4897;16.721;2.990.341
2024-06-26;179,0084;179,5869;178,3301;178,7889;24.121;4.319.477
2024-06-25;176,2553;178,1705;175,9561;178,1505;26.848;4.752.389
2024-06-24;178,7091;178,8089;176,774;177,4722;34.733;6.188.572
2024-06-21;179,1879;179,4872;178,2902;178,9485;28.918;5.174.116
2024-06-20;181,0233;181,8612;179,4872;180,2253;26.503;4.791.107
2024-06-19;180,1056;180,2452;179,8463;180,1455;9.989;1.798.621
2024-06-18;179,8463;180,5644;179,2079;179,4074;40.285;7.259.317
2024-06-17;178,5695;178,6493;177,6917;178,4298;35.843;6.393.237
2024-06-14;177,246;178,2422;176,6682;177,6445;33.189;5.890.842
2024-06-13;176,1701;176,3892;175,5923;176,3494;16.259;2.862.086
2024-06-12;173,5002;174,5363;173,2412;174,337;23.546;4.093.132
2024-06-11;171,6273;172,7431;171,3086;172,4442;10.736;1.845.128
2024-06-10;171,1492;171,986;170,7308;171,9661;29.794;5.101.815
2024-06-07;169,6947;170,9101;169,3161;170,8702;17.822;3.026.050
