Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;;
2000-01-03; ; ; ;21,3667;0;0;
2000-01-04; ; ; ;21,4467;0;0;
2000-01-05; ; ; ;20,50;0;0;
2000-01-06; ; ; ;20,55;0;0;
2000-01-07; ; ; ;21,00;0;0;
2000-01-10; ; ; ;21,32;0;0;
2000-01-11; ; ; ;21,1333;0;0;
2000-01-12; ; ; ;21,2333;0;0;
2000-01-13; ; ; ;20,4667;0;0;
2000-01-14; ; ; ;20,9667;0;0;
2000-01-17; ; ; ;21,00;0;0;
2000-01-18; ; ; ;20,50;0;0;
2000-01-19; ; ; ;20,5467;0;0;
2000-01-20; ; ; ;20,05;0;0;
2000-01-21; ; ; ;19,9867;0;0;
2000-01-24; ; ; ;20,00;0;0;
2000-01-25; ; ; ;20,1267;0;0;
2000-01-26; ; ; ;19,8333;0;0;
2000-01-27; ; ; ;19,8333;0;0;
2000-01-28; ; ; ;19,5833;0;0;
2000-01-31; ; ; ;18,8667;0;0;
2000-02-01; ; ; ;18,8333;0;0;
2000-02-02; ; ; ;19,3333;0;0;
2000-02-03; ; ; ;18,8833;0;0;
2000-02-04; ; ; ;19,1667;0;0;
2000-02-07; ; ; ;18,7667;0;0;
2000-02-08; ; ; ;18,6667;0;0;
2000-02-09; ; ; ;18,20;0;0;
2000-02-10; ; ; ;18,88;0;0;
2000-02-11; ; ; ;18,1667;0;0;
2000-02-14; ; ; ;18,10;0;0;
2000-02-15; ; ; ;18,0833;0;0;
2000-02-16; ; ; ;18,9667;0;0;
2000-02-17; ; ; ;19,5667;0;0;
2000-02-18; ; ; ;19,4767;0;0;
2000-02-21; ; ; ;19,3333;0;0;
2000-02-22; ; ; ;18,3233;0;0;
2000-02-23; ; ; ;18,9333;0;0;
2000-02-24; ; ; ;18,76;0;0;
2000-02-25; ; ; ;18,6633;0;0;
2000-02-28; ; ; ;18,1667;0;0;
2000-02-29; ; ; ;18,0933;0;0;
2000-03-01; ; ; ;17,6967;0;0;
2000-03-02; ; ; ;17,5033;0;0;
2000-03-03; ; ; ;17,3667;0;0;
2000-03-06; ; ; ;17,3333;0;0;
2000-03-07; ; ; ;16,4967;0;0;
2000-03-08; ; ; ;16,4667;0;0;
2000-03-09; ; ; ;16,2667;0;0;
2000-03-10; ; ; ;15,50;0;0;
2000-03-13; ; ; ;15,75;0;0;
2000-03-14; ; ; ;16,3267;0;0;
2000-03-15; ; ; ;16,99;0;0;
2000-03-16; ; ; ;18,7933;0;0;
2000-03-17; ; ; ;18,7967;0;0;
2000-03-20; ; ; ;17,9333;0;0;
2000-03-21; ; ; ;18,1667;0;0;
2000-03-22; ; ; ;18,8333;0;0;
2000-03-23; ; ; ;19,6067;0;0;
2000-03-24; ; ; ;19,1733;0;0;
2000-03-27; ; ; ;19,7667;0;0;
2000-03-28; ; ; ;19,9667;0;0;
2000-03-29; ; ; ;20,0667;0;0;
2000-03-30; ; ; ;20,00;0;0;
2000-03-31; ; ; ;20,00;0;0;
2000-04-03; ; ; ;19,0033;0;0;
2000-04-04; ; ; ;19,45;0;0;
2000-04-05; ; ; ;19,6067;0;0;
2000-04-06; ; ; ;19,1333;0;0;
2000-04-07; ; ; ;19,8333;0;0;
2000-04-10; ; ; ;19,7667;0;0;
2000-04-11; ; ; ;20,5667;0;0;
2000-04-12; ; ; ;21,5667;0;0;
2000-04-13; ; ; ;21,85;0;0;
2000-04-14; ; ; ;20,4167;0;0;
2000-04-17; ; ; ;21,1667;0;0;
2000-04-18; ; ; ;20,83;0;0;
2000-04-19; ; ; ;20,50;0;0;
2000-04-20; ; ; ;20,8333;0;0;
2000-04-21; ; ; ;20,8333;0;0;
2000-04-24; ; ; ;20,8333;0;0;
2000-04-25; ; ; ;21,5833;0;0;
2000-04-26; ; ; ;21,3167;0;0;
2000-04-27; ; ; ;20,8667;0;0;
2000-04-28; ; ; ;21,3333;0;0;
2000-05-01; ; ; ;21,3333;0;0;
2000-05-02; ; ; ;20,9333;0;0;
2000-05-03; ; ; ;20,1833;0;0;
2000-05-04; ; ; ;20,6667;0;0;
2000-05-05; ; ; ;21,00;0;0;
2000-05-08; ; ; ;20,8333;0;0;
2000-05-09; ; ; ;20,9667;0;0;
2000-05-10; ; ; ;20,6667;0;0;
2000-05-11; ; ; ;20,8333;0;0;
2000-05-12; ; ; ;20,8333;0;0;
2000-05-15; ; ; ;20,60;0;0;
2000-05-16; ; ; ;20,6667;0;0;
