Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;;
2018-10-29;147,00;148,70;144,60;146,85;1.114.261;163.675.536;
2018-10-30;145,75;148,15;143,80;145,80;1.240.556;181.480.736;
2018-10-31;146,30;146,30;140,30;144,85;15.944.353;2.306.440.704;
2018-11-01;145,05;146,50;142,60;142,60;2.288.129;329.509.024;
2018-11-02;143,00;143,60;137,45;137,45;2.897.251;404.371.648;
2018-11-05;137,45;140,85;137,35;139,80;1.648.951;229.466.752;
2018-11-06;141,60;143,10;140,60;142,70;1.533.868;218.120.112;
2018-11-07;144,25;145,40;142,95;143,80;1.499.118;215.765.568;
2018-11-08;144,90;144,90;142,30;143,00;1.340.667;192.181.968;
2018-11-09;144,10;144,75;142,35;143,50;1.188.011;170.415.264;
2018-11-12;143,60;144,85;140,70;142,95;1.111.236;158.589.824;
2018-11-13;143,80;144,10;139,15;140,80;1.226.476;173.137.312;
2018-11-14;138,15;140,35;135,95;136,05;1.064.289;145.968.480;
2018-11-15;137,00;139,80;134,75;135,70;1.509.252;206.543.984;
2018-11-16;136,45;136,75;133,60;136,00;1.354.404;183.409.840;
2018-11-19;137,60;140,90;137,40;139,30;990.163;137.821.184;
2018-11-20;138,10;139,95;137,25;138,65;963.581;133.595.968;
2018-11-21;139,20;141,20;138,75;141,10;870.469;122.107.240;
2018-11-22;139,70;141,30;138,30;138,30;640.982;89.194.752;
2018-11-23;138,05;139,35;137,30;138,95;503.097;69.604.272;
2018-11-26;139,70;140,20;137,90;138,80;829.378;115.107.616;
2018-11-27;139,05;139,05;135,00;135,15;980.197;133.382.680;
2018-11-28;135,15;136,60;134,20;134,70;854.122;115.445.280;
2018-11-29;135,90;137,25;135,70;136,45;1.120.929;153.055.280;
2018-11-30;139,50;141,70;137,25;140,50;1.415.947;197.836.256;
2018-12-03;143,00;143,40;140,85;141,10;1.070.970;151.823.072;
2018-12-04;143,40;144,90;142,50;144,00;1.126.230;161.882.064;
2018-12-05;142,50;143,60;141,85;142,35;593.014;84.553.488;
2018-12-06;141,15;141,55;135,05;135,25;1.434.668;196.026.880;
2018-12-07;136,95;139,10;134,75;136,20;994.271;135.865.280;
2018-12-10;134,90;137,45;132,45;136,30;1.204.535;163.845.712;
2018-12-11;138,20;143,50;137,75;141,80;1.334.402;188.481.744;
2018-12-12;141,30;143,60;140,50;140,50;1.094.601;154.748.288;
2018-12-13;140,55;142,30;139,25;139,70;674.530;94.639.960;
2018-12-14;136,90;140,65;136,25;139,30;871.591;121.013.904;
2018-12-17;138,95;141,70;137,20;139,95;909.084;127.101.000;
2018-12-18;139,70;141,15;137,80;138,40;1.123.796;155.947.408;
2018-12-19;138,90;139,75;137,20;137,40;947.227;130.562.520;
2018-12-20;135,40;136,75;134,45;136,05;1.088.798;148.021.312;
2018-12-21;135,75;138,15;130,75;137,45;10.733.083;1.470.625.536;
2018-12-27;135,65;136,20;132,45;134,00;1.121.878;150.532.176;
2018-12-28;135,05;139,00;134,70;138,55;593.728;81.940.808;
2019-01-02;135,10;138,50;134,40;137,80;882.404;120.438.680;
2019-01-03;136,10;136,95;133,35;133,75;846.048;113.926.968;
2019-01-04;135,35;136,45;133,70;135,55;1.347.263;182.701.424;
2019-01-07;137,45;137,45;134,80;136,70;700.042;95.352.408;
2019-01-08;137,05;137,60;135,15;135,70;853.632;116.369.344;
2019-01-09;137,10;137,60;135,70;136,75;1.214.963;166.114.880;
2019-01-10;136,70;139,05;135,55;139,00;697.129;96.229.480;
2019-01-11;140,10;140,70;138,85;139,60;893.594;124.743.192;
2019-01-14;138,35;139,35;137,80;138,35;642.285;88.872.160;
2019-01-15;139,00;139,70;136,65;137,60;580.908;79.887.440;
2019-01-16;138,50;139,20;136,35;138,15;737.010;101.587.976;
2019-01-17;136,95;138,40;136,00;138,20;672.106;92.491.744;
2019-01-18;138,05;141,25;136,90;141,25;1.445.215;200.934.848;
2019-01-21;140,45;141,35;139,80;140,00;443.440;62.249.904;
2019-01-22;141,00;143,30;141,00;141,85;872.579;124.005.896;
2019-01-23;141,30;141,80;139,25;139,40;793.147;111.334.232;
2019-01-24;139,80;139,80;136,65;138,30;778.842;107.695.944;
2019-01-25;138,95;141,10;138,80;139,85;858.565;120.080.264;
2019-01-28;139,00;139,35;137,80;137,95;611.165;84.442.608;
2019-01-29;140,05;141,10;138,70;140,50;656.823;92.125.280;
2019-01-30;141,20;142,55;140,15;141,75;640.639;90.720.432;
2019-01-31;142,25;142,90;138,90;141,70;806.904;114.066.704;
2019-02-01;141,80;144,20;141,45;144,15;776.193;111.181.336;
2019-02-04;143,75;144,85;143,05;143,80;604.119;86.895.384;
2019-02-05;143,20;145,55;142,75;145,45;768.556;111.471.320;
2019-02-06;144,35;144,90;143,45;143,50;562.924;80.974.760;
2019-02-07;142,40;143,90;140,45;140,45;860.969;121.839.456;
2019-02-08;140,55;141,50;140,20;140,90;939.978;132.394.552;
2019-02-11;142,15;143,45;141,70;143,00;579.707;82.761.368;
2019-02-12;144,80;146,25;144,15;146,00;629.918;91.732.256;
2019-02-13;147,50;149,20;147,00;148,10;695.561;103.017.592;
2019-02-14;150,00;150,00;146,75;147,65;715.540;106.042.952;
2019-02-15;146,20;151,50;146,20;149,80;1.571.356;234.998.208;
2019-02-18;149,15;151,50;148,85;150,40;501.042;75.215.688;
2019-02-19;149,60;151,05;148,15;148,75;612.363;91.274.784;
2019-02-20;148,35;149,25;146,55;148,90;554.927;82.305.480;
2019-02-21;149,75;151,95;149,50;151,40;669.226;101.124.376;
2019-02-22;151,25;153,10;150,20;153,10;691.463;105.373.160;
2019-02-25;153,55;154,25;151,75;153,75;557.672;85.491.688;
2019-02-26;151,20;153,70;151,15;153,35;585.422;89.381.760;
2019-02-27;152,85;153,30;151,25;152,70;523.801;79.756.936;
2019-02-28;152,20;154,70;152,00;152,80;734.237;112.434.344;
2019-03-01;153,30;155,20;148,60;150,75;1.192.691;181.150.832;
2019-03-04;149,10;149,80;145,50;147,90;901.757;133.357.080;
2019-03-05;148,25;149,75;148,00;149,25;685.911;102.230.280;
2019-03-06;148,25;150,05;148,25;149,40;672.459;100.281.464;
2019-03-07;148,60;151,10;148,20;149,50;884.578;132.202.176;
2019-03-08;149,05;152,60;149,05;149,90;824.674;124.221.792;
2019-03-11;150,50;151,90;149,70;151,85;532.444;80.583.136;
2019-03-12;152,70;153,00;151,00;152,95;788.899;120.373.232;
2019-03-13;153,50;155,15;153,05;154,75;779.836;120.465.888;
2019-03-14;155,20;155,70;153,20;153,85;563.632;86.866.952;
2019-03-15;155,80;157,70;153,90;154,40;2.431.887;379.381.536;
2019-03-18;155,60;155,60;152,90;153,30;677.820;104.161.744;
2019-03-19;154,00;154,85;152,90;154,15;436.770;67.299.680;
2019-03-20;153,95;155,50;153,55;154,20;952.734;147.169.600;
2019-03-21;154,20;155,05;152,65;153,95;512.359;78.795.712;
2019-03-22;154,45;154,75;150,35;150,35;993.927;150.573.312;
2019-03-25;150,75;151,80;150,50;151,40;568.715;86.023.520;
2019-03-26;151,00;151,80;150,55;150,60;604.672;91.275.768;
2019-03-27;151,30;151,55;149,85;150,65;775.563;116.757.280;
2019-03-28;151,00;153,75;150,80;153,40;769.905;117.643.960;
2019-03-29;154,70;156,85;154,10;156,00;961.246;149.584.544;
2019-04-01;156,30;158,65;155,90;158,40;711.139;112.245.992;
2019-04-02;157,75;159,05;157,20;158,50;505.675;80.021.992;
2019-04-03;160,30;163,50;159,35;163,45;1.006.407;163.183.648;
2019-04-04;162,45;164,25;162,30;163,85;773.979;126.664.576;
2019-04-05;164,35;165,20;162,75;165,20;725.006;119.202.568;
2019-04-08;165,30;165,50;163,80;164,00;520.852;85.642.672;
2019-04-09;164,60;165,70;162,25;162,25;610.846;99.735.936;
2019-04-10;163,30;163,65;162,45;162,60;498.360;81.143.344;
2019-04-11;161,00;162,15;160,35;160,35;883.936;142.127.008;
2019-04-12;160,15;160,75;159,30;159,75;659.006;105.272.800;
