Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;;
2010-04-08;9,725;9,725;9,725;9,725;0;0;
2010-04-09;9,81;9,81;9,81;9,81;0;0;
2010-04-12;9,69;9,825;9,69;9,825;30.000;294.750;
2010-04-13;9,755;9,755;9,755;9,755;0;0;
2010-04-15;9,99;10,08;9,99;10,08;9.200;92.736;
2010-04-16;10,06;10,06;10,06;10,06;5.000;50.300;
2010-04-19;9,80;9,80;9,80;9,80;9;88;
2010-04-21;10,08;10,15;10,08;10,08;6;60;
2010-04-22;10,06;10,06;9,995;9,995;10;100;
2010-04-23;10,18;10,18;10,16;10,16;10.020;101.803;
2010-04-26;10,36;10,36;10,35;10,35;20;207;
2010-04-27;10,19;10,22;10,18;10,18;30.020;305.604;
2010-04-28;9,90;9,99;9,90;9,90;20;198;
2010-04-29;10,11;10,11;10,11;10,11;20;202;
2010-04-30;10,28;10,28;10,28;10,28;20;206;
2010-05-04;10,15;10,15;10,09;10,15;300;3.045;
2010-05-05;9,84;9,93;9,84;9,93;15.700;155.901;
2010-05-06;9,81;10,04;9,80;9,81;135.572;1.329.961;
2010-05-07;9,43;9,43;9,43;9,43;1.000;9.430;
2010-05-10;9,57;9,705;9,57;9,705;10;97;
2010-05-11;9,61;9,825;9,61;9,825;10;98;
2010-05-12;9,74;9,95;9,74;9,95;43.010;427.950;
2010-05-13;10,12;10,12;10,09;10,09;10;101;
2010-05-14;10,01;10,08;9,94;10,02;50.005;501.050;
2010-05-17;9,71;9,91;9,58;9,58;119.870;1.148.355;
2010-05-18;9,71;9,86;9,71;9,745;3.010;29.332;
2010-05-19;9,58;9,58;9,29;9,52;103.668;986.919;
2010-05-20;9,33;9,33;9,06;9,06;33.041;299.351;
2010-05-21;8,61;8,67;8,61;8,61;1.000;8.610;
2010-05-24;8,785;8,785;8,785;8,785;4.000;35.140;
2010-05-25;8,22;8,37;8,22;8,37;3.610;30.216;
2010-05-26;8,74;8,91;8,74;8,91;3.670;32.700;
2010-05-27;8,97;8,97;8,97;8,97;5.000;44.850;
2010-05-28;9,00;9,02;9,00;9,00;1.000;9.000;
2010-05-31;9,05;9,05;8,995;8,995;340;3.058;
2010-06-01;8,90;8,90;8,90;8,90;1.000;8.900;
2010-06-02;8,88;8,88;8,88;8,88;0;0;
2010-06-03;9,14;9,185;9,14;9,185;500;4.593;
2010-06-04;8,98;8,98;8,98;8,98;0;0;
2010-06-07;8,905;8,95;8,69;8,74;33.870;296.024;
2010-06-08;8,56;8,56;8,56;8,56;121;1.036;
2010-06-09;8,79;8,88;8,79;8,88;500;4.440;
2010-06-10;8,82;8,88;8,82;8,88;4.000;35.520;
2010-06-11;8,91;8,97;8,83;8,83;16.390;144.724;
2010-06-14;9,06;9,15;9,03;9,03;5.000;45.150;
2010-06-15;9,18;9,18;9,085;9,085;320;2.907;
2010-06-16;9,20;9,375;9,10;9,29;9.992;92.826;
2010-06-17;9,32;9,32;9,23;9,23;812;7.495;
2010-06-18;9,32;9,32;9,32;9,32;0;0;
2010-06-21;9,58;9,58;9,58;9,58;300;2.874;
2010-06-22;9,325;9,325;9,325;9,325;2.000;18.650;
2010-06-24;8,69;8,69;8,69;8,69;0;0;
2010-06-25;8,66;8,66;8,66;8,66;240;2.078;
2010-06-28;8,835;9,08;8,835;9,08;285;2.588;
2010-06-29;8,62;8,62;7,99;8,295;2.400;19.908;
2010-06-30;8,12;8,21;8,12;8,21;4.000;32.840;
2010-07-01;7,92;8,00;7,92;8,00;38.350;306.800;
2010-07-05;7,57;7,57;7,57;7,57;0;0;
2010-07-06;7,76;7,86;7,76;7,86;950;7.467;
2010-07-07;7,70;7,96;7,70;7,96;700;5.572;
2010-07-08;8,32;8,32;8,235;8,29;6.548;54.283;
2010-07-09;8,30;8,48;8,30;8,42;231.890;1.952.514;
