Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;;
2000-01-03; ; ; ;62,1616;0;0;
2000-01-04; ; ; ;61,3641;0;0;
2000-01-05; ; ; ;60,2392;0;0;
2000-01-06; ; ; ;59,8531;0;0;
2000-01-07; ; ; ;61,2802;0;0;
2000-01-10; ; ; ;63,0682;0;0;
2000-01-11; ; ; ;62,1952;0;0;
2000-01-12; ; ; ;62,2036;0;0;
2000-01-13; ; ; ;63,3788;0;0;
2000-01-14; ; ; ;63,2109;0;0;
2000-01-17; ; ; ;61,1459;0;0;
2000-01-18; ; ; ;61,1542;0;0;
2000-01-19; ; ; ;61,0703;0;0;
2000-01-20; ; ; ;59,6013;0;0;
2000-01-21; ; ; ;59,6768;0;0;
2000-01-24; ; ; ;58,6779;0;0;
2000-01-25; ; ; ;56,6632;0;0;
2000-01-26; ; ; ;56,3274;0;0;
2000-01-27; ; ; ;58,6359;0;0;
2000-01-28; ; ; ;57,2088;0;0;
2000-01-31; ; ; ;55,7398;0;0;
2000-02-01; ; ; ;56,2434;0;0;
2000-02-02; ; ; ;56,2434;0;0;
2000-02-03; ; ; ;56,957;0;0;
2000-02-04; ; ; ;56,9318;0;0;
2000-02-07; ; ; ;56,2854;0;0;
2000-02-08; ; ; ;55,6978;0;0;
2000-02-09; ; ; ;55,1941;0;0;
2000-02-10; ; ; ;56,1595;0;0;
2000-02-11; ; ; ;55,3788;0;0;
2000-02-14; ; ; ;56,2015;0;0;
2000-02-15; ; ; ;55,6474;0;0;
2000-02-16; ; ; ;55,1941;0;0;
2000-02-17; ; ; ;55,1438;0;0;
2000-02-18; ; ; ;54,5645;0;0;
2000-02-21; ; ; ;54,1448;0;0;
2000-02-22; ; ; ;54,1028;0;0;
2000-02-23; ; ; ;53,0955;0;0;
2000-02-24; ; ; ;52,1301;0;0;
2000-02-25; ; ; ;55,2361;0;0;
2000-02-28; ; ; ;56,5792;0;0;
2000-02-29; ; ; ;58,7618;0;0;
2000-03-01; ; ; ;57,2508;0;0;
2000-03-02; ; ; ;56,4617;0;0;
2000-03-03; ; ; ;55,362;0;0;
2000-03-06; ; ; ;55,1941;0;0;
2000-03-07; ; ; ;53,5404;0;0;
2000-03-08; ; ; ;54,4806;0;0;
2000-03-09; ; ; ;53,7671;0;0;
2000-03-10; ; ; ;52,8856;0;0;
2000-03-13; ; ; ;53,3893;0;0;
2000-03-14; ; ; ;55,1186;0;0;
2000-03-15; ; ; ;54,3127;0;0;
2000-03-16; ; ; ;58,6359;0;0;
2000-03-17; ; ; ;57,9559;0;0;
2000-03-20; ; ; ;56,7891;0;0;
2000-03-21; ; ; ;57,1249;0;0;
2000-03-22; ; ; ;57,8384;0;0;
2000-03-23; ; ; ;57,3431;0;0;
2000-03-24; ; ; ;58,9297;0;0;
2000-03-27; ; ; ;58,8038;0;0;
2000-03-28; ; ; ;57,1165;0;0;
2000-03-29; ; ; ;57,0913;0;0;
2000-03-30; ; ; ;57,2508;0;0;
2000-03-31; ; ; ;57,0997;0;0;
2000-04-03; ; ; ;58,51;0;0;
2000-04-04; ; ; ;59,1815;0;0;
2000-04-05; ; ; ;59,3914;0;0;
2000-04-06; ; ; ;58,7702;0;0;
2000-04-07; ; ; ;58,3421;0;0;
2000-04-10; ; ; ;58,51;0;0;
2000-04-11; ; ; ;58,468;0;0;
2000-04-12; ; ; ;58,9297;0;0;
2000-04-13; ; ; ;58,7618;0;0;
2000-04-14; ; ; ;57,9559;0;0;
2000-04-17; ; ; ;57,4607;0;0;
2000-04-18; ; ; ;57,6789;0;0;
2000-04-19; ; ; ;56,8311;0;0;
2000-04-20; ; ; ;53,1794;0;0;
2000-04-21; ; ; ;53,1794;0;0;
2000-04-24; ; ; ;53,1794;0;0;
2000-04-25; ; ; ;54,8164;0;0;
2000-04-26; ; ; ;54,9423;0;0;
2000-04-27; ; ; ;53,4648;0;0;
2000-04-28; ; ; ;53,851;0;0;
2000-05-01; ; ; ;53,851;0;0;
2000-05-02; ; ; ;54,1868;0;0;
2000-05-03; ; ; ;54,1448;0;0;
2000-05-04; ; ; ;54,3547;0;0;
2000-05-05; ; ; ;54,3966;0;0;
2000-05-08; ; ; ;53,8006;0;0;
2000-05-09; ; ; ;52,8856;0;0;
2000-05-10; ; ; ;51,5425;0;0;
2000-05-11; ; ; ;50,8709;0;0;
2000-05-12; ; ; ;51,6097;0;0;
2000-05-15; ; ; ;51,6264;0;0;
2000-05-16; ; ; ;52,0965;0;0;
2000-05-17; ; ; ;51,425;0;0;
2000-05-18; ; ; ;51,2655;0;0;
2000-05-19; ; ; ;50,6191;0;0;
2000-05-22; ; ; ;51,1312;0;0;
2000-05-23; ; ; ;51,1396;0;0;
2000-05-24; ; ; ;51,0388;0;0;
2000-05-25; ; ; ;50,9717;0;0;
2000-05-26; ; ; ;50,0399;0;0;
2000-05-29; ; ; ;50,2497;0;0;
2000-05-30; ; ; ;50,2833;0;0;
2000-05-31; ; ; ;48,9402;0;0;
2000-06-01; ; ; ;48,915;0;0;
2000-06-02; ; ; ;48,6464;0;0;
2000-06-05; ; ; ;49,7712;0;0;
2000-06-06; ; ; ;50,5855;0;0;
2000-06-07; ; ; ;50,9549;0;0;
2000-06-08; ; ; ;50,6443;0;0;
2000-06-09; ; ; ;50,3673;0;0;
2000-06-12; ; ; ;50,3673;0;0;
2000-06-13; ; ; ;49,9475;0;0;
2000-06-14; ; ; ;49,5278;0;0;
2000-06-15; ; ; ;48,6044;0;0;
2000-06-16; ; ; ;47,3956;0;0;
2000-06-19; ; ; ;48,2686;0;0;
2000-06-20; ; ; ;47,7901;0;0;
2000-06-21; ; ; ;47,0094;0;0;
2000-06-22; ; ; ;46,4638;0;0;
2000-06-23; ; ; ;47,2193;0;0;
2000-06-26; ; ; ;47,043;0;0;
2000-06-27; ; ; ;47,6558;0;0;
2000-06-28; ; ; ;47,2529;0;0;
2000-06-29; ; ; ;46,3379;0;0;
2000-06-30; ; ; ;45,8594;0;0;
2000-07-03; ; ; ;46,4638;0;0;
2000-07-04; ; ; ;47,5383;0;0;
2000-07-05; ; ; ;47,1857;0;0;
2000-07-06; ; ; ;46,5897;0;0;
2000-07-07; ; ; ;47,8489;0;0;
2000-07-10; ; ; ;48,7303;0;0;
2000-07-11; ; ; ;48,5037;0;0;
2000-07-12; ; ; ;48,3358;0;0;
