                                                                      	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	
500 Max1: 3  1,626   Min: 9  0,891   Max2: 32  1,332 ===>             	0,000	1,274	1,626	1,456	1,195	1,219	1,063	1,057	0,891	1,016	1,065	1,050	1,114	1,063	1,000	0,943	1,139	1,056	1,142	1,172	1,216	1,165	1,140	1,140	1,116	1,227	1,167	1,228	1,299	1,310	1,290	1,332	1,222	1,222	1,222	1,184	1,255	1,237	1,228	1,187	1,151	1,160	1,177	1,195	1,195	1,193	1,188	1,188	1,100	1,117	1,117	1,117	1,117	1,130	1,201	1,136	1,153	1,153	1,196	1,196	1,142	1,063	1,047	1,047	1,047	1,101	1,082	1,120	1,120	1,137	1,137	1,136	1,136	1,136	1,120	1,120	1,120	1,120	1,120	1,136	1,162	1,081	1,096	1,038	1,038	1,049	1,060	1,068	1,068	1,092	1,092	1,092	1,108	1,108	1,108	1,108	1,108	1,108	1,108	1,125	1,125	1,125	1,125	1,125	1,108	1,108	1,108	1,108	1,108	1,108	1,108	1,092	1,092	1,092	1,074	1,058	1,058	1,060	1,060	1,035	1,035	1,035	1,038	1,018	1,009	1,009	0,944	0,928	0,953	0,968	0,968	0,968	0,969	0,962	0,965	0,965	0,981	1,003	1,003	1,003	1,033	1,067	1,067	1,008	1,054	1,046	1,035	1,054	1,049	1,002	1,030	1,049	1,049	1,035	1,035	1,035	1,035	1,035	1,035	1,035	1,029	1,029	1,029	1,029	1,029	1,013	1,013	1,013	1,013	1,013	1,013	1,013	0,991	0,991	0,991	0,991	0,991	0,991	0,991	0,987	0,987	0,987	0,964	0,964	0,964	0,964	0,964	0,978	0,978	0,978	0,978	0,978	0,978	0,993	0,993	0,993	0,993	0,993	0,993	0,993	
550 Max1: 3  1,370   Min: 16  0,898   Max2: 32  1,239 ===>            	0,000	1,065	1,370	1,327	1,115	1,140	1,178	1,099	0,918	1,031	1,049	1,018	1,076	1,035	0,973	0,898	1,082	1,019	1,097	1,108	1,107	1,076	1,076	1,076	1,054	1,141	1,086	1,143	1,208	1,218	1,200	1,239	1,136	1,136	1,136	1,101	1,163	1,146	1,095	1,059	1,003	1,052	1,084	1,143	1,143	1,125	1,120	1,120	1,037	1,016	1,016	1,016	1,016	1,065	1,093	1,034	1,049	1,066	1,105	1,064	1,016	0,946	0,932	0,946	0,946	1,038	1,020	1,097	1,097	1,114	1,114	1,113	1,113	1,075	1,075	1,075	1,075	1,091	1,091	1,091	1,115	1,038	1,052	0,997	0,997	1,026	1,016	0,993	0,993	1,015	1,015	1,015	1,089	1,089	1,089	1,089	1,089	1,060	1,060	1,076	1,076	1,092	1,092	1,092	1,076	1,076	1,076	1,076	1,076	1,076	1,076	1,060	1,060	1,060	1,043	1,027	1,027	1,044	1,060	1,035	1,035	1,035	1,038	1,018	1,009	1,009	0,944	0,928	0,953	0,968	0,968	0,968	0,969	0,962	0,965	0,965	0,981	1,003	1,003	1,003	1,033	1,067	1,067	1,008	1,054	1,046	1,035	1,054	1,049	1,002	1,030	1,049	1,049	1,035	1,035	1,035	1,035	1,035	1,035	1,035	1,029	1,029	1,029	1,029	1,029	1,013	1,013	1,013	1,013	1,013	1,013	1,013	0,991	0,991	0,991	0,991	0,991	0,991	0,991	0,987	0,987	0,987	0,964	0,964	0,964	0,964	0,964	0,978	0,978	0,978	0,978	0,978	0,978	0,993	0,993	0,993	0,993	0,993	0,993	0,993	
600 Max1: 4  1,614   Min: 128  0,928   Max2: 142  1,067 ===>          	0,000	1,018	1,343	1,614	1,282	1,274	1,395	1,148	1,111	1,225	1,171	1,120	1,216	1,172	1,110	1,058	1,169	1,110	1,235	1,229	1,228	1,117	1,117	1,117	1,134	1,246	1,177	1,248	1,290	1,301	1,282	1,323	1,214	1,214	1,214	1,176	1,242	1,224	1,170	1,161	0,957	1,012	1,042	1,099	1,099	1,089	1,085	1,085	1,004	0,984	0,984	0,984	0,984	1,146	1,176	1,112	1,129	1,147	1,147	1,104	1,104	1,104	1,104	1,120	1,120	1,170	1,170	1,215	1,215	1,215	1,216	1,193	1,193	1,152	1,152	1,152	1,152	1,169	1,152	1,152	1,152	1,072	1,086	1,029	1,029	1,049	1,039	1,015	1,015	1,015	1,015	1,015	1,089	1,089	1,089	1,089	1,089	1,060	1,060	1,076	1,076	1,092	1,092	1,092	1,076	1,076	1,076	1,076	1,076	1,076	1,076	1,060	1,060	1,060	1,043	1,027	1,027	1,044	1,060	1,035	1,035	1,035	1,038	1,018	1,009	1,009	0,944	0,928	0,953	0,968	0,968	0,968	0,969	0,962	0,965	0,965	0,981	1,003	1,003	1,003	1,033	1,067	1,067	1,008	1,054	1,046	1,035	1,054	1,049	1,002	1,030	1,049	1,049	1,035	1,035	1,035	1,035	1,035	1,035	1,035	1,029	1,029	1,029	1,029	1,029	1,013	1,013	1,013	1,013	1,013	1,013	1,013	0,991	0,991	0,991	0,991	0,991	0,991	0,991	0,987	0,987	0,987	0,964	0,964	0,964	0,964	0,964	0,978	0,978	0,978	0,978	0,978	0,978	0,993	0,993	0,993	0,993	0,993	0,993	0,993	
650 Max1: 4  2,375   Min: 150  1,061   Max2: 194  1,132 ===>          	0,000	1,849	2,289	2,375	1,794	1,833	1,948	1,763	1,629	1,802	1,665	1,715	1,934	1,757	1,602	1,668	1,766	1,702	1,740	1,667	1,724	1,579	1,579	1,579	1,543	1,678	1,682	1,799	1,799	1,842	1,842	1,901	1,862	1,862	1,780	1,731	1,725	1,699	1,612	1,600	1,563	1,639	1,619	1,707	1,707	1,682	1,675	1,675	1,264	1,238	1,238	1,238	1,238	1,283	1,275	1,275	1,304	1,325	1,325	1,275	1,275	1,275	1,275	1,294	1,294	1,351	1,351	1,404	1,404	1,404	1,462	1,462	1,462	1,411	1,411	1,411	1,351	1,363	1,343	1,343	1,333	1,363	1,301	1,223	1,223	1,246	1,235	1,145	1,162	1,162	1,162	1,162	1,247	1,247	1,247	1,254	1,274	1,240	1,240	1,259	1,277	1,296	1,296	1,296	1,277	1,277	1,277	1,277	1,277	1,220	1,238	1,220	1,220	1,220	1,220	1,202	1,202	1,220	1,238	1,238	1,238	1,238	1,190	1,190	1,190	1,190	1,190	1,190	1,214	1,214	1,214	1,214	1,214	1,214	1,214	1,214	1,214	1,214	1,214	1,214	1,254	1,254	1,254	1,254	1,133	1,133	1,096	1,116	1,111	1,061	1,091	1,111	1,111	1,096	1,096	1,096	1,096	1,096	1,096	1,096	1,096	1,096	1,096	1,096	1,096	1,096	1,096	1,096	1,096	1,096	1,096	1,096	1,096	1,096	1,096	1,096	1,096	1,096	1,096	1,091	1,091	1,091	1,091	1,091	1,091	1,091	1,091	1,107	1,107	1,107	1,107	1,107	1,107	1,132	1,132	1,132	1,132	1,132	1,132	1,132	
700 Max1: 4  3,848   Min: 88  2,005   Max2: 119  2,284 ===>           	0,000	3,218	3,821	3,848	2,993	3,069	3,146	2,948	2,779	2,889	2,670	2,897	2,989	2,865	2,601	2,765	3,042	2,990	2,965	2,799	2,938	2,582	2,582	2,582	2,524	2,743	2,750	2,750	2,750	2,815	2,815	2,905	2,905	2,905	2,776	2,837	2,975	2,932	2,781	2,760	2,696	2,828	2,794	2,891	2,934	2,891	2,847	2,847	2,147	2,104	2,104	2,048	2,048	2,121	2,109	2,109	2,207	2,208	2,208	2,061	2,109	2,109	2,109	2,140	2,181	2,366	2,366	2,458	2,458	2,458	2,560	2,560	2,560	2,471	2,471	2,471	2,365	2,387	2,351	2,351	2,334	2,387	2,278	2,142	2,142	2,182	2,163	2,005	2,035	2,035	2,035	2,035	2,184	2,184	2,184	2,196	2,231	2,171	2,171	2,204	2,237	2,270	2,270	2,270	2,270	2,270	2,270	2,270	2,270	2,169	2,201	2,201	2,201	2,201	2,201	2,201	2,201	2,234	2,284	2,284	2,284	2,284	2,195	2,195	2,195	2,195	2,195	2,195	2,195	2,195	2,195	2,195	2,195	2,195	2,195	2,195	2,195	2,195	2,195	2,195	2,195	2,195	2,195	2,195	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	1,982	
750 Max1: 45  4,837   Min: 88  3,120   Max2: 119  3,553 ===>          	0,000	4,027	4,358	4,276	4,210	3,968	4,096	4,054	4,085	4,271	3,876	4,199	4,092	4,002	3,613	3,824	4,214	4,793	4,648	4,445	4,737	4,353	4,146	4,146	3,993	4,240	4,353	4,353	4,353	4,418	4,418	4,418	4,418	4,418	4,222	4,600	4,825	4,825	4,671	4,671	4,580	4,802	4,674	4,765	4,837	4,730	4,711	4,711	3,571	3,447	3,447	3,355	3,355	3,476	3,355	3,355	3,433	3,435	3,435	3,207	3,280	3,280	3,280	3,330	3,393	3,680	3,680	3,823	3,823	3,823	3,982	3,982	3,982	3,844	3,844	3,844	3,678	3,712	3,658	3,658	3,631	3,712	3,543	3,332	3,332	3,395	3,364	3,120	3,166	3,166	3,166	3,166	3,397	3,397	3,397	3,416	3,471	3,377	3,377	3,428	3,479	3,531	3,531	3,531	3,531	3,531	3,531	3,531	3,531	3,373	3,424	3,424	3,424	3,424	3,424	3,424	3,424	3,475	3,553	3,553	3,553	3,553	3,415	3,415	3,415	3,415	3,415	3,415	3,415	3,415	3,415	3,415	3,415	3,415	3,415	3,415	3,415	3,415	3,415	3,415	3,415	3,415	3,415	3,415	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	3,084	
800 Max1: 3  4,716   Min: 88  2,944   Max2: 101  3,613 ===>           	0,000	4,128	4,716	4,313	4,370	4,347	3,830	3,810	3,856	3,759	3,522	4,099	4,055	3,879	3,324	3,518	3,804	4,346	4,348	4,371	4,590	4,091	3,897	3,897	3,753	3,909	3,937	3,937	3,739	3,873	4,249	3,926	3,926	3,926	3,752	4,087	4,303	4,400	4,458	4,458	4,219	4,219	4,345	4,264	4,485	4,485	4,434	4,434	3,365	3,365	3,365	3,275	3,275	3,275	3,275	3,275	3,351	3,301	3,264	3,317	3,393	3,393	3,393	3,393	3,328	3,457	3,457	3,457	3,457	3,457	3,600	3,600	3,600	3,600	3,600	3,600	3,420	3,400	3,400	3,400	3,400	3,400	3,201	3,201	3,201	3,201	3,201	2,944	3,010	3,010	3,010	3,010	3,010	3,010	3,484	3,503	3,533	3,533	3,533	3,533	3,613	3,613	3,613	3,613	3,613	3,613	3,613	3,613	3,613	3,425	3,503	3,503	3,503	3,503	3,503	3,503	3,503	3,503	3,503	3,503	3,503	3,503	3,366	3,366	3,366	3,366	3,366	3,366	3,366	3,366	3,366	3,366	3,366	3,366	3,366	3,366	3,366	3,366	3,366	3,366	3,366	3,366	3,366	3,366	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	3,040	
850 Max1: 45  7,670   Min: 88  5,034   Max2: 101  6,178 ===>          	0,000	6,411	7,201	6,649	6,674	6,239	6,249	6,963	6,594	6,396	6,900	7,579	7,332	6,909	5,834	6,107	6,610	7,431	7,490	7,188	7,436	6,629	6,081	6,081	6,160	6,029	6,072	6,255	5,939	6,153	6,751	6,238	6,238	6,238	6,416	6,990	7,359	7,524	7,623	7,623	7,214	7,214	7,430	7,293	7,670	7,670	7,583	7,583	5,755	5,755	5,755	5,601	5,601	5,601	5,601	5,601	5,730	5,646	5,583	5,672	5,803	5,803	5,803	5,803	5,691	5,912	5,912	5,912	5,912	5,912	6,156	6,156	6,156	6,156	6,156	6,156	5,848	5,815	5,815	5,815	5,815	5,815	5,475	5,475	5,475	5,475	5,475	5,034	5,147	5,147	5,147	5,147	5,147	5,147	5,957	5,990	6,042	6,042	6,042	6,042	6,178	6,178	6,178	6,178	6,178	6,178	6,178	6,178	6,178	5,858	5,990	5,990	5,990	5,990	5,990	5,990	5,990	5,990	5,990	5,990	5,990	5,990	5,756	5,756	5,756	5,756	5,756	5,756	5,756	5,756	5,756	5,756	5,756	5,756	5,756	5,756	5,756	5,756	5,756	5,756	5,756	5,756	5,756	5,756	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	5,198	
900 Max1: 45  5,282   Min: 49  4,240   Max2: 61  4,640 ===>           	0,000	4,108	4,193	3,848	4,222	3,880	3,589	3,670	4,462	4,296	4,619	4,909	4,507	4,408	4,050	3,995	3,627	4,078	4,157	4,160	4,160	3,889	3,529	3,477	3,891	3,865	3,836	3,951	3,752	3,715	4,076	3,766	3,881	3,881	4,044	4,209	4,367	4,464	4,423	4,513	4,271	4,271	4,589	4,537	5,282	5,282	4,730	4,551	4,240	4,240	4,381	4,408	4,408	4,408	4,408	4,408	4,510	4,410	4,361	4,502	4,640	4,348	4,348	4,379	4,324	1,783	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,668	1,668	1,668	1,657	1,657	1,657	1,657	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	
950 Max1: 2  2,471   Min: 114  0,000   Max2: 169  1,010 ===>          	0,000	2,471	2,030	2,020	2,091	1,984	2,012	1,717	2,071	1,979	2,254	2,403	2,394	2,377	2,239	2,240	1,993	2,001	2,087	1,925	1,925	1,800	1,721	1,701	1,965	1,952	1,852	1,908	1,834	1,872	2,053	1,926	1,985	1,985	2,068	2,105	2,105	2,152	2,152	2,196	1,739	1,739	1,896	1,896	2,135	2,135	1,912	1,839	1,826	1,826	1,886	1,898	1,898	1,898	1,898	1,898	1,898	1,898	1,898	1,854	1,854	1,737	1,737	1,750	1,783	1,783	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,769	1,668	1,668	1,668	1,632	1,608	1,608	1,608	0,978	0,966	0,966	0,966	0,955	0,955	0,955	0,955	0,941	0,908	0,942	0,942	0,942	0,962	1,027	1,027	1,027	1,027	0,994	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,985	0,985	0,985	0,971	0,971	0,971	0,971	0,971	0,971	0,971	0,971	0,971	0,941	1,001	0,997	0,997	0,997	0,997	0,997	0,997	0,997	0,997	0,997	0,997	0,975	0,961	0,961	0,961	0,982	0,982	0,982	0,982	0,982	0,982	0,982	0,982	0,974	0,974	1,010	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,985	
