Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;;
2000-01-03; ; ; ;14,5502;0;0;
2000-01-04; ; ; ;13,5802;0;0;
2000-01-05; ; ; ;13,5802;0;0;
2000-01-06; ; ; ;13,5802;0;0;
2000-01-07; ; ; ;13,5802;0;0;
2000-01-10; ; ; ;13,6772;0;0;
2000-01-11; ; ; ;13,6772;0;0;
2000-01-12; ; ; ;13,6772;0;0;
2000-01-13; ; ; ;14,3077;0;0;
2000-01-14; ; ; ;14,0652;0;0;
2000-01-17; ; ; ;13,7257;0;0;
2000-01-18; ; ; ;13,7257;0;0;
2000-01-19; ; ; ;13,7257;0;0;
2000-01-20; ; ; ;13,7257;0;0;
2000-01-21; ; ; ;13,7257;0;0;
2000-01-24; ; ; ;13,7257;0;0;
2000-01-25; ; ; ;12,8527;0;0;
2000-01-26; ; ; ;12,8818;0;0;
2000-01-27; ; ; ;12,6199;0;0;
2000-01-28; ; ; ;12,6199;0;0;
2000-01-31; ; ; ;12,6781;0;0;
2000-02-01; ; ; ;12,6102;0;0;
2000-02-02; ; ; ;12,6102;0;0;
2000-02-03; ; ; ;12,3774;0;0;
2000-02-04; ; ; ;12,3774;0;0;
2000-02-07; ; ; ;12,3774;0;0;
2000-02-08; ; ; ;12,8624;0;0;
2000-02-09; ; ; ;12,8624;0;0;
2000-02-10; ; ; ;12,7072;0;0;
2000-02-11; ; ; ;12,7072;0;0;
2000-02-14; ; ; ;12,7072;0;0;
2000-02-15; ; ; ;12,7072;0;0;
2000-02-16; ; ; ;12,4162;0;0;
2000-02-17; ; ; ;12,4162;0;0;
2000-02-18; ; ; ;12,1252;0;0;
2000-02-21; ; ; ;12,3677;0;0;
2000-02-22; ; ; ;12,3677;0;0;
2000-02-23; ; ; ;12,3677;0;0;
2000-02-24; ; ; ;12,3677;0;0;
2000-02-25; ; ; ;12,3677;0;0;
2000-02-28; ; ; ;12,4356;0;0;
2000-02-29; ; ; ;12,164;0;0;
2000-03-01; ; ; ;12,164;0;0;
2000-03-02; ; ; ;11,388;0;0;
2000-03-03; ; ; ;11,388;0;0;
2000-03-06; ; ; ;11,4947;0;0;
2000-03-07; ; ; ;11,9797;0;0;
2000-03-08; ; ; ;11,9797;0;0;
2000-03-09; ; ; ;11,9797;0;0;
2000-03-10; ; ; ;11,9797;0;0;
2000-03-13; ; ; ;11,9797;0;0;
2000-03-14; ; ; ;11,6402;0;0;
2000-03-15; ; ; ;11,6402;0;0;
2000-03-16; ; ; ;11,9312;0;0;
2000-03-17; ; ; ;13,1922;0;0;
2000-03-20; ; ; ;14,9382;0;0;
2000-03-21; ; ; ;14,5502;0;0;
2000-03-22; ; ; ;14,5502;0;0;
2000-03-23; ; ; ;13,8227;0;0;
2000-03-24; ; ; ;13,7742;0;0;
2000-03-27; ; ; ;13,2892;0;0;
2000-03-28; ; ; ;13,2892;0;0;
2000-03-29; ; ; ;13,2892;0;0;
2000-03-30; ; ; ;13,2892;0;0;
2000-03-31; ; ; ;13,2892;0;0;
2000-04-03; ; ; ;13,2892;0;0;
2000-04-04; ; ; ;13,9779;0;0;
2000-04-05; ; ; ;13,9779;0;0;
2000-04-06; ; ; ;13,9779;0;0;
2000-04-07; ; ; ;13,9779;0;0;
2000-04-10; ; ; ;13,8712;0;0;
2000-04-11; ; ; ;13,8712;0;0;
2000-04-12; ; ; ;13,6772;0;0;
2000-04-13; ; ; ;13,6772;0;0;
2000-04-14; ; ; ;13,5802;0;0;
2000-04-17; ; ; ;13,1922;0;0;
2000-04-18; ; ; ;13,3862;0;0;
2000-04-19; ; ; ;13,4735;0;0;
2000-04-20; ; ; ;13,4735;0;0;
2000-04-21; ; ; ;13,4735;0;0;
2000-04-24; ; ; ;13,4735;0;0;
2000-04-25; ; ; ;13,4735;0;0;
2000-04-26; ; ; ;16,4903;0;0;
2000-04-27; ; ; ;15,6172;0;0;
2000-04-28; ; ; ;16,2963;0;0;
2000-05-01; ; ; ;16,2963;0;0;
2000-05-02; ; ; ;16,2963;0;0;
2000-05-03; ; ; ;16,5873;0;0;
2000-05-04; ; ; ;16,8298;0;0;
2000-05-05; ; ; ;17,2663;0;0;
2000-05-08; ; ; ;17,4603;0;0;
2000-05-09; ; ; ;17,6058;0;0;
2000-05-10; ; ; ;18,1393;0;0;
2000-05-11; ; ; ;18,1393;0;0;
2000-05-12; ; ; ;18,9153;0;0;
2000-05-15; ; ; ;20,8747;0;0;
2000-05-16; ; ; ;21,3403;0;0;
2000-05-17; ; ; ;19,9823;0;0;
2000-05-18; ; ; ;19,9823;0;0;
2000-05-19; ; ; ;19,8853;0;0;
2000-05-22; ; ; ;19,9823;0;0;
2000-05-23; ; ; ;19,8853;0;0;
2000-05-24; ; ; ;19,604;0;0;
2000-05-25; ; ; ;19,604;0;0;
2000-05-26; ; ; ;19,604;0;0;
2000-05-29; ; ; ;20,3703;0;0;
2000-05-30; ; ; ;20,3703;0;0;
2000-05-31; ; ; ;20,8553;0;0;
2000-06-01; ; ; ;19,8853;0;0;
2000-06-02; ; ; ;20,2248;0;0;
2000-06-05; ; ; ;20,8553;0;0;
2000-06-06; ; ; ;21,0493;0;0;
2000-06-07; ; ; ;21,3403;0;0;
2000-06-08; ; ; ;21,6313;0;0;
2000-06-09; ; ; ;21,6313;0;0;
2000-06-12; ; ; ;21,6313;0;0;
2000-06-13; ; ; ;20,9523;0;0;
