Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;;
2000-01-03; ; ; ;14,20;0;0;
2000-01-04; ; ; ;13,35;0;0;
2000-01-05; ; ; ;12,90;0;0;
2000-01-06; ; ; ;13,35;0;0;
2000-01-07; ; ; ;13,01;0;0;
2000-01-10; ; ; ;13,01;0;0;
2000-01-11; ; ; ;13,53;0;0;
2000-01-12; ; ; ;13,53;0;0;
2000-01-13; ; ; ;13,53;0;0;
2000-01-14; ; ; ;13,25;0;0;
2000-01-17; ; ; ;12,85;0;0;
2000-01-18; ; ; ;12,85;0;0;
2000-01-19; ; ; ;12,85;0;0;
2000-01-20; ; ; ;12,35;0;0;
2000-01-21; ; ; ;12,35;0;0;
2000-01-24; ; ; ;12,50;0;0;
2000-01-25; ; ; ;11,80;0;0;
2000-01-26; ; ; ;12,40;0;0;
2000-01-27; ; ; ;12,40;0;0;
2000-01-28; ; ; ;12,40;0;0;
2000-01-31; ; ; ;12,10;0;0;
2000-02-01; ; ; ;12,40;0;0;
2000-02-02; ; ; ;12,40;0;0;
2000-02-03; ; ; ;13,00;0;0;
2000-02-04; ; ; ;13,24;0;0;
2000-02-07; ; ; ;13,40;0;0;
2000-02-08; ; ; ;13,40;0;0;
2000-02-09; ; ; ;12,45;0;0;
2000-02-10; ; ; ;12,30;0;0;
2000-02-11; ; ; ;12,30;0;0;
2000-02-14; ; ; ;12,30;0;0;
2000-02-15; ; ; ;12,30;0;0;
2000-02-16; ; ; ;12,70;0;0;
2000-02-17; ; ; ;12,70;0;0;
2000-02-18; ; ; ;13,08;0;0;
2000-02-21; ; ; ;13,65;0;0;
2000-02-22; ; ; ;13,49;0;0;
2000-02-23; ; ; ;13,60;0;0;
2000-02-24; ; ; ;13,50;0;0;
2000-02-25; ; ; ;13,15;0;0;
2000-02-28; ; ; ;13,15;0;0;
2000-02-29; ; ; ;13,15;0;0;
2000-03-01; ; ; ;13,15;0;0;
2000-03-02; ; ; ;13,15;0;0;
2000-03-03; ; ; ;12,95;0;0;
2000-03-06; ; ; ;12,85;0;0;
2000-03-07; ; ; ;12,85;0;0;
2000-03-08; ; ; ;11,90;0;0;
2000-03-09; ; ; ;12,11;0;0;
2000-03-10; ; ; ;12,11;0;0;
2000-03-13; ; ; ;12,11;0;0;
2000-03-14; ; ; ;13,09;0;0;
2000-03-15; ; ; ;14,50;0;0;
2000-03-16; ; ; ;14,20;0;0;
2000-03-17; ; ; ;13,90;0;0;
2000-03-20; ; ; ;13,50;0;0;
2000-03-21; ; ; ;15,00;0;0;
2000-03-22; ; ; ;15,88;0;0;
2000-03-23; ; ; ;15,28;0;0;
2000-03-24; ; ; ;15,37;0;0;
2000-03-27; ; ; ;15,00;0;0;
2000-03-28; ; ; ;15,00;0;0;
2000-03-29; ; ; ;16,19;0;0;
2000-03-30; ; ; ;16,19;0;0;
2000-03-31; ; ; ;15,00;0;0;
2000-04-03; ; ; ;15,01;0;0;
2000-04-04; ; ; ;15,45;0;0;
2000-04-05; ; ; ;15,45;0;0;
2000-04-06; ; ; ;14,80;0;0;
2000-04-07; ; ; ;14,80;0;0;
2000-04-10; ; ; ;15,10;0;0;
2000-04-11; ; ; ;15,10;0;0;
2000-04-12; ; ; ;15,00;0;0;
2000-04-13; ; ; ;15,19;0;0;
2000-04-14; ; ; ;15,19;0;0;
2000-04-17; ; ; ;15,19;0;0;
2000-04-18; ; ; ;14,44;0;0;
2000-04-19; ; ; ;14,15;0;0;
2000-04-20; ; ; ;14,10;0;0;
2000-04-21; ; ; ;14,10;0;0;
2000-04-24; ; ; ;14,10;0;0;
2000-04-25; ; ; ;14,10;0;0;
2000-04-26; ; ; ;14,10;0;0;
2000-04-27; ; ; ;14,20;0;0;
2000-04-28; ; ; ;13,85;0;0;
2000-05-01; ; ; ;13,85;0;0;
2000-05-02; ; ; ;14,30;0;0;
2000-05-03; ; ; ;14,00;0;0;
2000-05-04; ; ; ;14,45;0;0;
2000-05-05; ; ; ;14,60;0;0;
2000-05-08; ; ; ;15,00;0;0;
2000-05-09; ; ; ;15,70;0;0;
2000-05-10; ; ; ;15,10;0;0;
2000-05-11; ; ; ;15,86;0;0;
2000-05-12; ; ; ;15,65;0;0;
2000-05-15; ; ; ;15,50;0;0;
2000-05-16; ; ; ;15,80;0;0;
2000-05-17; ; ; ;15,80;0;0;
2000-05-18; ; ; ;15,80;0;0;
2000-05-19; ; ; ;13,90;0;0;
2000-05-22; ; ; ;14,00;0;0;
2000-05-23; ; ; ;14,75;0;0;
2000-05-24; ; ; ;15,65;0;0;
2000-05-25; ; ; ;15,95;0;0;
2000-05-26; ; ; ;15,60;0;0;
2000-05-29; ; ; ;16,20;0;0;
2000-05-30; ; ; ;15,99;0;0;
2000-05-31; ; ; ;15,99;0;0;
2000-06-01; ; ; ;16,26;0;0;
2000-06-02; ; ; ;16,26;0;0;
2000-06-05; ; ; ;16,24;0;0;
2000-06-06; ; ; ;16,40;0;0;
2000-06-07; ; ; ;16,40;0;0;
2000-06-08; ; ; ;16,40;0;0;
2000-06-09; ; ; ;15,70;0;0;
2000-06-12; ; ; ;15,70;0;0;
2000-06-13; ; ; ;15,70;0;0;
2000-06-14; ; ; ;16,80;0;0;
2000-06-15; ; ; ;16,80;0;0;
2000-06-16; ; ; ;16,80;0;0;
2000-06-19; ; ; ;16,80;0;0;
2000-06-20; ; ; ;16,80;0;0;
2000-06-21; ; ; ;15,75;0;0;
2000-06-22; ; ; ;15,75;0;0;
2000-06-23; ; ; ;15,65;0;0;
2000-06-26; ; ; ;15,65;0;0;
2000-06-27; ; ; ;15,65;0;0;
2000-06-28; ; ; ;15,65;0;0;
2000-06-29; ; ; ;16,00;0;0;
2000-06-30; ; ; ;16,00;0;0;
2000-07-03; ; ; ;15,80;0;0;
2000-07-04; ; ; ;16,45;0;0;
2000-07-05; ; ; ;16,50;0;0;
2000-07-06; ; ; ;17,50;0;0;
2000-07-07; ; ; ;17,50;0;0;
2000-07-10; ; ; ;17,50;0;0;
2000-07-11; ; ; ;17,90;0;0;
2000-07-12; ; ; ;17,90;0;0;
2000-07-13; ; ; ;17,90;0;0;
2000-07-14; ; ; ;17,90;0;0;
2000-07-17; ; ; ;17,90;0;0;
2000-07-18; ; ; ;17,90;0;0;
2000-07-19; ; ; ;17,90;0;0;
2000-07-20; ; ; ;18,80;0;0;
2000-07-21; ; ; ;18,80;0;0;
2000-07-24; ; ; ;18,80;0;0;
2000-07-25; ; ; ;17,53;0;0;
2000-07-26; ; ; ;18,50;0;0;
2000-07-27; ; ; ;18,30;0;0;
2000-07-28; ; ; ;18,20;0;0;
2000-07-31; ; ; ;18,20;0;0;
2000-08-01; ; ; ;18,00;0;0;
2000-08-02; ; ; ;18,00;0;0;
2000-08-03; ; ; ;18,40;0;0;
2000-08-04; ; ; ;18,40;0;0;
2000-08-07; ; ; ;18,40;0;0;
2000-08-08; ; ; ;18,40;0;0;
2000-08-09; ; ; ;18,51;0;0;
2000-08-10; ; ; ;19,00;0;0;
2000-08-11; ; ; ;19,00;0;0;
2000-08-14; ; ; ;19,00;0;0;
2000-08-15; ; ; ;19,00;0;0;
2000-08-16; ; ; ;18,80;0;0;
2000-08-17; ; ; ;18,60;0;0;
2000-08-18; ; ; ;18,60;0;0;
2000-08-21; ; ; ;18,60;0;0;
2000-08-22; ; ; ;18,60;0;0;
2000-08-23; ; ; ;18,60;0;0;
2000-08-24; ; ; ;18,60;0;0;
2000-08-25; ; ; ;18,60;0;0;
2000-08-28; ; ; ;18,60;0;0;
2000-08-29; ; ; ;18,60;0;0;
2000-08-30; ; ; ;18,41;0;0;
2000-08-31; ; ; ;18,41;0;0;
2000-09-01; ; ; ;18,31;0;0;
2000-09-04; ; ; ;18,94;0;0;
2000-09-05; ; ; ;18,70;0;0;
2000-09-06; ; ; ;18,83;0;0;
2000-09-07; ; ; ;18,41;0;0;
2000-09-08; ; ; ;19,44;0;0;
2000-09-11; ; ; ;19,25;0;0;
2000-09-12; ; ; ;18,73;0;0;
2000-09-13; ; ; ;19,06;0;0;
2000-09-14; ; ; ;19,10;0;0;
2000-09-15; ; ; ;19,50;0;0;
2000-09-18; ; ; ;19,00;0;0;
2000-09-19; ; ; ;18,90;0;0;
2000-09-20; ; ; ;18,70;0;0;
2000-09-21; ; ; ;19,30;0;0;
2000-09-22; ; ; ;19,30;0;0;
2000-09-25; ; ; ;19,00;0;0;
2000-09-26; ; ; ;19,29;0;0;
2000-09-27; ; ; ;19,15;0;0;
2000-09-28; ; ; ;18,83;0;0;
2000-09-29; ; ; ;19,80;0;0;
2000-10-02; ; ; ;20,25;0;0;
2000-10-03;;;;20,25;;;Inserted
2000-10-04; ; ; ;21,50;0;0;
2000-10-05; ; ; ;20,90;0;0;
2000-10-06; ; ; ;20,70;0;0;
2000-10-09; ; ; ;20,60;0;0;
2000-10-10; ; ; ;20,90;0;0;
2000-10-11; ; ; ;20,90;0;0;
2000-10-12; ; ; ;21,00;0;0;
2000-10-13; ; ; ;20,30;0;0;
2000-10-16; ; ; ;20,50;0;0;
2000-10-17; ; ; ;20,00;0;0;
2000-10-18; ; ; ;19,70;0;0;
2000-10-19; ; ; ;19,80;0;0;
2000-10-20; ; ; ;19,85;0;0;
2000-10-23; ; ; ;20,35;0;0;
2000-10-24; ; ; ;20,45;0;0;
2000-10-25; ; ; ;20,00;0;0;
2000-10-26; ; ; ;20,00;0;0;
2000-10-27; ; ; ;20,98;0;0;
2000-10-30; ; ; ;21,45;0;0;
2000-10-31; ; ; ;21,50;0;0;
2000-11-01; ; ; ;20,45;0;0;
2000-11-02; ; ; ;20,50;0;0;
2000-11-03; ; ; ;21,00;0;0;
2000-11-06; ; ; ;20,50;0;0;
2000-11-07; ; ; ;21,76;0;0;
2000-11-08; ; ; ;22,00;0;0;
