Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;;
2000-01-03; ; ; ;17,4821;0;0;
2000-01-04; ; ; ;17,4821;0;0;
2000-01-05; ; ; ;17,4821;0;0;
2000-01-06; ; ; ;17,4821;0;0;
2000-01-07; ; ; ;17,4821;0;0;
2000-01-10; ; ; ;17,4821;0;0;
2000-01-11; ; ; ;17,4821;0;0;
2000-01-12; ; ; ;17,4821;0;0;
2000-01-13; ; ; ;17,4821;0;0;
2000-01-14; ; ; ;17,4821;0;0;
2000-01-17; ; ; ;17,4821;0;0;
2000-01-18; ; ; ;17,4821;0;0;
2000-01-19; ; ; ;17,4821;0;0;
2000-01-20; ; ; ;17,4821;0;0;
2000-01-21; ; ; ;17,4821;0;0;
2000-01-24; ; ; ;17,6534;0;0;
2000-01-25; ; ; ;17,6534;0;0;
2000-01-26; ; ; ;17,6534;0;0;
2000-01-27; ; ; ;17,6534;0;0;
2000-01-28; ; ; ;17,6534;0;0;
2000-01-31; ; ; ;17,6534;0;0;
2000-02-01; ; ; ;17,6534;0;0;
2000-02-02; ; ; ;17,6534;0;0;
2000-02-03; ; ; ;17,6534;0;0;
2000-02-04; ; ; ;17,6534;0;0;
2000-02-07; ; ; ;17,6534;0;0;
2000-02-08; ; ; ;17,6534;0;0;
2000-02-09; ; ; ;17,6534;0;0;
2000-02-10; ; ; ;17,6534;0;0;
2000-02-11; ; ; ;17,6534;0;0;
2000-02-14; ; ; ;17,6534;0;0;
2000-02-15; ; ; ;17,6534;0;0;
2000-02-16; ; ; ;17,6534;0;0;
2000-02-17; ; ; ;17,6534;0;0;
2000-02-18; ; ; ;17,6534;0;0;
2000-02-21; ; ; ;17,6534;0;0;
2000-02-22; ; ; ;17,6534;0;0;
2000-02-23; ; ; ;17,6534;0;0;
2000-02-24; ; ; ;17,6534;0;0;
2000-02-25; ; ; ;17,6534;0;0;
2000-02-28; ; ; ;20,0823;0;0;
2000-02-29; ; ; ;20,0823;0;0;
2000-03-01; ; ; ;20,0823;0;0;
2000-03-02; ; ; ;20,0823;0;0;
2000-03-03; ; ; ;20,0823;0;0;
2000-03-06; ; ; ;19,098;0;0;
