Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;;
2000-01-03; ; ; ;17,925;0;0;
2000-01-04; ; ; ;17,50;0;0;
2000-01-05; ; ; ;17,50;0;0;
2000-01-06; ; ; ;18,25;0;0;
2000-01-07; ; ; ;18,00;0;0;
2000-01-10; ; ; ;18,2725;0;0;
2000-01-11; ; ; ;18,1025;0;0;
2000-01-12; ; ; ;18,00;0;0;
2000-01-13; ; ; ;17,4625;0;0;
2000-01-14; ; ; ;16,8375;0;0;
2000-01-17; ; ; ;17,00;0;0;
2000-01-18; ; ; ;17,00;0;0;
2000-01-19; ; ; ;16,65;0;0;
2000-01-20; ; ; ;16,375;0;0;
2000-01-21; ; ; ;16,3875;0;0;
2000-01-24; ; ; ;16,50;0;0;
2000-01-25; ; ; ;15,96;0;0;
2000-01-26; ; ; ;15,4125;0;0;
2000-01-27; ; ; ;16,3375;0;0;
2000-01-28; ; ; ;15,50;0;0;
2000-01-31; ; ; ;14,3275;0;0;
2000-02-01; ; ; ;14,775;0;0;
2000-02-02; ; ; ;14,375;0;0;
2000-02-03; ; ; ;14,35;0;0;
2000-02-04; ; ; ;14,35;0;0;
2000-02-07; ; ; ;15,425;0;0;
2000-02-08; ; ; ;14,5525;0;0;
2000-02-09; ; ; ;13,75;0;0;
2000-02-10; ; ; ;13,975;0;0;
2000-02-11; ; ; ;13,2625;0;0;
2000-02-14; ; ; ;12,875;0;0;
2000-02-15; ; ; ;12,425;0;0;
2000-02-16; ; ; ;12,825;0;0;
2000-02-17; ; ; ;13,125;0;0;
2000-02-18; ; ; ;13,625;0;0;
2000-02-21; ; ; ;12,925;0;0;
2000-02-22; ; ; ;12,8625;0;0;
2000-02-23; ; ; ;12,40;0;0;
2000-02-24; ; ; ;12,25;0;0;
2000-02-25; ; ; ;12,55;0;0;
2000-02-28; ; ; ;13,245;0;0;
2000-02-29; ; ; ;13,75;0;0;
2000-03-01; ; ; ;13,75;0;0;
2000-03-02; ; ; ;14,75;0;0;
2000-03-03; ; ; ;13,6775;0;0;
2000-03-06; ; ; ;12,7625;0;0;
2000-03-07; ; ; ;13,00;0;0;
2000-03-08; ; ; ;13,05;0;0;
2000-03-09; ; ; ;12,90;0;0;
2000-03-10; ; ; ;12,75;0;0;
2000-03-13; ; ; ;12,5875;0;0;
2000-03-14; ; ; ;12,75;0;0;
2000-03-15; ; ; ;12,5375;0;0;
2000-03-16; ; ; ;14,25;0;0;
2000-03-17; ; ; ;13,7525;0;0;
2000-03-20; ; ; ;13,5875;0;0;
2000-03-21; ; ; ;13,88;0;0;
2000-03-22; ; ; ;13,5725;0;0;
2000-03-23; ; ; ;13,50;0;0;
2000-03-24; ; ; ;13,325;0;0;
2000-03-27; ; ; ;13,8525;0;0;
2000-03-28; ; ; ;13,7625;0;0;
2000-03-29; ; ; ;14,175;0;0;
2000-03-30; ; ; ;14,65;0;0;
2000-03-31; ; ; ;14,50;0;0;
2000-04-03; ; ; ;14,25;0;0;
2000-04-04; ; ; ;14,3625;0;0;
2000-04-05; ; ; ;14,15;0;0;
2000-04-06; ; ; ;14,325;0;0;
2000-04-07; ; ; ;14,0625;0;0;
2000-04-10; ; ; ;14,3425;0;0;
2000-04-11; ; ; ;14,3875;0;0;
2000-04-12; ; ; ;15,175;0;0;
2000-04-13; ; ; ;16,1125;0;0;
2000-04-14; ; ; ;15,375;0;0;
2000-04-17; ; ; ;16,0125;0;0;
2000-04-18; ; ; ;15,975;0;0;
2000-04-19; ; ; ;15,625;0;0;
2000-04-20; ; ; ;15,625;0;0;
2000-04-21; ; ; ;15,625;0;0;
2000-04-24; ; ; ;15,625;0;0;
2000-04-25; ; ; ;16,375;0;0;
2000-04-26; ; ; ;17,4225;0;0;
2000-04-27; ; ; ;17,50;0;0;
2000-04-28; ; ; ;17,6125;0;0;
2000-05-01; ; ; ;17,6125;0;0;
2000-05-02; ; ; ;17,50;0;0;
2000-05-03; ; ; ;17,25;0;0;
2000-05-04; ; ; ;16,625;0;0;
2000-05-05; ; ; ;17,55;0;0;
2000-05-08; ; ; ;17,3725;0;0;
2000-05-09; ; ; ;16,60;0;0;
2000-05-10; ; ; ;16,6875;0;0;
