Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;;
2000-01-03; ; ; ;44,4811;0;0;
2000-01-04; ; ; ;43,3002;0;0;
2000-01-05; ; ; ;42,2078;0;0;
2000-01-06; ; ; ;43,4478;0;0;
2000-01-07; ; ; ;45,2585;0;0;
2000-01-10; ; ; ;46,902;0;0;
2000-01-11; ; ; ;45,5144;0;0;
2000-01-12; ; ; ;43,5462;0;0;
2000-01-13; ; ; ;43,251;0;0;
2000-01-14; ; ; ;44,2843;0;0;
2000-01-17; ; ; ;45,5144;0;0;
2000-01-18; ; ; ;44,3827;0;0;
2000-01-19; ; ; ;44,3827;0;0;
2000-01-20; ; ; ;43,7922;0;0;
2000-01-21; ; ; ;43,0542;0;0;
2000-01-24; ; ; ;43,3002;0;0;
2000-01-25; ; ; ;41,0368;0;0;
2000-01-26; ; ; ;40,9384;0;0;
2000-01-27; ; ; ;40,2495;0;0;
2000-01-28; ; ; ;40,4955;0;0;
2000-01-31; ; ; ;39,2851;0;0;
2000-02-01; ; ; ;39,413;0;0;
2000-02-02; ; ; ;41,1352;0;0;
2000-02-03; ; ; ;41,8732;0;0;
2000-02-04; ; ; ;40,7415;0;0;
2000-02-07; ; ; ;39,659;0;0;
2000-02-08; ; ; ;42,6113;0;0;
2000-02-09; ; ; ;43,1034;0;0;
2000-02-10; ; ; ;43,7922;0;0;
2000-02-11; ; ; ;42,3161;0;0;
2000-02-14; ; ; ;43,005;0;0;
2000-02-15; ; ; ;40,5939;0;0;
2000-02-16; ; ; ;41,9224;0;0;
2000-02-17; ; ; ;43,2018;0;0;
2000-02-18; ; ; ;43,2805;0;0;
2000-02-21; ; ; ;42,7097;0;0;
2000-02-22; ; ; ;43,2018;0;0;
2000-02-23; ; ; ;43,005;0;0;
2000-02-24; ; ; ;42,0209;0;0;
2000-02-25; ; ; ;42,1193;0;0;
2000-02-28; ; ; ;42,1685;0;0;
2000-02-29; ; ; ;43,0935;0;0;
2000-03-01; ; ; ;42,0209;0;0;
2000-03-02; ; ; ;42,1685;0;0;
2000-03-03; ; ; ;41,2336;0;0;
2000-03-06; ; ; ;41,3418;0;0;
2000-03-07; ; ; ;40,1216;0;0;
2000-03-08; ; ; ;39,9838;0;0;
2000-03-09; ; ; ;41,0368;0;0;
2000-03-10; ; ; ;40,0035;0;0;
2000-03-13; ; ; ;40,653;0;0;
2000-03-14; ; ; ;40,9482;0;0;
2000-03-15; ; ; ;41,3517;0;0;
2000-03-16; ; ; ;44,3827;0;0;
2000-03-17; ; ; ;45,17;0;0;
2000-03-20; ; ; ;44,8944;0;0;
2000-03-21; ; ; ;44,5303;0;0;
2000-03-22; ; ; ;44,2351;0;0;
2000-03-23; ; ; ;43,3002;0;0;
2000-03-24; ; ; ;43,3002;0;0;
2000-03-27; ; ; ;43,9005;0;0;
2000-03-28; ; ; ;45,1208;0;0;
2000-03-29; ; ; ;46,1737;0;0;
2000-03-30; ; ; ;46,0556;0;0;
2000-03-31; ; ; ;46,036;0;0;
2000-04-03; ; ; ;46,2033;0;0;
2000-04-04; ; ; ;46,7445;0;0;
2000-04-05; ; ; ;44,7763;0;0;
2000-04-06; ; ; ;43,5954;0;0;
2000-04-07; ; ; ;43,2116;0;0;
2000-04-10; ; ; ;44,3827;0;0;
2000-04-11; ; ; ;43,6938;0;0;
2000-04-12; ; ; ;44,0579;0;0;
2000-04-13; ; ; ;43,8414;0;0;
2000-04-14; ; ; ;43,6151;0;0;
2000-04-17; ; ; ;42,9557;0;0;
2000-04-18; ; ; ;42,7589;0;0;
2000-04-19; ; ; ;42,0701;0;0;
2000-04-20; ; ; ;41,8732;0;0;
2000-04-21; ; ; ;41,8732;0;0;
2000-04-24; ; ; ;41,8732;0;0;
2000-04-25; ; ; ;43,1821;0;0;
2000-04-26; ; ; ;43,8906;0;0;
2000-04-27; ; ; ;43,4576;0;0;
2000-04-28; ; ; ;45,1011;0;0;
2000-05-01; ; ; ;45,1011;0;0;
2000-05-02; ; ; ;43,6938;0;0;
2000-05-03; ; ; ;43,3789;0;0;
2000-05-04; ; ; ;44,0383;0;0;
2000-05-05; ; ; ;43,5954;0;0;
2000-05-08; ; ; ;43,2313;0;0;
2000-05-09; ; ; ;43,8906;0;0;
2000-05-10; ; ; ;42,8081;0;0;
2000-05-11; ; ; ;42,8573;0;0;
2000-05-12; ; ; ;42,6408;0;0;
2000-05-15; ; ; ;42,0701;0;0;
2000-05-16; ; ; ;42,7097;0;0;
2000-05-17; ; ; ;42,1685;0;0;
2000-05-18; ; ; ;42,0012;0;0;
2000-05-19; ; ; ;41,8732;0;0;
2000-05-22; ; ; ;41,824;0;0;
2000-05-23; ; ; ;42,3554;0;0;
2000-05-24; ; ; ;42,5031;0;0;
2000-05-25; ; ; ;41,519;0;0;
2000-05-26; ; ; ;40,9384;0;0;
2000-05-29; ; ; ;41,4993;0;0;
2000-05-30; ; ; ;41,6075;0;0;
2000-05-31; ; ; ;40,7415;0;0;
2000-06-01; ; ; ;41,1352;0;0;
2000-06-02; ; ; ;41,3812;0;0;
2000-06-05; ; ; ;41,6272;0;0;
2000-06-06; ; ; ;40,8793;0;0;
2000-06-07; ; ; ;41,3221;0;0;
2000-06-08; ; ; ;40,7809;0;0;
2000-06-09; ; ; ;41,7256;0;0;
2000-06-12; ; ; ;41,7551;0;0;
2000-06-13; ; ; ;41,578;0;0;
2000-06-14; ; ; ;41,2631;0;0;
2000-06-15; ; ; ;40,1511;0;0;
2000-06-16; ; ; ;38,8422;0;0;
2000-06-19; ; ; ;39,2555;0;0;
2000-06-20; ; ; ;39,167;0;0;
2000-06-21; ; ; ;38,5273;0;0;
2000-06-22; ; ; ;38,0845;0;0;
2000-06-23; ; ; ;37,9369;0;0;
2000-06-26; ; ; ;38,1435;0;0;
2000-06-27; ; ; ;38,2715;0;0;
2000-06-28; ; ; ;39,2555;0;0;
2000-06-29; ; ; ;38,7832;0;0;
2000-06-30; ; ; ;40,2298;0;0;
2000-07-03; ; ; ;40,712;0;0;
2000-07-04; ; ; ;41,3517;0;0;
2000-07-05; ; ; ;41,332;0;0;
2000-07-06; ; ; ;40,6825;0;0;
2000-07-07; ; ; ;41,1549;0;0;
2000-07-10; ; ; ;41,3714;0;0;
2000-07-11; ; ; ;41,1549;0;0;
2000-07-12; ; ; ;42,7196;0;0;
2000-07-13; ; ; ;42,7097;0;0;
2000-07-14; ; ; ;41,824;0;0;
2000-07-17; ; ; ;42,4637;0;0;
2000-07-18; ; ; ;42,1685;0;0;
2000-07-19; ; ; ;42,2866;0;0;
2000-07-20; ; ; ;43,005;0;0;
2000-07-21; ; ; ;42,5129;0;0;
2000-07-24; ; ; ;43,1526;0;0;
2000-07-25; ; ; ;44,1859;0;0;
2000-07-26; ; ; ;44,1367;0;0;
2000-07-27; ; ; ;43,1821;0;0;
2000-07-28; ; ; ;44,5303;0;0;
2000-07-31; ; ; ;44,4024;0;0;
2000-08-01; ; ; ;44,3827;0;0;
2000-08-02; ; ; ;44,4319;0;0;
2000-08-03; ; ; ;44,5795;0;0;
2000-08-04; ; ; ;44,2548;0;0;
2000-08-07; ; ; ;44,7763;0;0;
2000-08-08; ; ; ;44,0481;0;0;
2000-08-09; ; ; ;43,6938;0;0;
2000-08-10; ; ; ;43,9595;0;0;
2000-08-11; ; ; ;45,0715;0;0;
2000-08-14; ; ; ;45,2388;0;0;
2000-08-15; ; ; ;46,0064;0;0;
2000-08-16; ; ; ;46,0261;0;0;
2000-08-17; ; ; ;45,3077;0;0;
2000-08-18; ; ; ;45,8785;0;0;
2000-08-21; ; ; ;46,1541;0;0;
2000-08-22; ; ; ;46,4394;0;0;
2000-08-23; ; ; ;46,6363;0;0;
2000-08-24; ; ; ;46,5477;0;0;
2000-08-25; ; ; ;47,9057;0;0;
2000-08-28; ; ; ;47,5318;0;0;
2000-08-29; ; ; ;47,0693;0;0;
2000-08-30; ; ; ;47,0397;0;0;
2000-08-31; ; ; ;46,7445;0;0;
2000-09-01; ; ; ;45,908;0;0;
2000-09-04; ; ; ;45,8982;0;0;
2000-09-05; ; ; ;46,1737;0;0;
2000-09-06; ; ; ;46,1442;0;0;
2000-09-07; ; ; ;45,17;0;0;
2000-09-08; ; ; ;43,7922;0;0;
2000-09-11; ; ; ;43,6446;0;0;
2000-09-12; ; ; ;43,6151;0;0;
2000-09-13; ; ; ;43,8414;0;0;
2000-09-14; ; ; ;43,7922;0;0;
2000-09-15; ; ; ;43,3199;0;0;
2000-09-18; ; ; ;42,5621;0;0;
2000-09-19; ; ; ;42,8672;0;0;
2000-09-20; ; ; ;41,391;0;0;
2000-09-21; ; ; ;40,6431;0;0;
2000-09-22; ; ; ;42,9065;0;0;
2000-09-25; ; ; ;42,4145;0;0;
2000-09-26; ; ; ;41,7158;0;0;
2000-09-27; ; ; ;41,6174;0;0;
2000-09-28; ; ; ;41,6863;0;0;
2000-09-29; ; ; ;41,4796;0;0;
2000-10-02; ; ; ;42,5719;0;0;
2000-10-03;;;;42,5719;;;Inserted
2000-10-04; ; ; ;43,4281;0;0;
2000-10-05; ; ; ;44,4811;0;0;
2000-10-06; ; ; ;45,1798;0;0;
2000-10-09; ; ; ;44,3335;0;0;
2000-10-10; ; ; ;44,422;0;0;
2000-10-11; ; ; ;44,3827;0;0;
2000-10-12; ; ; ;43,0542;0;0;
2000-10-13; ; ; ;44,0875;0;0;
2000-10-16; ; ; ;44,1268;0;0;
2000-10-17; ; ; ;44,6287;0;0;
2000-10-18; ; ; ;45,1896;0;0;
2000-10-19; ; ; ;47,4137;0;0;
2000-10-20; ; ; ;46,2623;0;0;
2000-10-23; ; ; ;46,0556;0;0;
2000-10-24; ; ; ;46,2525;0;0;
2000-10-25; ; ; ;46,7445;0;0;
2000-10-26; ; ; ;47,5318;0;0;
2000-10-27; ; ; ;48,2994;0;0;
2000-10-30; ; ; ;48,693;0;0;
2000-10-31; ; ; ;50,3365;0;0;
2000-11-01; ; ; ;50,6711;0;0;
2000-11-02; ; ; ;49,7362;0;0;
2000-11-03; ; ; ;50,6809;0;0;
2000-11-06; ; ; ;51,0844;0;0;
2000-11-07; ; ; ;51,1237;0;0;
2000-11-08; ; ; ;50,8187;0;0;
2000-11-09; ; ; ;50,1396;0;0;
2000-11-10; ; ; ;49,1359;0;0;
2000-11-13; ; ; ;48,9095;0;0;
2000-11-14; ; ; ;50,4841;0;0;
2000-11-15; ; ; ;50,4349;0;0;
2000-11-16; ; ; ;48,8406;0;0;
2000-11-17; ; ; ;48,4864;0;0;
2000-11-20; ; ; ;47,4432;0;0;
2000-11-21; ; ; ;48,5159;0;0;
2000-11-22; ; ; ;47,9254;0;0;
2000-11-23; ; ; ;47,8762;0;0;
2000-11-24; ; ; ;48,3387;0;0;
2000-11-27; ; ; ;49,0965;0;0;
2000-11-28; ; ; ;50,238;0;0;
2000-11-29; ; ; ;50,4053;0;0;
2000-11-30; ; ; ;49,4508;0;0;
2000-12-01; ; ; ;50,1593;0;0;
2000-12-04; ; ; ;50,1495;0;0;
2000-12-05; ; ; ;51,6256;0;0;
2000-12-06; ; ; ;53,0919;0;0;
2000-12-07; ; ; ;52,7475;0;0;
2000-12-08; ; ; ;54,7157;0;0;
2000-12-11; ; ; ;54,1646;0;0;
2000-12-12; ; ; ;52,0193;0;0;
2000-12-13; ; ; ;51,3796;0;0;
2000-12-14; ; ; ;51,4682;0;0;
2000-12-15; ; ; ;51,6551;0;0;
2000-12-18; ; ; ;53,1411;0;0;
2000-12-19; ; ; ;54,076;0;0;
2000-12-20; ; ; ;54,0268;0;0;
2000-12-21; ; ; ;52,7475;0;0;
2000-12-22; ; ; ;52,8459;0;0;
2000-12-25; ; ; ;52,8459;0;0;
2000-12-26; ; ; ;52,8459;0;0;
2000-12-27; ; ; ;53,8792;0;0;
2000-12-28; ; ; ;55,0011;0;0;
2000-12-29; ; ; ;54,8338;0;0;
2001-01-01; ; ; ;54,8338;0;0;
2001-01-02; ; ; ;55,995;0;0;
2001-01-03; ; ; ;54,9125;0;0;
2001-01-04; ; ; ;52,6491;0;0;
2001-01-05; ; ; ;52,7475;0;0;
2001-01-08; ; ; ;52,8262;0;0;
2001-01-09; ; ; ;51,1336;0;0;
2001-01-10; ; ; ;50,0019;0;0;
2001-01-11; ; ; ;50,5038;0;0;
2001-01-12; ; ; ;50,9564;0;0;
2001-01-15; ; ; ;51,7536;0;0;
2001-01-16; ; ; ;50,8777;0;0;
2001-01-17; ; ; ;51,1729;0;0;
2001-01-18; ; ; ;50,4841;0;0;
2001-01-19; ; ; ;49,9231;0;0;
2001-01-22; ; ; ;50,1987;0;0;
2001-01-23; ; ; ;50,6809;0;0;
2001-01-24; ; ; ;50,8285;0;0;
2001-01-25; ; ; ;50,8876;0;0;
2001-01-26; ; ; ;51,478;0;0;
2001-01-29; ; ; ;51,6158;0;0;
