Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;;
2000-01-03; ; ; ;25,292;0;0;
2000-01-04; ; ; ;24,9274;0;0;
2000-01-05; ; ; ;24,6266;0;0;
2000-01-06; ; ; ;24,6266;0;0;
2000-01-07; ; ; ;24,0889;0;0;
2000-01-10; ; ; ;24,0616;0;0;
2000-01-11; ; ; ;23,697;0;0;
2000-01-12; ; ; ;23,8838;0;0;
2000-01-13; ; ; ;24,4261;0;0;
2000-01-14; ; ; ;24,5993;0;0;
2000-01-17; ; ; ;24,973;0;0;
2000-01-18; ; ; ;25,1553;0;0;
2000-01-19; ; ; ;25,1553;0;0;
2000-01-20; ; ; ;25,1553;0;0;
2000-01-21; ; ; ;24,1071;0;0;
2000-01-24; ; ; ;24,7907;0;0;
2000-01-25; ; ; ;25,5198;0;0;
2000-01-26; ; ; ;25,1553;0;0;
2000-01-27; ; ; ;25,9755;0;0;
2000-01-28; ; ; ;28,2541;0;0;
2000-01-31; ; ; ;27,4338;0;0;
2000-02-01; ; ; ;27,9807;0;0;
2000-02-02; ; ; ;28,4364;0;0;
2000-02-03; ; ; ;29,3478;0;0;
2000-02-04; ; ; ;29,439;0;0;
2000-02-07; ; ; ;29,439;0;0;
2000-02-08; ; ; ;29,7579;0;0;
2000-02-09; ; ; ;29,7579;0;0;
2000-02-10; ; ; ;28,7098;0;0;
2000-02-11; ; ; ;27,2515;0;0;
2000-02-14; ; ; ;26,6135;0;0;
2000-02-15; ; ; ;26,6135;0;0;
2000-02-16; ; ; ;28,7189;0;0;
2000-02-17; ; ; ;29,6212;0;0;
2000-02-18; ; ; ;30,0769;0;0;
2000-02-21; ; ; ;28,6642;0;0;
2000-02-22; ; ; ;27,3883;0;0;
2000-02-23; ; ; ;27,4338;0;0;
2000-02-24; ; ; ;28,6187;0;0;
2000-02-25; ; ; ;27,4346;0;0;
2000-02-28; ; ; ;27,5979;0;0;
2000-02-29; ; ; ;27,6161;0;0;
2000-03-01; ; ; ;27,3883;0;0;
2000-03-02; ; ; ;27,525;0;0;
2000-03-03; ; ; ;27,2333;0;0;
2000-03-06; ; ; ;25,9755;0;0;
2000-03-07; ; ; ;26,0485;0;0;
2000-03-08; ; ; ;26,3401;0;0;
2000-03-09; ; ; ;26,249;0;0;
2000-03-10; ; ; ;25,5016;0;0;
2000-03-13; ; ; ;24,8818;0;0;
2000-03-14; ; ; ;25,5107;0;0;
2000-03-15; ; ; ;25,5198;0;0;
2000-03-16; ; ; ;25,5198;0;0;
2000-03-17; ; ; ;24,9365;0;0;
2000-03-20; ; ; ;26,0211;0;0;
2000-03-21; ; ; ;25,9755;0;0;
2000-03-22; ; ; ;26,249;0;0;
2000-03-23; ; ; ;26,249;0;0;
2000-03-24; ; ; ;26,249;0;0;
2000-03-27; ; ; ;27,7984;0;0;
2000-03-28; ; ; ;28,7098;0;0;
2000-03-29; ; ; ;27,7984;0;0;
2000-03-30; ; ; ;27,7984;0;0;
2000-03-31; ; ; ;27,7984;0;0;
2000-04-03; ; ; ;27,3427;0;0;
2000-04-04; ; ; ;27,3427;0;0;
2000-04-05; ; ; ;27,3427;0;0;
2000-04-06; ; ; ;26,887;0;0;
2000-04-07; ; ; ;27,7984;0;0;
2000-04-10; ; ; ;27,7984;0;0;
2000-04-11; ; ; ;27,7984;0;0;
2000-04-12; ; ; ;26,887;0;0;
2000-04-13; ; ; ;26,4313;0;0;
2000-04-14; ; ; ;26,4313;0;0;
2000-04-17; ; ; ;25,0641;0;0;
2000-04-18; ; ; ;24,6996;0;0;
2000-04-19; ; ; ;24,6084;0;0;
2000-04-20; ; ; ;24,4717;0;0;
2000-04-21; ; ; ;24,4717;0;0;
2000-04-24; ; ; ;24,4717;0;0;
2000-04-25; ; ; ;25,0824;0;0;
2000-04-26; ; ; ;25,4287;0;0;
2000-04-27; ; ; ;25,9755;0;0;
2000-04-28; ; ; ;25,5289;0;0;
2000-05-01; ; ; ;25,5289;0;0;
2000-05-02; ; ; ;25,2464;0;0;
2000-05-03; ; ; ;25,5198;0;0;
2000-05-04; ; ; ;27,3518;0;0;
2000-05-05; ; ; ;27,1148;0;0;
2000-05-08; ; ; ;27,3427;0;0;
2000-05-09; ; ; ;27,3427;0;0;
2000-05-10; ; ; ;27,3427;0;0;
2000-05-11; ; ; ;27,206;0;0;
2000-05-12; ; ; ;27,1604;0;0;
2000-05-15; ; ; ;26,887;0;0;
2000-05-16; ; ; ;27,2971;0;0;
2000-05-17; ; ; ;27,4338;0;0;
2000-05-18; ; ; ;27,4338;0;0;
2000-05-19; ; ; ;27,206;0;0;
2000-05-22; ; ; ;26,7503;0;0;
2000-05-23; ; ; ;27,3427;0;0;
2000-05-24; ; ; ;26,887;0;0;
2000-05-25; ; ; ;25,9755;0;0;
2000-05-26; ; ; ;25,5198;0;0;
2000-05-29; ; ; ;25,5289;0;0;
2000-05-30; ; ; ;25,5198;0;0;
2000-05-31; ; ; ;25,5745;0;0;
2000-06-01; ; ; ;25,9755;0;0;
2000-06-02; ; ; ;25,9755;0;0;
2000-06-05; ; ; ;25,9755;0;0;
2000-06-06; ; ; ;26,4313;0;0;
2000-06-07; ; ; ;26,4313;0;0;
2000-06-08; ; ; ;25,611;0;0;
2000-06-09; ; ; ;25,611;0;0;
2000-06-12; ; ; ;25,611;0;0;
2000-06-13; ; ; ;25,611;0;0;
2000-06-14; ; ; ;26,8414;0;0;
2000-06-15; ; ; ;25,7326;0;0;
2000-06-16; ; ; ;25,7326;0;0;
2000-06-19; ; ; ;25,7326;0;0;
2000-06-20; ; ; ;25,7021;0;0;
2000-06-21; ; ; ;25,7021;0;0;
2000-06-22; ; ; ;26,8414;0;0;
2000-06-23; ; ; ;26,8414;0;0;
2000-06-26; ; ; ;26,8414;0;0;
2000-06-27; ; ; ;26,6135;0;0;
2000-06-28; ; ; ;26,4313;0;0;
2000-06-29; ; ; ;26,2854;0;0;
2000-06-30; ; ; ;26,2854;0;0;
2000-07-03; ; ; ;26,2854;0;0;
2000-07-04; ; ; ;26,2854;0;0;
2000-07-05; ; ; ;26,2854;0;0;
2000-07-06; ; ; ;26,2854;0;0;
2000-07-07; ; ; ;26,7047;0;0;
2000-07-10; ; ; ;26,7047;0;0;
2000-07-11; ; ; ;26,1123;0;0;
2000-07-12; ; ; ;26,4313;0;0;
2000-07-13; ; ; ;26,4313;0;0;
2000-07-14; ; ; ;26,0393;0;0;
2000-07-17; ; ; ;26,0393;0;0;
2000-07-18; ; ; ;26,887;0;0;
2000-07-19; ; ; ;27,3427;0;0;
2000-07-20; ; ; ;26,887;0;0;
2000-07-21; ; ; ;26,887;0;0;
2000-07-24; ; ; ;26,887;0;0;
2000-07-25; ; ; ;26,887;0;0;
2000-07-26; ; ; ;26,887;0;0;
2000-07-27; ; ; ;26,887;0;0;
2000-07-28; ; ; ;26,887;0;0;
2000-07-31; ; ; ;29,0744;0;0;
2000-08-01; ; ; ;29,4936;0;0;
2000-08-02; ; ; ;30,6056;0;0;
2000-08-03; ; ; ;30,6056;0;0;
2000-08-04; ; ; ;31,7995;0;0;
2000-08-07; ; ; ;32,0274;0;0;
2000-08-08; ; ; ;31,8907;0;0;
2000-08-09; ; ; ;31,8907;0;0;
2000-08-10; ; ; ;31,8907;0;0;
2000-08-11; ; ; ;31,8087;0;0;
2000-08-14; ; ; ;31,8087;0;0;
2000-08-15; ; ; ;31,8087;0;0;
2000-08-16; ; ; ;32,5834;0;0;
2000-08-17; ; ; ;32,9479;0;0;
2000-08-18; ; ; ;32,8112;0;0;
2000-08-21; ; ; ;33,3581;0;0;
2000-08-22; ; ; ;33,3581;0;0;
2000-08-23; ; ; ;34,4427;0;0;
2000-08-24; ; ; ;34,9986;0;0;
2000-08-25; ; ; ;36,9126;0;0;
2000-08-28; ; ; ;35,6822;0;0;
2000-08-29; ; ; ;35,5911;0;0;
2000-08-30; ; ; ;34,8163;0;0;
2000-08-31; ; ; ;35,3632;0;0;
2000-09-01; ; ; ;35,6366;0;0;
2000-09-04; ; ; ;36,4569;0;0;
2000-09-05; ; ; ;36,4569;0;0;
2000-09-06; ; ; ;36,0923;0;0;
2000-09-07; ; ; ;36,5845;0;0;
2000-09-08; ; ; ;36,0012;0;0;
2000-09-11; ; ; ;35,8189;0;0;
2000-09-12; ; ; ;35,2265;0;0;
2000-09-13; ; ; ;34,1875;0;0;
2000-09-14; ; ; ;35,9192;0;0;
2000-09-15; ; ; ;36,0923;0;0;
2000-09-18; ; ; ;36,9126;0;0;
2000-09-19; ; ; ;37,094;0;0;
2000-09-20; ; ; ;36,5025;0;0;
2000-09-21; ; ; ;35,7278;0;0;
2000-09-22; ; ; ;35,7278;0;0;
2000-09-25; ; ; ;36,6848;0;0;
2000-09-26; ; ; ;36,4569;0;0;
2000-09-27; ; ; ;37,2316;0;0;
2000-09-28; ; ; ;37,3683;0;0;
2000-09-29; ; ; ;37,3683;0;0;
2000-10-02; ; ; ;37,3228;0;0;
2000-10-03; ; ; ;33,8138;0;0;
2000-10-04; ; ; ;37,5506;0;0;
2000-10-05; ; ; ;37,186;0;0;
2000-10-06; ; ; ;36,8215;0;0;
2000-10-09; ; ; ;36,4387;0;0;
2000-10-10; ; ; ;36,0012;0;0;
2000-10-11; ; ; ;34,8619;0;0;
2000-10-12; ; ; ;33,4978;0;0;
2000-10-13; ; ; ;36,0923;0;0;
2000-10-16; ; ; ;35,5455;0;0;
2000-10-17; ; ; ;35,0898;0;0;
2000-10-18; ; ; ;35,0898;0;0;
2000-10-19; ; ; ;35,0898;0;0;
2000-10-20; ; ; ;35,5455;0;0;
2000-10-23; ; ; ;35,5454;0;0;
2000-10-24; ; ; ;36,4569;0;0;
2000-10-25; ; ; ;35,3176;0;0;
2000-10-26; ; ; ;35,1353;0;0;
2000-10-27; ; ; ;35,0898;0;0;
2000-10-30; ; ; ;36,4022;0;0;
2000-10-31; ; ; ;36,1835;0;0;
2000-11-01; ; ; ;36,4113;0;0;
2000-11-02; ; ; ;35,5455;0;0;
2000-11-03; ; ; ;35,0898;0;0;
2000-11-06; ; ; ;35,0898;0;0;
2000-11-07; ; ; ;35,0442;0;0;
2000-11-08; ; ; ;34,5429;0;0;
2000-11-09; ; ; ;34,1783;0;0;
2000-11-10; ; ; ;34,1692;0;0;
2000-11-13; ; ; ;34,6249;0;0;
2000-11-14; ; ; ;35,1809;0;0;
2000-11-15; ; ; ;35,4543;0;0;
2000-11-16; ; ; ;35,1809;0;0;
2000-11-17; ; ; ;34,0872;0;0;
2000-11-20; ; ; ;33,7226;0;0;
2000-11-21; ; ; ;33,6315;0;0;
2000-11-22; ; ; ;31,7175;0;0;
2000-11-23; ; ; ;30,0769;0;0;
2000-11-24; ; ; ;30,9884;0;0;
2000-11-27; ; ; ;31,8087;0;0;
2000-11-28; ; ; ;31,7175;0;0;
2000-11-29; ; ; ;31,8907;0;0;
2000-11-30; ; ; ;30,9884;0;0;
2000-12-01; ; ; ;31,8087;0;0;
2000-12-04; ; ; ;29,6212;0;0;
2000-12-05; ; ; ;30,5327;0;0;
2000-12-06; ; ; ;32,2552;0;0;
2000-12-07; ; ; ;32,6289;0;0;
2000-12-08; ; ; ;32,9479;0;0;
2000-12-11; ; ; ;34,3151;0;0;
2000-12-12; ; ; ;35,9556;0;0;
2000-12-13; ; ; ;35,5364;0;0;
2000-12-14; ; ; ;34,6249;0;0;
2000-12-15; ; ; ;33,6315;0;0;
2000-12-18; ; ; ;34,6341;0;0;
2000-12-19; ; ; ;32,9024;0;0;
2000-12-20; ; ; ;31,8907;0;0;
2000-12-21; ; ; ;31,435;0;0;
2000-12-22; ; ; ;31,4441;0;0;
2000-12-25; ; ; ;31,4441;0;0;
2000-12-26; ; ; ;31,4441;0;0;
2000-12-27; ; ; ;31,5352;0;0;
2000-12-28; ; ; ;31,4897;0;0;
2000-12-29; ; ; ;31,6719;0;0;
2001-01-01; ; ; ;31,6719;0;0;
2001-01-02; ; ; ;31,8087;0;0;
2001-01-03; ; ; ;31,8087;0;0;
2001-01-04; ; ; ;30,2137;0;0;
2001-01-05; ; ; ;29,439;0;0;
2001-01-08; ; ; ;28,3908;0;0;
2001-01-09; ; ; ;28,245;0;0;
2001-01-10; ; ; ;27,9807;0;0;
2001-01-11; ; ; ;29,1655;0;0;
2001-01-12; ; ; ;30,0587;0;0;
2001-01-15; ; ; ;30,5327;0;0;
2001-01-16; ; ; ;30,7149;0;0;
