Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;;
2001-01-02; ; ; ;18,3924;0;0;
2001-01-03; ; ; ;18,3924;0;0;
2001-01-04; ; ; ;18,3924;0;0;
2001-01-05; ; ; ;18,4882;0;0;
2001-01-08; ; ; ;18,3924;0;0;
2001-01-09; ; ; ;18,4403;0;0;
2001-01-10; ; ; ;18,3924;0;0;
2001-01-11; ; ; ;18,3924;0;0;
2001-01-12; ; ; ;18,2008;0;0;
2001-01-15; ; ; ;18,5361;0;0;
2001-01-16; ; ; ;18,3924;0;0;
2001-01-17; ; ; ;18,2966;0;0;
2001-01-18; ; ; ;18,584;0;0;
2001-01-19; ; ; ;18,3924;0;0;
2001-01-22; ; ; ;18,2966;0;0;
2001-01-23; ; ; ;18,2966;0;0;
2001-01-24; ; ; ;18,3924;0;0;
2001-01-25; ; ; ;18,3924;0;0;
2001-01-26;19,063;19,063;19,063;19,063;0;0;
2001-01-29; ; ; ;19,063;0;0;
2001-01-30; ; ; ;19,063;0;0;
2001-01-31; ; ; ;19,063;0;0;
2001-02-01; ; ; ;19,063;0;0;
2001-02-02; ; ; ;19,063;0;0;
2001-02-05; ; ; ;19,063;0;0;
2001-02-06; ; ; ;19,063;0;0;
2001-02-07; ; ; ;19,063;0;0;
2001-02-08; ; ; ;19,063;0;0;
2001-02-09; ; ; ;19,063;0;0;
2001-02-12; ; ; ;19,063;0;0;
2001-02-13; ; ; ;19,063;0;0;
2001-02-14; ; ; ;19,063;0;0;
2001-02-15; ; ; ;19,063;0;0;
2001-02-16; ; ; ;19,063;0;0;
2001-02-19; ; ; ;19,063;0;0;
2001-02-20; ; ; ;19,063;0;0;
2001-02-21; ; ; ;19,063;0;0;
2001-02-22; ; ; ;19,063;0;0;
2001-02-23; ; ; ;19,063;0;0;
2001-02-26; ; ; ;19,063;0;0;
2001-02-27; ; ; ;19,063;0;0;
2001-02-28; ; ; ;19,063;0;0;
2001-03-01; ; ; ;19,063;0;0;
2001-03-02; ; ; ;19,063;0;0;
2001-03-05; ; ; ;19,063;0;0;
2001-03-06; ; ; ;19,063;0;0;
2001-03-07; ; ; ;19,063;0;0;
2001-03-08;18,3924;18,3924;18,3924;18,3924;0;0;
2001-03-09; ; ; ;18,3924;0;0;
2001-03-12; ; ; ;18,3924;0;0;
2001-03-13; ; ; ;18,3924;0;0;
2001-03-14; ; ; ;18,3924;0;0;
2001-03-15; ; ; ;18,3924;0;0;
2001-03-16; ; ; ;18,3924;0;0;
2001-03-19; ; ; ;18,3924;0;0;
2001-03-20; ; ; ;18,3924;0;0;
2001-03-21; ; ; ;18,3924;0;0;
2001-03-22; ; ; ;18,3924;0;0;
2001-03-23; ; ; ;18,3924;0;0;
2001-03-26; ; ; ;18,3924;0;0;
2001-03-27; ; ; ;18,3924;0;0;
2001-03-28; ; ; ;18,3924;0;0;
2001-03-29; ; ; ;18,3924;0;0;
2001-03-30; ; ; ;18,3924;0;0;
2001-04-02; ; ; ;18,3924;0;0;
2001-04-03; ; ; ;18,3924;0;0;
2001-04-04; ; ; ;18,3924;0;0;
2001-04-05; ; ; ;18,3924;0;0;
2001-04-06; ; ; ;18,3924;0;0;
2001-04-09; ; ; ;18,3924;0;0;
2001-04-10; ; ; ;18,3924;0;0;
2001-04-11; ; ; ;18,3924;0;0;
2001-04-12; ; ; ;18,3924;0;0;
2001-04-13; ; ; ;18,3924;0;0;
2001-04-16; ; ; ;18,3924;0;0;
2001-04-17; ; ; ;18,3924;0;0;
2001-04-18; ; ; ;18,3924;0;0;
2001-04-19; ; ; ;18,3924;0;0;
2001-04-20; ; ; ;18,3924;0;0;
2001-04-23; ; ; ;18,3924;0;0;
2001-04-24; ; ; ;18,3924;0;0;
2001-04-25; ; ; ;18,3924;0;0;
2001-04-26; ; ; ;18,3924;0;0;
2001-04-27; ; ; ;18,3924;0;0;
2001-04-30; ; ; ;18,3924;0;0;
2001-05-01; ; ; ;18,3924;0;0;
2001-05-02; ; ; ;18,3924;0;0;
2001-05-03; ; ; ;18,3924;0;0;
2001-05-04;18,2008;18,2008;18,2008;18,2008;0;0;
2001-05-07; ; ; ;18,2008;0;0;
2001-05-08; ; ; ;18,2008;0;0;
2001-05-09; ; ; ;18,2008;0;0;
2001-05-10; ; ; ;18,2008;0;0;
2001-05-11; ; ; ;18,2008;0;0;
2001-05-14; ; ; ;18,2008;0;0;
2001-05-15; ; ; ;18,2008;0;0;
2001-05-16; ; ; ;18,2008;0;0;
2001-05-17; ; ; ;18,2008;0;0;
2001-05-18; ; ; ;18,2008;0;0;
2001-05-21; ; ; ;18,2008;0;0;
2001-05-22; ; ; ;18,2008;0;0;
2001-05-23; ; ; ;18,2008;0;0;
2001-05-24; ; ; ;18,2008;0;0;
2001-05-25; ; ; ;18,2008;0;0;
2001-05-28; ; ; ;18,2008;0;0;
2001-05-29; ; ; ;18,2008;0;0;
2001-05-30; ; ; ;18,2008;0;0;
2001-05-31; ; ; ;18,2008;0;0;
2001-06-01; ; ; ;18,2008;0;0;
2001-06-04; ; ; ;18,2008;0;0;
2001-06-05; ; ; ;18,2008;0;0;
2001-06-06; ; ; ;18,2008;0;0;
2001-06-07; ; ; ;18,2008;0;0;
2001-06-08; ; ; ;18,2008;0;0;
2001-06-11; ; ; ;18,2008;0;0;
2001-06-12; ; ; ;18,2008;0;0;
2001-06-13; ; ; ;18,2008;0;0;
2001-06-14; ; ; ;18,2008;0;0;
2001-06-15; ; ; ;18,2008;0;0;
2001-06-18; ; ; ;18,2008;0;0;
2001-06-19; ; ; ;18,2008;0;0;
2001-06-20; ; ; ;18,2008;0;0;
2001-06-21; ; ; ;18,2008;0;0;
2001-06-22; ; ; ;18,2008;0;0;
2001-06-25; ; ; ;18,2008;0;0;
2001-06-26; ; ; ;18,2008;0;0;
2001-06-27; ; ; ;18,2008;0;0;
2001-06-28; ; ; ;18,2008;0;0;
2001-06-29; ; ; ;18,2008;0;0;
2001-07-02; ; ; ;18,2008;0;0;
2001-07-03; ; ; ;18,2008;0;0;
2001-07-04; ; ; ;18,2008;0;0;
2001-07-05; ; ; ;18,2008;0;0;
2001-07-06; ; ; ;18,2008;0;0;
2001-07-09; ; ; ;18,2008;0;0;
2001-07-10; ; ; ;18,2008;0;0;
2001-07-11; ; ; ;18,2008;0;0;
2001-07-12; ; ; ;18,2008;0;0;
2001-07-13; ; ; ;18,2008;0;0;
2001-07-16; ; ; ;18,2008;0;0;
2001-07-17; ; ; ;18,2008;0;0;
2001-07-18; ; ; ;18,2008;0;0;
2001-07-19; ; ; ;18,2008;0;0;
2001-07-20; ; ; ;18,2008;0;0;
2001-07-23; ; ; ;18,2008;0;0;
2001-07-24; ; ; ;18,2008;0;0;
2001-07-25; ; ; ;18,2008;0;0;
2001-07-26; ; ; ;18,2008;0;0;
2001-07-27; ; ; ;18,2008;0;0;
2001-07-30; ; ; ;18,2008;0;0;
2001-07-31; ; ; ;18,2008;0;0;
2001-08-01; ; ; ;18,2008;0;0;
2001-08-02; ; ; ;18,2008;0;0;
2001-08-03; ; ; ;18,2008;0;0;
2001-08-06; ; ; ;18,2008;0;0;
2001-08-07; ; ; ;18,2008;0;0;
2001-08-08; ; ; ;18,2008;0;0;
2001-08-09; ; ; ;18,2008;0;0;
2001-08-10; ; ; ;18,2008;0;0;
2001-08-13; ; ; ;18,2008;0;0;
2001-08-14; ; ; ;18,2008;0;0;
2001-08-15; ; ; ;18,2008;0;0;
2001-08-16; ; ; ;18,2008;0;0;
2001-08-17; ; ; ;18,2008;0;0;
2001-08-20; ; ; ;18,2008;0;0;
2001-08-21; ; ; ;18,2008;0;0;
2001-08-22; ; ; ;18,2008;0;0;
2001-08-23; ; ; ;18,2008;0;0;
2001-08-24; ; ; ;18,2008;0;0;
2001-08-27; ; ; ;18,2008;0;0;
2001-08-28; ; ; ;18,2008;0;0;
2001-08-29; ; ; ;18,2008;0;0;
2001-08-30; ; ; ;18,2008;0;0;
2001-08-31; ; ; ;18,2008;0;0;
2001-09-03; ; ; ;18,2008;0;0;
2001-09-04; ; ; ;18,2008;0;0;
2001-09-05; ; ; ;18,2008;0;0;
2001-09-06; ; ; ;18,2008;0;0;
2001-09-07; ; ; ;18,2008;0;0;
2001-09-10; ; ; ;18,2008;0;0;
2001-09-11; ; ; ;18,2008;0;0;
2001-09-12; ; ; ;18,2008;0;0;
2001-09-13; ; ; ;18,2008;0;0;
2001-09-14; ; ; ;18,2008;0;0;
2001-09-17; ; ; ;18,2008;0;0;
2001-09-18; ; ; ;18,2008;0;0;
2001-09-19; ; ; ;18,2008;0;0;
2001-09-20; ; ; ;18,2008;0;0;
2001-09-21; ; ; ;18,2008;0;0;
2001-09-24; ; ; ;18,2008;0;0;
2001-09-25; ; ; ;18,2008;0;0;
2001-09-26; ; ; ;18,2008;0;0;
2001-09-27; ; ; ;18,2008;0;0;
2001-09-28; ; ; ;18,2008;0;0;
2001-10-01; ; ; ;18,2008;0;0;
2001-10-02; ; ; ;18,2008;0;0;
2001-10-03; ; ; ;18,2008;0;0;
2001-10-04; ; ; ;18,2008;0;0;
2001-10-05; ; ; ;18,2008;0;0;
2001-10-08; ; ; ;18,2008;0;0;
2001-10-09; ; ; ;18,2008;0;0;
2001-10-10; ; ; ;18,2008;0;0;
2001-12-05;15,5665;15,5665;15,5665;15,5665;0;0;
2001-12-06;15,7581;15,7581;15,7581;15,7581;0;0;
2001-12-07; ; ; ;15,7581;0;0;
2001-12-10; ; ; ;15,7581;0;0;
2001-12-11; ; ; ;15,7581;0;0;
2001-12-12;16,0455;16,0455;16,0455;16,0455;0;0;
2001-12-13; ; ; ;16,0455;0;0;
2001-12-14; ; ; ;16,0455;0;0;
2001-12-17; ; ; ;16,0455;0;0;
