Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;;
2004-11-19; ; ; ;6,50;0;0;
2004-11-23; ; ; ;7,03;0;0;
2004-11-24; ; ; ;7,60;0;0;
2004-11-25; ; ; ;8,48;0;0;
2004-11-26; ; ; ;8,82;0;0;
2004-11-29; ; ; ;10,80;0;0;
2004-11-30; ; ; ;9,96;0;0;
2004-12-01; ; ; ;9,60;0;0;
2004-12-02; ; ; ;8,00;0;0;
2004-12-03; ; ; ;8,52;0;0;
2004-12-06; ; ; ;8,49;0;0;
2004-12-07; ; ; ;7,88;0;0;
2004-12-08; ; ; ;7,99;0;0;
2004-12-09; ; ; ;7,75;0;0;
2004-12-14; ; ; ;7,90;0;0;
2004-12-17; ; ; ;7,55;0;0;
2004-12-20; ; ; ;7,26;0;0;
2004-12-22; ; ; ;7,60;0;0;
2004-12-28; ; ; ;7,00;0;0;
2004-12-30; ; ; ;7,24;0;0;
2004-12-31; ; ; ;7,24;0;0;
2005-01-04; ; ; ;8,20;0;0;
2005-01-05; ; ; ;8,40;0;0;
2005-01-06; ; ; ;8,87;0;0;
2005-01-07; ; ; ;9,77;0;0;
2005-01-10; ; ; ;10,20;0;0;
2005-01-11; ; ; ;9,40;0;0;
2005-01-12; ; ; ;9,10;0;0;
2005-01-13; ; ; ;9,25;0;0;
2005-01-14; ; ; ;10,00;0;0;
2005-01-17; ; ; ;9,80;0;0;
2005-01-18; ; ; ;9,43;0;0;
2005-01-19; ; ; ;9,60;0;0;
2005-01-20; ; ; ;9,55;0;0;
2005-01-21; ; ; ;9,35;0;0;
2005-01-24; ; ; ;9,80;0;0;
2005-01-26; ; ; ;9,38;0;0;
2005-01-27; ; ; ;9,31;0;0;
2005-01-28; ; ; ;9,60;0;0;
2005-02-02; ; ; ;9,40;0;0;
2005-02-03; ; ; ;9,60;0;0;
2005-02-04; ; ; ;9,60;0;0;
2005-02-07; ; ; ;9,75;0;0;
2005-02-08; ; ; ;9,80;0;0;
2005-02-09; ; ; ;9,65;0;0;
2005-02-10; ; ; ;9,50;0;0;
2005-02-14; ; ; ;9,50;0;0;
2005-02-15; ; ; ;9,30;0;0;
2005-02-16; ; ; ;9,65;0;0;
2005-02-17; ; ; ;9,65;0;0;
2005-02-18; ; ; ;10,00;0;0;
2005-02-21; ; ; ;10,85;0;0;
2005-02-22; ; ; ;10,95;0;0;
2005-02-23; ; ; ;11,20;0;0;
2005-02-24; ; ; ;11,20;0;0;
2005-02-25; ; ; ;12,40;0;0;
2005-02-28; ; ; ;13,90;0;0;
2005-03-01; ; ; ;14,10;0;0;
2005-03-02; ; ; ;14,00;0;0;
2005-03-03; ; ; ;13,70;0;0;
2005-03-04; ; ; ;11,93;0;0;
2005-03-07; ; ; ;12,15;0;0;
2005-03-08; ; ; ;12,96;0;0;
2005-03-09; ; ; ;13,75;0;0;
2005-03-10; ; ; ;13,75;0;0;
2005-03-11; ; ; ;13,50;0;0;
2005-03-14; ; ; ;13,36;0;0;
2005-03-15; ; ; ;13,36;0;0;
2005-03-16; ; ; ;13,00;0;0;
2005-03-17; ; ; ;13,29;0;0;
2005-03-18; ; ; ;13,35;0;0;
2005-03-21; ; ; ;13,30;0;0;
2005-03-22; ; ; ;13,40;0;0;
2005-03-24; ; ; ;12,80;0;0;
2005-03-25; ; ; ;12,80;0;0;
2005-03-28; ; ; ;12,80;0;0;
2005-03-29; ; ; ;12,30;0;0;
2005-03-30; ; ; ;11,80;0;0;
2005-03-31; ; ; ;12,00;0;0;
2005-04-01; ; ; ;12,25;0;0;
2005-04-04; ; ; ;13,45;0;0;
2005-04-05; ; ; ;14,48;0;0;
2005-04-06; ; ; ;14,20;0;0;
2005-04-07; ; ; ;13,68;0;0;
2005-04-08; ; ; ;13,38;0;0;
2005-04-11; ; ; ;13,00;0;0;
2005-04-13; ; ; ;13,50;0;0;
2005-04-14; ; ; ;13,95;0;0;
2005-04-15; ; ; ;13,05;0;0;
2005-04-18; ; ; ;12,34;0;0;
2005-04-19; ; ; ;13,41;0;0;
2005-04-20; ; ; ;13,95;0;0;
2005-04-21; ; ; ;13,43;0;0;
2005-04-22; ; ; ;13,48;0;0;
2005-04-25; ; ; ;13,75;0;0;
2005-04-26; ; ; ;13,27;0;0;
2005-04-28; ; ; ;13,00;0;0;
2005-04-29; ; ; ;13,50;0;0;
2005-05-02; ; ; ;12,50;0;0;
2005-05-03; ; ; ;12,00;0;0;
2005-05-04;12,60;12,60;12,60;12,60;0;0;
2005-05-06;12,50;12,50;12,50;12,50;0;0;
2005-05-09; ; ; ;12,61;0;0;
2005-05-10; ; ; ;12,75;0;0;
2005-05-11; ; ; ;13,10;0;0;
2005-05-12; ; ; ;12,90;0;0;
2005-05-13; ; ; ;12,70;0;0;
2005-05-17; ; ; ;13,00;0;0;
2005-05-18; ; ; ;13,00;0;0;
2005-05-19; ; ; ;13,00;0;0;
2005-05-20; ; ; ;12,60;0;0;
2005-05-23; ; ; ;10,20;0;0;
2005-05-24; ; ; ;10,53;0;0;
2005-05-25; ; ; ;10,90;0;0;
2005-05-26; ; ; ;11,60;0;0;
2005-05-27; ; ; ;11,83;0;0;
2005-05-30; ; ; ;11,70;0;0;
2005-05-31; ; ; ;10,10;0;0;
2005-06-01;10,65;10,65;10,65;10,65;0;0;
2005-06-02;10,75;10,75;10,75;10,75;0;0;
2005-06-03;10,70;10,70;10,70;10,70;0;0;
2005-06-06;11,00;11,00;11,00;11,00;0;0;
2005-06-07;11,50;11,50;11,50;11,50;0;0;
2005-06-08;11,49;11,49;11,49;11,49;0;0;
2005-06-09; ; ; ;11,00;0;0;
2005-06-10;10,55;10,55;10,55;10,55;0;0;
2005-06-13;10,55;10,55;10,55;10,55;0;0;
2005-06-14;10,40;10,40;10,40;10,40;0;0;
2005-06-15;10,75;10,75;10,75;10,75;0;0;
2005-06-16; ; ; ;10,65;0;0;
2005-06-20; ; ; ;11,45;0;0;
2005-06-21; ; ; ;11,10;0;0;
2005-06-22; ; ; ;11,15;0;0;
2005-06-23; ; ; ;11,15;0;0;
2005-06-24; ; ; ;11,40;0;0;
2005-06-27; ; ; ;11,16;0;0;
2005-06-28; ; ; ;11,15;0;0;
2005-06-30; ; ; ;11,35;0;0;
2005-07-01; ; ; ;12,20;0;0;
2005-07-04;12,45;12,45;12,45;12,45;0;0;
2005-07-05;12,75;12,75;12,75;12,75;0;0;
2005-07-06;12,55;12,55;12,55;12,55;0;0;
2005-07-07;12,20;12,20;12,20;12,20;0;0;
2005-07-08;13,64;13,64;13,64;13,64;0;0;
2005-07-11;13,80;13,80;13,80;13,80;0;0;
2005-07-12;13,65;13,65;13,65;13,65;0;0;
2005-07-13;13,30;13,30;13,30;13,30;0;0;
2005-07-14;13,40;13,40;13,40;13,40;0;0;
2005-07-15;13,60;13,60;13,60;13,60;0;0;
2005-07-18;13,50;13,50;13,50;13,50;0;0;
2005-07-20;13,25;13,25;13,25;13,25;0;0;
2005-07-21;13,00;13,00;13,00;13,00;0;0;
2005-07-22;12,90;12,90;12,90;12,90;0;0;
2005-07-27;12,60;12,60;12,60;12,60;0;0;
2005-07-29;13,55;13,55;13,55;13,55;0;0;
2005-08-01;13,75;13,75;13,75;13,75;0;0;
2005-08-02;14,00;14,00;14,00;14,00;0;0;
2005-08-03;14,10;14,10;14,10;14,10;0;0;
2005-08-04;15,05;15,05;15,05;15,05;0;0;
2005-08-05;14,80;14,80;14,80;14,80;0;0;
2005-08-08;14,40;14,40;14,40;14,40;0;0;
2005-08-09;14,90;14,90;14,90;14,90;0;0;
2005-08-10;15,15;15,15;15,15;15,15;0;0;
2005-08-11;15,19;15,19;15,19;15,19;0;0;
2005-08-12;15,00;15,00;15,00;15,00;0;0;
2005-08-15;15,00;15,00;15,00;15,00;0;0;
2005-08-16;14,88;14,88;14,88;14,88;0;0;
2005-08-17;14,40;14,40;14,40;14,40;0;0;
2005-08-18;13,99;13,99;13,99;13,99;0;0;
2005-08-19;14,05;14,05;14,05;14,05;0;0;
2005-08-22;13,95;13,95;13,95;13,95;0;0;
2005-08-24;14,00;14,00;14,00;14,00;0;0;
2005-08-26;14,72;14,72;14,72;14,72;0;0;
