Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;;
2006-05-11;12,65;12,65;11,25;11,25;11.825.937;133.041.791;
2006-05-12;11,10;11,84;10,95;11,69;1.664.230;19.454.849;
2006-05-15;11,60;11,90;11,20;11,73;258.422;3.031.290;
2006-05-16;11,72;11,75;11,35;11,60;398.987;4.628.249;
2006-05-17;11,69;11,69;11,37;11,45;456.449;5.226.341;
2006-05-18;11,34;11,49;10,51;10,65;291.575;3.105.274;
2006-05-19;10,52;10,68;9,80;10,09;728.959;7.355.196;
2006-05-22;9,99;10,10;9,85;9,90;126.032;1.247.717;
2006-05-23;9,81;10,13;9,81;10,00;165.245;1.652.450;
2006-05-24;10,05;10,05;9,69;9,97;251.308;2.505.541;
2006-05-25;9,88;10,05;9,81;10,05;54.819;550.931;
2006-05-26;10,10;10,35;9,80;10,24;128.133;1.312.082;
2006-05-29;10,30;10,30;10,06;10,25;42.741;438.095;
2006-05-30;10,28;10,28;10,00;10,05;206.329;2.073.606;
2006-05-31;9,95;10,50;9,80;10,40;385.059;4.004.614;
2006-06-01;10,50;11,10;10,10;10,86;362.425;3.935.936;
2006-06-02;11,05;11,27;10,92;11,24;299.712;3.368.763;
2006-06-05;11,14;11,19;10,94;11,05;29.499;325.964;
2006-06-06;11,00;11,10;10,30;10,51;382.162;4.016.523;
2006-06-07;10,60;10,66;10,45;10,55;188.826;1.992.114;
2006-06-08;10,20;10,27;9,91;10,40;94.416;981.926;
2006-06-09;10,49;10,55;10,16;10,55;52.523;554.118;
2006-06-12;10,70;10,70;10,25;10,34;16.768;173.381;
2006-06-13;10,20;10,20;9,65;9,73;119.442;1.162.171;
2006-06-14;9,73;9,74;9,32;9,50;159.291;1.513.265;
2006-06-15;9,70;10,05;9,39;9,42;97.687;920.212;
2006-06-16;9,61;9,75;9,45;9,50;142.153;1.350.454;
2006-06-19;9,60;9,60;9,36;9,36;42.335;396.256;
2006-06-20;9,36;9,57;9,11;9,21;99.050;912.251;
2006-06-21;9,25;9,54;9,20;9,40;73.475;690.665;
2006-06-22;9,54;9,60;9,26;9,35;58.446;546.470;
2006-06-23;9,27;9,36;9,25;9,30;50.359;468.339;
2006-06-26;9,25;9,55;9,25;9,41;25.315;238.214;
2006-06-27;9,32;9,44;9,19;9,20;71.890;661.388;
2006-06-28;9,25;9,35;9,20;9,24;36.018;332.806;
2006-06-29;9,30;9,35;9,15;9,25;99.713;922.345;
2006-06-30;9,29;9,59;9,25;9,59;81.743;783.915;
2006-07-03;9,85;10,20;9,70;10,20;250.864;2.558.813;
2006-07-04;10,11;10,20;10,06;10,10;47.903;483.820;
2006-07-05;10,14;10,14;9,85;9,85;84.727;834.561;
2006-07-06;9,90;10,32;9,86;9,89;118.605;1.173.003;
2006-07-07;9,93;10,40;9,90;10,35;173.974;1.800.631;
2006-07-10;10,42;10,45;10,22;10,45;13.914;145.401;
2006-07-11;10,44;10,50;10,26;10,26;44.980;461.495;
2006-07-12;10,23;10,30;10,05;10,11;19.832;200.502;
2006-07-13;10,10;10,10;9,90;10,00;108.660;1.086.600;
2006-07-14;9,82;10,00;9,55;9,70;97.886;949.494;
2006-07-17;9,50;9,80;9,50;9,80;70.367;689.597;
2006-07-18;9,80;9,80;9,60;9,69;12.044;116.706;
2006-07-19;9,80;9,80;9,56;9,73;28.267;275.038;
2006-07-20;9,80;9,80;9,46;9,50;33.599;319.191;
2006-07-21;9,59;9,60;9,36;9,50;58.084;551.798;
2006-07-24;9,39;9,85;9,39;9,85;32.346;318.608;
2006-07-25;9,70;10,10;9,66;10,00;48.784;487.840;
2006-07-26;10,10;10,28;9,96;10,25;56.274;576.809;
2006-07-27;10,10;10,20;10,02;10,02;21.368;214.107;
2006-07-28;10,02;10,25;10,00;10,11;48.799;493.358;
2006-07-31;10,20;10,20;9,73;10,00;22.715;227.150;
2006-08-01;10,12;10,16;10,00;10,08;22.925;231.084;
2006-08-02;9,92;10,04;9,80;9,86;59.305;584.747;
2006-08-03;9,85;10,08;9,72;9,95;56.765;564.812;
2006-08-04;9,85;10,05;9,85;10,00;238.641;2.386.410;
2006-08-07;10,09;10,40;10,02;10,40;145.734;1.515.634;
2006-08-08;10,49;10,75;10,40;10,65;290.655;3.095.476;
2006-08-09;10,52;10,60;10,15;10,35;76.964;796.577;
2006-08-10;10,21;10,32;9,82;10,00;75.441;754.410;
2006-08-11;9,90;10,15;9,90;10,00;20.582;205.820;
2006-08-14;10,00;10,00;9,80;9,90;30.120;298.188;
2006-08-15;9,83;9,93;9,83;9,85;6.055;59.642;
2006-08-16;9,90;9,93;9,81;9,90;17.256;170.834;
2006-08-17;10,84;11,15;10,31;10,99;1.277.282;14.037.329;
2006-08-18;11,05;11,05;10,71;10,82;268.173;2.901.632;
2006-08-21;10,88;10,90;10,72;10,85;92.131;999.621;
2006-08-22;10,80;10,94;10,72;10,78;82.443;888.736;
2006-08-23;10,78;10,82;10,70;10,75;68.825;739.869;
2006-08-24;10,85;11,09;10,85;10,99;146.882;1.614.233;
2006-08-25;11,00;11,02;10,93;10,93;60.457;660.795;
2006-08-28;10,99;11,15;10,95;11,06;54.436;602.062;
2006-08-29;11,02;11,58;10,98;11,50;318.322;3.660.703;
2006-08-30;11,45;12,18;11,45;12,00;1.138.137;13.657.644;
2006-08-31;12,05;12,08;11,95;12,05;236.263;2.846.969;
2006-09-01;12,05;12,12;11,90;11,99;142.143;1.704.295;
2006-09-04;12,00;12,04;11,86;11,90;52.675;626.833;
2006-09-05;11,88;11,90;11,63;11,70;62.212;727.880;
2006-09-06;11,71;12,28;11,70;12,10;339.996;4.113.952;
2006-09-07;12,14;12,14;11,76;11,99;92.269;1.106.305;
2006-09-08;12,07;12,90;12,00;12,81;534.534;6.847.381;
2006-09-11;12,67;13,39;12,67;12,95;448.396;5.806.728;
2006-09-12;12,95;13,00;12,84;12,97;156.557;2.030.544;
2006-09-13;13,00;13,00;12,51;12,78;245.803;3.141.362;
2006-09-14;12,63;12,81;12,52;12,55;84.927;1.065.834;
2006-09-15;12,52;12,54;12,30;12,50;133.394;1.667.425;
2006-09-18;12,50;12,50;12,25;12,35;61.655;761.439;
2006-09-19;12,34;12,48;12,15;12,30;93.238;1.146.827;
2006-09-20;12,25;12,47;12,25;12,30;350.923;4.316.353;
2006-09-21;12,30;12,45;11,85;12,15;145.894;1.772.612;
2006-09-22;12,16;12,31;12,10;12,25;52.148;638.813;
2006-09-25;12,25;12,40;12,15;12,30;54.050;664.815;
2006-09-26;12,32;12,42;12,25;12,32;178.138;2.194.660;
2006-09-27;12,44;12,80;12,25;12,35;200.543;2.476.706;
2006-09-28;12,48;12,65;12,25;12,32;87.179;1.074.045;
2006-09-29;12,39;12,50;12,25;12,50;134.828;1.685.350;
2006-10-02;12,57;12,59;12,25;12,40;75.817;940.131;
2006-10-03;12,40;12,50;12,24;12,31;57.765;711.087;
2006-10-04;12,31;12,76;12,31;12,76;180.667;2.305.311;
2006-10-05;12,83;13,20;12,75;12,90;726.897;9.376.971;
2006-10-06;12,91;13,08;12,78;12,93;151.503;1.958.934;
2006-10-09;12,97;13,00;12,82;12,86;54.127;696.073;
2006-10-10;12,95;13,10;12,85;13,10;198.329;2.598.110;
2006-10-11;13,10;13,12;12,70;12,93;201.248;2.602.137;
2006-10-12;12,95;13,05;12,90;12,99;55.194;716.970;
2006-10-13;12,85;13,05;12,85;12,96;283.234;3.670.713;
2006-10-16;12,96;13,36;12,85;13,00;205.334;2.669.342;
2006-10-17;13,16;13,20;12,97;13,08;203.315;2.659.360;
2006-10-18;13,25;13,49;13,25;13,50;456.748;6.166.098;
2006-10-19;13,60;13,87;13,52;13,71;631.160;8.653.204;
2006-10-20;13,76;14,15;13,59;14,15;577.857;8.176.677;
2006-10-23;14,10;14,47;14,10;14,44;740.693;10.695.607;
2006-10-24;14,45;14,55;14,33;14,44;227.050;3.278.602;
2006-10-25;14,48;15,00;14,45;14,78;995.519;14.713.771;
2006-10-26;15,11;15,16;14,89;14,90;789.230;11.759.527;
2006-10-27;14,99;15,07;14,00;14,84;509.525;7.561.351;
2006-10-30;14,91;15,00;14,80;14,86;226.690;3.368.613;
2006-10-31;14,92;15,16;14,90;15,08;421.145;6.350.867;
2006-11-01;15,15;15,21;15,02;15,18;160.984;2.443.737;
2006-11-02;15,17;15,17;14,92;15,00;468.638;7.029.570;
2006-11-03;14,99;15,00;14,05;14,67;483.741;7.096.480;
2006-11-06;14,80;15,46;14,62;15,40;277.137;4.267.910;
2006-11-07;15,59;16,07;15,26;16,00;1.148.705;18.379.280;
2006-11-08;16,09;16,11;15,55;15,60;524.617;8.184.025;
2006-11-09;15,75;15,84;15,60;15,76;668.205;10.530.911;
