Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;;
2005-10-05;19,5855;20,2159;19,1946;19,9638;0;0;
2005-10-06;19,8377;20,8043;19,4636;20,237;0;0;
2005-10-07;20,3841;20,6362;19,8083;20,6362;0;0;
2005-10-10;20,7623;20,8043;19,7704;20,258;0;0;
2005-10-11;19,9428;20,1193;19,6738;20,0478;0;0;
2005-10-12;20,0058;20,0058;19,6486;19,7116;0;0;
2005-10-13;19,5435;19,6233;18,4339;18,5978;0;0;
2005-10-14;18,6188;19,0349;18,2028;18,3667;0;0;
2005-10-17;18,6609;18,6651;17,6984;18,1061;0;0;
2005-10-18;18,0304;18,4087;17,9674;18,3372;0;0;
2005-10-19;18,2826;18,2826;17,0848;17,6606;0;0;
2005-10-20;18,0304;18,4928;17,5765;17,7572;0;0;
2005-10-21;17,6732;17,7572;16,282;16,6014;0;0;
2005-10-24;16,8116;18,2826;16,6855;18,2616;0;0;
2005-10-25;18,4843;18,6399;18,0304;18,1523;0;0;
2005-10-26;18,1986;19,1652;18,1943;19,0013;0;0;
2005-10-27;19,161;19,1652;18,2028;18,2826;0;0;
2005-10-28;18,3877;19,0812;18,1986;18,3835;0;0;
2005-10-31;19,2072;19,3333;18,9551;19,2493;77.325;1.488.454;
2005-11-01;19,3207;19,3207;18,808;19,1232;57.363;1.096.960;
2005-11-02;19,3333;19,3333;18,7029;18,913;66.754;1.262.520;
2005-11-03;18,9971;18,9971;18,4928;18,623;82.798;1.541.944;
2005-11-04;18,4928;19,0181;18,1565;18,4507;312.199;5.760.295;
2005-11-07;18,4087;18,7029;18,4087;18,6188;181.092;3.371.717;
2005-11-08;18,6188;18,829;18,4507;18,4507;91.684;1.691.643;
2005-11-09;18,4087;18,5768;18,2028;18,4928;93.628;1.731.444;
2005-11-10;18,6819;18,8962;18,4928;18,787;65.743;1.235.106;
2005-11-11;18,8962;19,8293;18,7029;19,7536;308.639;6.096.746;
2005-11-14;19,9259;20,9094;19,6696;20,2664;342.673;6.944.741;
2005-11-15;20,5017;20,8043;20,2706;20,6572;219.929;4.543.131;
2005-11-16;20,8001;20,8842;19,968;20,1739;279.721;5.643.072;
2005-11-17;20,2159;20,548;20,2159;20,5522;123.967;2.547.788;
2005-11-18;20,5732;20,8043;20,3841;20,5101;99.146;2.033.496;
