Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;;
2000-01-03;;;;0;;;Inserted
2000-01-04;;;;0;;;Inserted
2000-01-05;;;;0;;;Inserted
2000-01-06;;;;0;;;Inserted
2000-01-07;;;;0;;;Inserted
2000-01-10;;;;0;;;Inserted
2000-01-11;;;;0;;;Inserted
2000-01-12;;;;0;;;Inserted
2000-01-13;;;;0;;;Inserted
2000-01-14;;;;0;;;Inserted
2000-01-17;;;;0;;;Inserted
2000-01-18;;;;0;;;Inserted
2000-01-19; ; ; ;9,75;0;0;
2000-01-20;;;;9,75;;;Inserted
2000-01-21;;;;9,75;;;Inserted
2000-01-24;;;;9,75;;;Inserted
2000-01-25;;;;9,75;;;Inserted
2000-01-26;;;;9,75;;;Inserted
2000-01-27;;;;9,75;;;Inserted
2000-01-28;;;;9,75;;;Inserted
2000-01-31;;;;9,75;;;Inserted
2000-02-01;;;;9,75;;;Inserted
2000-02-02;;;;9,75;;;Inserted
2000-02-03;;;;9,75;;;Inserted
2000-02-04;;;;9,75;;;Inserted
2000-02-07;;;;9,75;;;Inserted
2000-02-08;;;;9,75;;;Inserted
2000-02-09;;;;9,75;;;Inserted
2000-02-10;;;;9,75;;;Inserted
2000-02-11;;;;9,75;;;Inserted
2000-02-14;;;;9,75;;;Inserted
2000-02-15;;;;9,75;;;Inserted
2000-02-16;;;;9,75;;;Inserted
2000-02-17;;;;9,75;;;Inserted
2000-02-18;;;;9,75;;;Inserted
2000-02-21;;;;9,75;;;Inserted
2000-02-22;;;;9,75;;;Inserted
2000-02-23;;;;9,75;;;Inserted
2000-02-24;;;;9,75;;;Inserted
2000-02-25;;;;9,75;;;Inserted
2000-02-28;;;;9,75;;;Inserted
2000-02-29;;;;9,75;;;Inserted
2000-03-01;;;;9,75;;;Inserted
2000-03-02;;;;9,75;;;Inserted
2000-03-03;;;;9,75;;;Inserted
2000-03-06;;;;9,75;;;Inserted
2000-03-07;;;;9,75;;;Inserted
2000-03-08;;;;9,75;;;Inserted
2000-03-09;;;;9,75;;;Inserted
2000-03-10;;;;9,75;;;Inserted
2000-03-13;;;;9,75;;;Inserted
2000-03-14;;;;9,75;;;Inserted
2000-03-15;;;;9,75;;;Inserted
2000-03-16;;;;9,75;;;Inserted
2000-03-17;;;;9,75;;;Inserted
2000-03-20;;;;9,75;;;Inserted
2000-03-21;;;;9,75;;;Inserted
2000-03-22;;;;9,75;;;Inserted
2000-03-23;;;;9,75;;;Inserted
2000-03-24;;;;9,75;;;Inserted
2000-03-27;;;;9,75;;;Inserted
2000-03-28;;;;9,75;;;Inserted
2000-03-29;;;;9,75;;;Inserted
2000-03-30;;;;9,75;;;Inserted
2000-03-31;;;;9,75;;;Inserted
2000-04-03;;;;9,75;;;Inserted
2000-04-04;;;;9,75;;;Inserted
2000-04-05;;;;9,75;;;Inserted
2000-04-06; ; ; ;10,02;0;0;
2000-04-07;;;;10,02;;;Inserted
2000-04-10;;;;10,02;;;Inserted
2000-04-11;;;;10,02;;;Inserted
2000-04-12;;;;10,02;;;Inserted
2000-04-13;;;;10,02;;;Inserted
2000-04-14;;;;10,02;;;Inserted
2000-04-17;;;;10,02;;;Inserted
2000-04-18;;;;10,02;;;Inserted
2000-04-19; ; ; ;10,54;0;0;
2000-04-20;;;;10,54;;;Inserted
2000-04-21;;;;10,54;;;Inserted
2000-04-24;;;;10,54;;;Inserted
2000-04-25;;;;10,54;;;Inserted
2000-04-26; ; ; ;10,51;0;0;
2000-04-27;;;;10,51;;;Inserted
2000-04-28;;;;10,51;;;Inserted
2000-05-01;;;;10,51;;;Inserted
2000-05-02;;;;10,51;;;Inserted
2000-05-03;;;;10,51;;;Inserted
2000-05-04;;;;10,51;;;Inserted
2000-05-05;;;;10,51;;;Inserted
2000-05-08;;;;10,51;;;Inserted
2000-05-09;;;;10,51;;;Inserted
2000-05-10;;;;10,51;;;Inserted
2000-05-11;;;;10,51;;;Inserted
2000-05-12;;;;10,51;;;Inserted
2000-05-15;;;;10,51;;;Inserted
2000-05-16;;;;10,51;;;Inserted
2000-05-17;;;;10,51;;;Inserted
2000-05-18; ; ; ;13,30;0;0;
2000-05-19;;;;13,30;;;Inserted
2000-05-22; ; ; ;14,095;0;0;
2000-05-23;;;;14,095;;;Inserted
2000-05-24;;;;14,095;;;Inserted
2000-05-25;;;;14,095;;;Inserted
2000-05-26;;;;14,095;;;Inserted
2000-05-29;;;;14,095;;;Inserted
2000-05-30;;;;14,095;;;Inserted
2000-05-31;;;;14,095;;;Inserted
2000-06-01;;;;14,095;;;Inserted
2000-06-02;;;;14,095;;;Inserted
2000-06-05;;;;14,095;;;Inserted
2000-06-06;;;;14,095;;;Inserted
2000-06-07;;;;14,095;;;Inserted
2000-06-08;;;;14,095;;;Inserted
2000-06-09;;;;14,095;;;Inserted
2000-06-12;;;;14,095;;;Inserted
2000-06-13;;;;14,095;;;Inserted
2000-06-14;;;;14,095;;;Inserted
2000-06-15;;;;14,095;;;Inserted
2000-06-16;;;;14,095;;;Inserted
2000-06-19; ; ; ;14,00;0;0;
2000-06-20;;;;14,00;;;Inserted
2000-06-21;;;;14,00;;;Inserted
2000-06-22;;;;14,00;;;Inserted
2000-06-23;;;;14,00;;;Inserted
2000-06-26; ; ; ;14,251;0;0;
2000-06-27;;;;14,251;;;Inserted
2000-06-28;;;;14,251;;;Inserted
2000-06-29;;;;14,251;;;Inserted
2000-06-30;;;;14,251;;;Inserted
2000-07-03;;;;14,251;;;Inserted
2000-07-04;;;;14,251;;;Inserted
2000-07-05;;;;14,251;;;Inserted
2000-07-06;;;;14,251;;;Inserted
2000-07-07;;;;14,251;;;Inserted
2000-07-10;;;;14,251;;;Inserted
2000-07-11;;;;14,251;;;Inserted
2000-07-12;;;;14,251;;;Inserted
2000-07-13;;;;14,251;;;Inserted
2000-07-14;;;;14,251;;;Inserted
2000-07-17;;;;14,251;;;Inserted
2000-07-18;;;;14,251;;;Inserted
2000-07-19;;;;14,251;;;Inserted
2000-07-20;;;;14,251;;;Inserted
2000-07-21;;;;14,251;;;Inserted
2000-07-24;;;;14,251;;;Inserted
2000-07-25;;;;14,251;;;Inserted
2000-07-26;;;;14,251;;;Inserted
2000-07-27;;;;14,251;;;Inserted
2000-07-28;;;;14,251;;;Inserted
2000-07-31;;;;14,251;;;Inserted
2000-08-01;;;;14,251;;;Inserted
2000-08-02;;;;14,251;;;Inserted
2000-08-03;;;;14,251;;;Inserted
2000-08-04;;;;14,251;;;Inserted
2000-08-07;;;;14,251;;;Inserted
2000-08-08;;;;14,251;;;Inserted
2000-08-09;;;;14,251;;;Inserted
2000-08-10;;;;14,251;;;Inserted
2000-08-11; ; ; ;12,40;0;0;
2000-08-14;;;;12,40;;;Inserted
2000-08-15;;;;12,40;;;Inserted
2000-08-16;;;;12,40;;;Inserted
2000-08-17;;;;12,40;;;Inserted
2000-08-18;;;;12,40;;;Inserted
2000-08-21;;;;12,40;;;Inserted
2000-08-22;;;;12,40;;;Inserted
2000-08-23;;;;12,40;;;Inserted
2000-08-24;;;;12,40;;;Inserted
2000-08-25;;;;12,40;;;Inserted
