Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-02-28;13,50;13,50;12,10;12,55;63.408;792.649
2020-02-27;13,80;14,25;13,40;13,70;10.213;140.560
2020-02-26;13,70;14,10;13,65;14,00;17.879;247.217
2020-02-25;14,30;14,50;13,05;13,60;34.121;471.879
2020-02-24;15,30;15,30;14,20;14,30;17.665;260.325
2020-02-21;14,95;15,35;14,90;15,15;4.788;72.038
2020-02-20;15,20;15,20;15,00;15,00;3.785;57.413
2020-02-19;15,05;15,30;15,00;15,20;5.303;80.457
2020-02-18;15,10;15,40;14,95;15,05;8.198;124.629
2020-02-17;15,05;15,20;14,95;15,00;6.278;94.759
2020-02-14;15,20;15,30;15,10;15,25;4.453;67.651
2020-02-13;15,40;15,40;15,10;15,20;9.497;144.621
2020-02-12;15,30;15,40;15,10;15,25;5.431;83.170
2020-02-11;15,30;15,45;15,00;15,40;8.241;125.081
2020-02-10;15,25;15,30;15,15;15,30;7.516;114.646
2020-02-07;15,35;15,45;15,00;15,15;8.731;133.368
2020-02-06;15,00;15,85;15,00;15,30;6.401;99.153
2020-02-05;15,10;15,20;14,90;14,90;14.816;223.190
2020-02-04;15,15;15,35;15,00;15,10;12.424;188.407
2020-02-03;15,55;15,55;15,15;15,15;11.323;173.302
2020-01-31;15,10;15,45;15,00;15,35;4.038;61.328
2020-01-30;16,05;16,05;15,30;15,30;9.089;142.973
2020-01-29;15,95;16,20;15,75;16,15;6.679;106.307
2020-01-28;15,25;15,90;15,25;15,75;14.952;233.684
2020-01-27;15,20;15,55;14,70;15,40;13.623;206.033
2020-01-24;15,55;15,55;15,00;15,30;7.689;117.205
2020-01-23;15,90;16,15;15,30;15,40;20.164;315.253
2020-01-22;16,05;16,30;16,00;16,15;9.194;147.947
2020-01-21;16,05;16,40;15,90;16,25;6.667;107.996
2020-01-20;16,00;16,30;15,85;16,00;15.146;244.506
2020-01-17;16,25;16,30;16,00;16,10;6.044;97.295
2020-01-16;15,60;16,20;15,60;16,05;17.643;279.415
2020-01-15;16,05;16,05;15,65;15,65;12.868;205.409
2020-01-14;15,95;16,40;15,65;16,00;24.063;386.090
2020-01-13;15,60;15,80;15,50;15,75;8.048;125.443
2020-01-10;15,25;15,95;15,25;15,50;11.872;185.414
2020-01-09;15,00;15,45;14,85;15,45;12.376;187.909
2020-01-08;15,05;15,05;14,85;14,90;1.362;20.346
2020-01-07;15,35;15,45;15,00;15,30;21.573;328.378
2020-01-06;14,95;15,35;14,70;15,15;12.734;191.316
2020-01-03;15,10;15,25;14,90;15,20;6.735;101.817
2020-01-02;16,20;16,30;14,25;14,75;40.536;624.953
2019-12-30;16,05;16,05;16,00;16,00;3.529;56.493
2019-12-27;16,05;16,15;16,00;16,10;12.337;197.540
2019-12-23;15,95;16,10;15,90;16,10;11.843;189.033
2019-12-20;15,50;16,10;15,50;16,10;13.941;220.463
2019-12-19;15,60;15,75;15,50;15,75;7.635;119.293
2019-12-18;15,50;15,70;15,20;15,70;7.685;118.876
2019-12-17;15,15;15,80;15,05;15,80;5.546;84.665
2019-12-16;15,10;15,15;14,95;15,05;4.335;65.324
2019-12-13;15,15;15,35;14,90;14,90;13.067;198.304
2019-12-12;14,85;15,30;14,80;15,20;14.657;222.130
2019-12-11;14,95;15,00;14,80;15,00;3.011;44.993
2019-12-10;14,75;14,80;14,55;14,80;2.449;36.094
2019-12-09;14,90;15,05;14,80;14,80;6.826;101.733
2019-12-06;14,85;14,85;14,65;14,75;2.217;32.669
2019-12-05;14,70;14,90;14,50;14,85;12.952;191.517
2019-12-04;14,30;14,70;14,30;14,65;7.441;108.720
2019-12-03;14,45;14,55;14,25;14,25;4.058;58.433
2019-12-02;14,40;14,70;14,35;14,40;8.209;118.917
2019-11-29;14,30;14,40;14,20;14,30;7.849;112.281
2019-11-28;14,20;14,45;13,60;14,25;28.121;398.130
2019-11-27;14,45;14,45;14,10;14,20;9.682;136.860
2019-11-26;14,60;14,60;14,15;14,25;2.921;41.862
2019-11-25;14,80;14,80;14,40;14,50;4.407;64.380
2019-11-22;14,50;14,75;13,95;14,65;9.128;130.206
2019-11-21;14,55;14,60;14,50;14,60;2.554;37.069
2019-11-20;14,35;14,55;14,30;14,55;6.073;87.947
2019-11-19;14,10;14,45;14,10;14,35;6.247;89.102
2019-11-18;14,20;14,30;13,85;14,15;6.079;85.823
2019-11-15;14,10;14,50;13,65;14,15;20.352;284.511
2019-11-14;14,30;14,30;13,90;13,95;5.580;78.165
2019-11-13;14,85;14,90;14,15;14,35;16.206;239.274
2019-11-12;14,20;14,90;14,20;14,90;13.802;201.573
2019-11-11;14,20;14,20;13,85;14,20;8.128;113.766
2019-11-08;13,90;14,15;13,90;14,10;7.984;112.400
2019-11-07;14,15;14,15;13,80;14,00;5.358;74.833
2019-11-06;13,90;14,15;13,90;14,15;9.258;130.126
2019-11-05;13,85;14,05;13,85;13,90;3.494;48.675
2019-11-04;14,15;14,15;13,75;13,90;4.274;59.700
2019-11-01;14,05;14,15;13,90;14,15;2.712;37.967
2019-10-31;13,90;14,05;13,80;14,05;10.765;150.607
2019-10-30;13,95;14,05;13,85;13,90;4.003;55.786
2019-10-29;13,80;14,00;13,65;13,90;10.384;143.392
2019-10-28;13,15;13,80;13,05;13,80;31.827;426.544
2019-10-25;13,35;13,40;13,15;13,20;8.084;107.139
2019-10-24;13,35;13,65;13,05;13,15;20.915;280.212
2019-10-23;13,10;13,45;13,05;13,20;7.162;94.934
2019-10-22;13,40;13,50;13,05;13,20;12.683;168.265
2019-10-21;13,45;13,70;13,15;13,25;28.631;383.748
2019-10-18;12,95;13,05;12,75;12,80;14.199;183.777
2019-10-17;13,20;13,45;12,75;12,80;25.432;333.426
2019-10-16;12,90;13,45;12,85;13,00;35.343;463.356
2019-10-15;12,50;12,95;12,40;12,85;22.526;283.457
2019-10-14;12,75;12,90;12,40;12,40;10.035;126.699
2019-10-11;12,75;13,00;12,70;12,85;9.013;116.168
2019-10-10;12,55;12,65;12,50;12,65;879;11.053
2019-10-09;12,45;12,50;12,35;12,35;4.454;55.371
2019-10-08;12,30;12,65;12,25;12,45;14.146;174.269
2019-10-07;12,40;12,75;12,30;12,40;5.196;65.098
2019-10-04;12,35;12,55;12,35;12,40;2.404;30.005
2019-10-02;12,65;12,65;12,35;12,35;1.967;24.709
2019-10-01;12,75;12,75;12,75;12,75;123;1.568
2019-09-30;12,80;12,90;12,60;12,60;5.157;65.943
2019-09-27;12,70;12,90;12,70;12,90;659;8.470
2019-09-26;12,50;12,95;12,45;12,85;6.922;88.763
2019-09-25;12,45;12,55;12,35;12,35;521;6.502
2019-09-24;12,55;12,70;12,50;12,50;3.378;42.706
2019-09-23;12,80;12,85;12,35;12,50;10.410;130.980
2019-09-20;12,70;12,80;12,60;12,75;1.055;13.400
2019-09-19;12,70;12,80;12,55;12,70;6.836;86.787
2019-09-18;12,90;12,90;12,60;12,65;2.401;30.590
2019-09-17;12,55;12,95;12,50;12,80;11.113;141.268
2019-09-16;12,35;12,70;12,20;12,65;4.555;56.467
2019-09-13;12,40;12,65;12,15;12,25;15.759;194.601
2019-09-12;12,50;12,55;12,30;12,30;13.534;168.500
2019-09-11;12,20;12,25;12,10;12,20;66.264;809.930
2019-09-10;12,15;12,35;11,95;12,05;23.777;286.943
2019-09-09;12,35;12,40;12,15;12,20;21.196;260.018
2019-09-06;12,35;12,40;12,15;12,25;4.015;49.277
2019-09-05;12,55;12,55;12,25;12,25;12.323;152.858
2019-09-04;12,45;12,60;12,30;12,35;7.429;92.453
2019-09-03;12,50;12,50;12,15;12,15;3.026;37.231
2019-09-02;12,65;12,75;12,05;12,25;12.387;153.054
2019-08-30;12,85;12,90;12,60;12,60;4.617;59.100
2019-08-29;12,75;12,95;12,70;12,75;7.157;91.958
2019-08-28;12,90;12,95;12,75;12,75;3.810;48.968
2019-08-27;12,60;13,05;12,60;13,05;8.310;107.613
2019-08-26;12,70;12,70;12,25;12,50;14.181;176.723
2019-08-23;12,55;12,65;12,50;12,65;3.453;43.521
2019-08-22;12,65;12,75;12,55;12,60;3.700;46.856
2019-08-21;12,75;12,90;12,55;12,65;6.572;83.525
2019-08-20;12,75;12,75;12,50;12,60;5.764;73.240
2019-08-19;12,40;12,80;12,40;12,70;6.048;76.041
2019-08-16;11,95;12,25;11,90;12,25;21.554;258.607
2019-08-15;12,70;12,75;11,60;11,85;12.452;151.059
2019-08-14;12,75;12,85;12,60;12,70;7.573;96.529
2019-08-13;12,90;13,00;12,65;12,90;7.055;90.213
2019-08-12;13,15;13,45;12,90;13,10;9.538;124.519
2019-08-09;13,55;13,55;12,90;13,00;19.284;251.845
2019-08-08;13,00;13,45;13,00;13,45;3.651;48.456
2019-08-07;13,30;13,55;13,10;13,10;5.159;68.540
2019-08-06;13,25;13,35;13,25;13,35;3.809;50.678
2019-08-05;13,40;13,40;13,05;13,25;9.212;121.695
2019-08-02;13,50;13,50;13,25;13,40;11.980;160.324
2019-08-01;13,20;13,50;13,15;13,30;1.686;22.633
2019-07-31;13,40;13,40;13,25;13,40;3.444;46.023
2019-07-30;13,50;13,65;13,40;13,45;4.951;66.801
2019-07-29;13,70;13,75;13,40;13,50;9.570;130.085
2019-07-26;13,40;13,85;13,40;13,50;11.173;152.234
2019-07-25;13,45;14,30;13,40;13,40;23.306;323.334
2019-07-24;13,60;13,70;13,35;13,55;16.434;223.362
2019-07-23;13,90;13,90;13,60;13,75;5.913;81.154
2019-07-22;13,95;14,00;13,60;13,75;4.036;55.293
2019-07-19;13,85;13,85;13,60;13,80;3.524;48.341
2019-07-18;14,05;14,05;13,80;13,80;5.129;71.434
2019-07-17;14,05;14,40;13,75;14,40;21.255;297.850
2019-07-16;14,30;14,45;14,10;14,25;8.758;125.019
2019-07-15;14,75;14,75;14,30;14,45;10.348;149.355
2019-07-12;14,60;14,80;14,60;14,75;2.822;41.628
2019-07-11;14,80;14,80;14,65;14,65;648;9.575
2019-07-10;14,90;14,95;14,60;14,70;5.092;75.216
2019-07-09;14,95;15,05;14,85;14,85;2.381;35.592
2019-07-08;14,85;15,00;14,85;15,00;3.122;46.713
2019-07-05;14,95;15,10;14,80;14,90;6.371;95.182
2019-07-04;15,00;15,00;14,85;14,90;3.181;47.490
2019-07-03;14,95;15,00;14,80;14,95;2.845;42.243
2019-07-02;14,95;14,95;14,90;14,95;1.129;16.854
2019-07-01;15,00;15,00;14,75;14,90;4.895;72.952
2019-06-28;14,90;14,95;14,80;14,90;1.306;19.443
2019-06-27;14,30;14,95;14,30;14,90;4.473;65.528
2019-06-26;14,50;14,60;14,30;14,50;5.561;80.607
2019-06-25;14,80;14,80;14,55;14,65;3.127;45.854
2019-06-24;14,60;14,95;14,55;14,90;5.270;77.547
2019-06-21;14,40;14,70;14,20;14,70;7.263;105.879
2019-06-20;13,70;14,35;13,70;14,35;7.276;101.477
2019-06-19;13,90;13,90;13,55;13,70;3.167;43.401
2019-06-18;13,60;13,75;13,55;13,75;2.766;37.669
2019-06-17;13,75;13,75;13,50;13,60;3.146;42.873
2019-06-14;13,40;13,80;13,40;13,75;6.027;81.500
2019-06-13;13,85;13,85;13,40;13,40;3.073;41.666
2019-06-12;13,75;13,90;13,75;13,85;637;8.795
2019-06-11;14,10;14,10;13,75;13,80;1.204;16.748
2019-06-07;14,10;14,10;13,95;14,00;54;760
2019-06-06;14,20;14,30;13,90;14,05;6.267;88.013
2019-06-05;13,75;14,15;13,70;14,10;6.150;85.072
2019-06-04;13,80;13,85;13,60;13,60;9.622;132.319
2019-06-03;13,65;13,85;13,60;13,70;3.734;51.044
2019-05-31;13,75;14,05;13,60;13,60;3.806;52.457
2019-05-30;13,70;13,70;13,65;13,65;2.288;31.346
2019-05-29;14,50;14,50;13,55;13,65;13.828;195.164
2019-05-28;14,00;14,45;13,90;14,45;4.688;65.923
2019-05-27;13,40;14,00;13,40;14,00;8.497;116.605
2019-05-24;13,60;13,75;13,40;13,40;4.974;67.271
2019-05-23;13,75;13,80;13,60;13,60;2.564;35.032
2019-05-22;13,95;13,95;13,80;13,85;1.345;18.660
2019-05-21;13,85;13,90;13,75;13,75;2.296;31.725
2019-05-20;14,25;14,30;13,65;13,80;12.434;175.481
2019-05-17;13,15;14,00;13,15;13,95;7.127;96.243
2019-05-16;13,00;13,10;12,90;13,00;26.471;344.360
2019-05-15;13,05;13,10;12,85;13,00;21.683;281.897
2019-05-14;13,45;13,60;12,90;12,95;40.611;537.967
2019-05-13;13,80;14,00;13,50;13,50;3.799;51.840
2019-05-10;13,90;14,05;13,80;13,95;2.896;40.313
2019-05-09;14,05;14,20;13,80;13,80;8.598;120.334
2019-05-08;14,15;14,30;14,15;14,15;1.561;22.124
2019-05-07;13,95;14,25;13,95;14,25;9.803;137.559
2019-05-06;13,90;14,00;13,80;13,95;3.559;49.558
2019-05-03;14,30;14,35;13,90;13,90;8.337;118.457
2019-05-02;14,55;14,55;14,20;14,30;13.457;192.674
2019-04-30;14,00;14,50;13,85;14,50;69.150;973.923
2019-04-29;14,50;15,00;14,10;14,15;28.231;407.103
2019-04-26;14,35;14,50;14,35;14,35;3.035;43.786
2019-04-25;14,50;14,65;14,25;14,40;11.426;164.980
2019-04-24;14,90;15,00;14,55;14,65;8.390;123.889
2019-04-23;14,95;15,00;14,90;14,90;2.029;30.351
2019-04-18;15,25;15,35;14,85;14,95;13.508;203.653
2019-04-17;15,20;15,25;15,10;15,25;1.296;19.708
2019-04-16;15,10;15,35;15,10;15,10;2.778;42.155
2019-04-15;15,10;15,20;15,05;15,20;5.221;79.123
2019-04-12;15,10;15,15;15,00;15,10;5.365;80.636
2019-04-11;15,00;15,10;15,00;15,10;4.588;69.040
2019-04-10;14,90;15,00;14,80;14,80;2.153;32.007
2019-04-09;15,20;15,25;14,90;14,90;5.399;81.791
2019-04-08;15,30;15,50;15,05;15,05;6.713;103.083
2019-04-05;15,05;15,30;15,05;15,30;8.177;124.490
2019-04-04;15,05;15,25;14,60;15,05;15.056;224.852
2019-04-03;15,00;15,45;15,00;15,25;6.990;106.239
2019-04-02;15,10;15,30;14,90;14,90;6.155;93.002
2019-04-01;15,45;15,45;15,05;15,10;8.328;126.682
2019-03-29;15,38;15,56;15,36;15,48;3.588;55.619
2019-03-28;15,60;15,76;15,34;15,34;12.537;195.284
2019-03-27;15,40;15,70;15,40;15,70;5.941;92.767
2019-03-26;15,32;15,50;15,14;15,16;4.714;72.186
2019-03-25;15,44;15,54;15,22;15,54;7.312;112.500
2019-03-22;15,70;15,70;15,36;15,42;7.637;119.370
2019-03-21;15,88;15,98;15,50;15,54;14.322;224.965
2019-03-20;16,36;16,42;15,68;15,68;9.352;150.428
2019-03-19;16,28;16,56;16,18;16,38;6.966;114.440
2019-03-18;15,88;16,32;15,74;16,30;4.998;80.667
2019-03-15;15,78;15,94;15,64;15,80;11.363;179.558
2019-03-14;16,00;16,10;15,60;15,60;8.461;134.820
2019-03-13;16,06;16,20;15,72;15,94;8.831;140.683
2019-03-12;16,32;16,32;15,96;16,10;2.150;34.694
2019-03-11;16,40;16,40;15,90;16,04;5.379;86.451
2019-03-08;15,82;17,10;15,82;16,34;28.015;461.070
2019-03-07;16,32;16,80;15,82;15,98;23.445;382.998
2019-03-06;15,92;16,34;15,92;16,34;6.484;104.530
2019-03-05;16,08;16,08;15,84;15,96;5.338;85.157
