Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-02-28;15,25;15,65;14,90;15,10;11.504;173.624
2020-02-27;15,50;15,75;15,50;15,55;4.843;75.216
2020-02-26;15,20;16,05;15,10;15,50;8.925;137.968
2020-02-25;16,20;16,20;15,80;15,90;12.819;203.282
2020-02-24;16,30;16,30;15,75;16,10;3.134;50.403
2020-02-21;16,75;17,00;16,75;16,95;1.503;25.195
2020-02-20;16,70;16,80;16,70;16,75;1.631;27.293
2020-02-19;16,70;17,20;16,60;16,85;8.391;141.186
2020-02-18;16,80;16,90;16,70;16,85;9.654;162.536
2020-02-17;16,90;17,00;16,70;16,90;2.305;38.956
2020-02-14;16,65;16,80;16,35;16,80;1.973;32.829
2020-02-13;16,75;17,60;16,50;16,50;15.229;260.577
2020-02-12;16,00;16,65;15,75;16,50;7.363;119.425
2020-02-11;15,90;16,00;15,75;15,90;2.815;44.434
2020-02-10;15,95;16,00;15,65;15,80;2.383;37.751
2020-02-07;16,00;16,10;15,85;15,90;7.044;112.836
2020-02-06;16,00;16,10;16,00;16,05;2.791;44.686
2020-02-05;16,00;16,10;16,00;16,05;2.446;39.136
2020-02-04;16,00;16,45;16,00;16,00;4.518;72.604
2020-02-03;16,30;16,30;15,85;15,90;11.558;187.379
2020-01-31;16,00;16,15;15,75;16,15;2.401;38.484
2020-01-30;16,05;16,10;15,60;15,85;8.051;128.536
2020-01-29;16,70;17,20;15,90;16,30;11.382;187.273
2020-01-28;17,20;17,25;16,70;16,75;3.645;62.222
2020-01-27;17,05;17,25;16,70;17,25;2.035;34.776
2020-01-24;17,50;17,50;17,30;17,30;358;6.203
2020-01-23;17,05;17,60;17,00;17,35;1.135;19.742
2020-01-22;17,60;17,95;17,10;17,30;1.248;21.782
2020-01-21;17,10;17,80;17,05;17,80;1.931;33.690
2020-01-20;17,00;17,35;16,95;17,35;2.567;43.853
2020-01-17;16,85;17,00;16,50;17,00;3.298;55.895
2020-01-16;16,95;17,30;16,85;17,10;2.416;41.103
2020-01-15;17,05;17,10;16,65;16,85;3.353;56.297
2020-01-14;16,85;17,00;16,35;16,85;1.334;22.355
2020-01-13;17,50;17,50;16,65;16,85;4.942;83.476
2020-01-10;17,10;17,35;17,05;17,35;3.142;53.939
