Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2015-11-20;15,85;16,10;15,825;15,90;25.886;412.664
2015-11-19;15,99;16,05;15,85;15,865;12.051;192.546
2015-11-18;16,00;16,05;15,935;15,98;5.592;89.380
2015-11-17;15,90;15,965;15,895;15,91;10.921;173.984
2015-11-16;15,82;15,995;15,82;15,895;3.769;59.841
2015-11-13;15,86;16,00;15,86;15,86;18.587;296.506
2015-11-12;15,82;15,975;15,82;15,975;17.310;275.696
2015-11-11;15,66;15,885;15,66;15,82;4.567;71.950
2015-11-10;15,65;15,785;15,55;15,73;13.244;207.141
2015-11-09;15,70;15,845;15,66;15,66;12.718;199.853
2015-11-06;15,78;15,79;15,67;15,765;6.225;98.001
2015-11-05;15,75;15,755;15,675;15,715;11.950;187.765
2015-11-04;15,805;15,825;15,555;15,69;16.900;265.973
2015-11-03;15,95;15,955;15,715;15,75;25.648;406.764
2015-11-02;15,98;16,00;15,865;15,88;17.935;285.250
2015-10-30;15,90;16,00;15,83;15,925;3.323;52.810
2015-10-29;15,90;15,90;15,765;15,83;4.297;68.001
2015-10-28;15,85;16,00;15,67;15,88;9.858;156.010
2015-10-27;15,88;15,96;15,75;15,88;56.601;896.281
2015-10-26;15,92;15,92;15,65;15,75;10.932;172.006
2015-10-23;15,945;15,945;15,75;15,80;6.802;107.706
2015-10-22;16,00;16,05;15,89;15,905;25.387;403.725
2015-10-21;15,995;16,045;15,905;15,97;1.855;29.678
2015-10-20;15,70;16,005;15,70;15,98;2.101;33.456
2015-10-19;15,705;16,075;15,705;16,075;14.269;227.588
2015-10-16;15,60;15,80;15,60;15,755;6.441;101.209
2015-10-15;15,60;15,70;15,51;15,60;11.859;185.272
2015-10-14;15,52;15,68;15,51;15,51;16.803;262.091
2015-10-13;15,585;15,595;15,525;15,53;2.863;44.537
2015-10-12;15,56;15,70;15,50;15,61;10.138;158.165
2015-10-09;15,615;15,80;15,50;15,655;7.820;122.556
2015-10-08;15,70;15,74;15,695;15,735;1.912;30.043
2015-10-07;15,745;15,745;15,62;15,67;705;11.040
2015-10-06;15,78;15,78;15,615;15,615;2.047;32.130
2015-10-05;15,42;15,80;15,30;15,785;14.111;220.260
2015-10-02;15,455;15,61;15,315;15,435;14.817;228.098
2015-10-01;15,455;15,845;15,40;15,45;21.839;340.055
2015-09-30;15,50;15,53;15,40;15,40;2.559;39.505
2015-09-29;15,35;15,80;15,35;15,50;9.615;150.430
2015-09-28;15,40;15,565;15,28;15,30;16.281;250.088
2015-09-25;15,445;15,59;15,20;15,56;7.765;118.977
2015-09-24;15,67;15,69;15,53;15,60;4.647;72.604
2015-09-23;15,57;15,695;15,25;15,555;10.521;162.624
2015-09-22;15,765;15,80;15,605;15,655;4.455;69.774
2015-09-21;15,67;15,845;15,665;15,76;4.692;73.962
2015-09-18;15,865;15,865;15,64;15,64;6.066;95.408
2015-09-17;15,68;15,89;15,60;15,89;8.181;129.159
2015-09-16;15,70;15,745;15,68;15,70;2.727;42.810
2015-09-15;15,755;15,84;15,715;15,73;1.252;19.764
2015-09-14;15,75;15,88;15,71;15,83;4.348;68.510
2015-09-11;16,00;16,00;15,75;15,755;9.722;154.797
2015-09-10;15,585;15,99;15,57;15,99;2.600;41.104
2015-09-09;15,80;15,80;15,51;15,51;2.225;34.823
2015-09-08;15,705;15,72;15,575;15,575;1.833;28.638
2015-09-07;15,66;15,66;15,60;15,605;2.212;34.548
2015-09-04;15,78;15,78;15,50;15,505;3.750;58.529
2015-09-03;15,555;15,66;15,365;15,425;9.159;142.332
2015-09-02;16,00;16,00;15,395;15,59;15.656;243.965
2015-09-01;15,79;15,79;15,45;15,73;2.613;40.864
2015-08-31;15,40;15,97;15,40;15,97;7.891;124.942
2015-08-28;15,80;15,80;15,57;15,61;2.086;32.745
2015-08-27;15,42;15,42;15,165;15,35;9.422;143.877
2015-08-26;14,60;15,195;14,60;14,90;11.839;175.607
2015-08-25;14,50;15,295;14,475;14,70;32.420;475.748
2015-08-24;15,10;15,30;14,35;14,35;43.031;636.279
2015-08-21;15,40;15,42;15,10;15,10;13.792;210.885
2015-08-20;16,10;16,10;15,45;15,45;10.467;162.961
2015-08-19;15,655;16,25;15,655;16,15;22.518;359.997
2015-08-18;15,75;16,245;15,50;15,655;16.986;267.244
2015-08-17;15,70;15,75;15,585;15,585;16.519;259.464
2015-08-14;15,305;15,57;15,305;15,49;3.021;46.909
2015-08-13;15,15;15,385;15,15;15,315;2.503;38.361
2015-08-12;15,45;15,45;15,10;15,25;9.098;138.714
2015-08-11;15,59;15,59;15,50;15,50;3.116;48.380
2015-08-10;15,21;15,60;15,21;15,50;8.384;129.915
2015-08-07;15,445;15,57;15,265;15,375;25.305;391.217
2015-08-06;14,735;15,80;14,735;15,205;37.460;576.751
2015-08-05;14,90;15,00;14,65;14,65;11.737;173.600
2015-08-04;14,75;14,84;14,75;14,81;4.410;65.291
2015-08-03;14,73;14,80;14,70;14,745;1.303;19.235
2015-07-31;14,70;14,775;14,675;14,675;7.250;106.577
2015-07-30;14,675;14,765;14,65;14,685;13.401;196.944
2015-07-29;14,585;14,755;14,56;14,66;9.250;135.599
2015-07-28;14,64;14,75;14,56;14,56;29.797;435.903
2015-07-27;14,65;14,79;14,65;14,65;11.571;170.007
2015-07-24;14,88;14,88;14,655;14,735;4.095;60.506
2015-07-23;14,65;14,78;14,64;14,73;6.880;101.113
2015-07-22;14,675;14,675;14,60;14,60;3.533;51.584
2015-07-21;14,90;14,90;14,60;14,605;7.444;109.334
2015-07-20;14,505;14,88;14,24;14,80;5.632;82.761
2015-07-17;14,78;14,78;14,38;14,465;2.983;43.439
2015-07-16;14,05;14,40;13,955;14,40;8.519;120.742
2015-07-15;14,00;14,185;13,595;13,80;8.787;121.129
2015-07-14;14,15;14,315;13,895;13,905;15.372;216.561
2015-07-13;13,50;14,275;13,50;14,05;21.394;299.031
2015-07-10;13,495;13,495;13,395;13,45;5.126;68.940
2015-07-09;13,515;13,52;13,20;13,36;8.300;111.108
2015-07-08;13,55;13,55;13,30;13,30;60.692;811.913
2015-07-07;13,24;13,57;13,16;13,40;18.210;242.691
2015-07-06;13,295;13,31;13,10;13,24;11.128;147.270
2015-07-03;13,35;13,505;13,25;13,25;5.091;68.026
2015-07-02;13,22;13,265;13,075;13,255;35.787;472.718
2015-07-01;12,70;13,35;12,70;12,79;41.782;541.333
2015-06-30;12,87;13,06;12,19;12,41;17.177;214.189
2015-06-29;12,99;13,34;12,72;12,87;59.419;771.423
2015-06-26;12,54;13,04;12,205;13,04;36.700;466.655
2015-06-25;12,50;12,50;12,115;12,50;18.508;227.702
2015-06-24;12,55;12,55;12,31;12,34;10.776;133.195
2015-06-23;12,45;12,69;12,33;12,48;26.581;332.892
2015-06-22;12,15;12,47;12,045;12,35;26.827;328.296
2015-06-19;12,245;12,405;11,915;11,915;37.293;448.867
2015-06-18;12,60;12,60;11,845;12,075;48.503;590.497
2015-06-17;12,59;12,695;12,375;12,69;21.324;267.704
2015-06-16;12,605;12,645;12,435;12,515;6.896;86.411
2015-06-15;13,11;13,285;12,36;12,60;46.594;587.555
2015-06-12;13,10;13,33;13,01;13,085;21.493;283.216
2015-06-11;13,35;13,35;12,88;13,10;26.041;339.405
2015-06-10;13,30;13,345;13,155;13,20;12.228;161.797
2015-06-09;12,85;13,32;12,85;13,20;32.216;424.051
2015-06-08;13,24;13,63;12,835;12,91;46.193;608.951
2015-06-05;13,48;13,59;12,815;13,35;58.710;774.401
2015-06-04;13,68;13,99;12,99;13,60;292.397;3.940.877
2015-06-03;16,045;16,045;13,80;14,00;156.000;2.252.899
2015-06-02;17,50;17,50;15,57;16,02;109.884;1.771.151
2015-06-01;17,53;18,075;17,21;17,40;17.578;308.654
2015-05-29;17,50;17,755;17,50;17,52;14.894;261.361
2015-05-28;17,41;17,66;17,40;17,66;10.558;184.818
2015-05-27;17,425;17,575;17,305;17,425;29.374;512.273
2015-05-26;17,50;17,55;17,40;17,48;13.402;234.271
2015-05-22;17,65;17,805;17,415;17,55;31.321;549.564
2015-05-21;18,05;18,17;17,70;17,78;85.656;1.540.619
2015-05-20;18,465;18,705;17,95;17,95;56.277;1.019.277
2015-05-19;18,88;19,565;18,595;18,60;33.032;625.681
2015-05-18;18,00;19,05;18,00;19,05;15.441;287.594
2015-05-15;18,23;18,43;17,72;18,105;36.148;654.210
2015-05-14;18,61;18,61;18,10;18,10;10.077;185.483
2015-05-13;17,875;18,45;17,875;18,45;96.099;1.733.396
2015-05-12;18,50;18,50;17,82;18,00;24.400;440.586
2015-05-11;18,50;19,05;18,50;18,71;29.551;558.668
2015-05-08;18,61;19,065;18,61;18,68;36.098;682.688
2015-05-07;18,65;18,925;18,31;18,77;260.546;4.824.160
2015-05-06;18,865;18,865;18,685;18,685;35.556;665.958
2015-05-05;19,175;19,275;18,865;18,865;41.583;791.644
2015-05-04;19,28;19,345;19,055;19,17;58.786;1.129.540
