Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-02-28;53,80;54,59;52,36;53,08;11.346.505;604.297.533
2020-02-27;56,40;56,91;55,27;55,84;7.550.780;423.370.529
2020-02-26;57,35;57,63;55,82;57,42;7.274.610;415.099.967
2020-02-25;59,13;59,19;57,43;57,59;4.988.903;289.863.498
2020-02-24;59,56;59,74;58,03;58,73;6.569.425;385.323.076
2020-02-21;61,22;61,31;60,25;60,74;3.912.123;237.805.648
2020-02-20;61,08;61,82;60,94;61,40;2.561.445;157.363.648
2020-02-19;61,20;61,45;60,88;61,10;2.302.668;140.745.024
2020-02-18;61,11;61,50;60,81;61,00;3.411.602;208.344.240
2020-02-17;61,94;62,28;61,43;61,87;2.971.307;183.779.024
2020-02-14;62,62;63,20;62,51;62,51;2.282.381;143.334.016
2020-02-13;63,56;63,74;62,29;62,68;3.526.875;221.361.552
2020-02-12;63,31;64,42;63,16;63,86;2.611.126;167.065.584
2020-02-11;63,09;63,48;62,75;63,17;2.549.049;161.044.272
2020-02-10;62,39;62,79;62,22;62,69;1.896.644;118.721.032
2020-02-07;62,57;62,71;61,96;62,44;2.651.134;165.222.688
2020-02-06;63,54;64,31;62,81;62,94;3.005.582;190.536.032
2020-02-05;62,84;63,04;62,61;62,89;3.217.545;201.812.176
2020-02-04;61,10;62,27;60,87;61,99;3.205.911;198.139.168
2020-02-03;61,22;61,48;60,56;60,70;3.027.807;184.222.240
2020-01-31;62,33;62,47;60,84;61,07;3.754.056;230.153.120
2020-01-30;62,50;63,02;61,83;62,00;3.644.853;226.925.936
2020-01-29;62,87;63,42;62,68;63,06;1.827.442;115.261.400
2020-01-28;62,50;63,04;61,84;62,84;2.592.323;162.290.144
2020-01-27;62,52;62,88;61,85;62,13;3.837.023;238.861.440
2020-01-24;63,60;64,07;63,47;63,69;2.597.486;165.724.544
2020-01-23;63,97;63,97;62,96;63,09;2.925.864;185.363.072
2020-01-22;64,90;65,00;64,08;64,16;2.224.051;143.113.920
2020-01-21;64,63;64,93;64,33;64,70;1.879.424;121.520.104
2020-01-20;64,50;65,15;64,34;64,91;1.759.143;114.088.264
2020-01-17;64,65;64,92;64,32;64,52;2.847.535;183.762.672
2020-01-16;64,26;64,83;64,11;64,39;2.069.301;133.238.192
2020-01-15;64,70;64,99;64,07;64,35;2.744.952;176.971.968
2020-01-14;65,60;65,79;64,70;64,76;3.688.288;239.710.400
2020-01-13;66,00;66,08;65,52;65,79;2.040.685;134.291.872
2020-01-10;66,39;66,57;65,83;65,83;2.208.935;146.088.560
2020-01-09;66,31;66,78;66,22;66,31;2.462.547;163.586.912
2020-01-08;65,05;66,04;65,05;65,73;3.255.451;213.406.768
2020-01-07;66,39;66,80;66,11;66,30;2.090.539;138.871.760
2020-01-06;66,25;66,40;65,13;66,27;3.487.724;229.567.328
2020-01-03;67,71;67,83;66,96;67,27;2.579.508;173.634.528
2020-01-02;67,24;68,49;67,20;68,29;2.025.939;138.182.192
2019-12-30;67,60;67,81;67,19;67,35;936.462;63.149.804
2019-12-27;67,78;67,99;67,45;67,90;1.640.149;111.246.672
2019-12-23;67,97;68,15;67,44;67,54;1.990.353;134.702.832
2019-12-20;67,30;68,18;67,16;67,94;6.814.933;463.101.888
2019-12-19;67,00;67,29;66,50;67,29;3.415.313;229.003.168
2019-12-18;67,00;67,62;66,76;67,02;2.763.132;185.482.192
2019-12-17;68,88;68,90;67,16;67,25;3.714.544;251.435.072
2019-12-16;68,76;69,08;68,71;68,85;1.809.984;124.665.864
2019-12-13;69,40;69,80;68,26;68,38;3.512.425;242.388.608
2019-12-12;67,32;68,55;67,16;68,09;2.351.807;159.619.216
2019-12-11;67,29;67,87;66,89;67,55;1.986.249;134.023.840
2019-12-10;67,57;67,69;66,08;67,35;3.071.433;205.539.696
2019-12-09;68,28;68,44;67,72;67,79;1.430.249;97.271.920
2019-12-06;68,14;68,49;67,63;68,29;2.124.549;144.735.952
2019-12-05;68,40;68,61;67,63;67,87;2.231.688;151.883.072
2019-12-04;67,45;68,47;67,33;68,35;2.044.221;139.408.016
2019-12-03;67,73;68,46;67,10;67,38;3.233.413;218.969.104
2019-12-02;68,25;69,44;67,38;67,58;3.140.734;214.178.192
