Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2017-04-26;25,78;25,94;25,78;25,865;19.939;515.244
2017-04-25;25,76;25,93;25,70;25,795;18.701;482.716
2017-04-24;25,705;25,91;25,665;25,90;57.953;1.496.984
2017-04-21;25,81;25,81;25,55;25,71;24.409;627.018
2017-04-20;25,84;25,84;25,68;25,71;20.744;533.957
2017-04-19;25,825;25,91;25,68;25,775;19.320;498.675
2017-04-18;25,695;26,05;25,685;25,79;43.050;1.114.110
2017-04-13;25,72;25,81;25,55;25,70;98.651;2.532.902
2017-04-12;25,835;25,895;25,745;25,78;54.804;1.415.451
2017-04-11;25,71;25,855;25,69;25,73;32.425;836.006
2017-04-10;25,875;25,89;25,69;25,70;43.038;1.108.042
2017-04-07;25,845;25,87;25,675;25,795;26.966;694.830
2017-04-06;25,82;25,89;25,70;25,735;40.172;1.035.869
2017-04-05;25,92;25,92;25,71;25,75;90.413;2.333.008
2017-04-04;25,77;25,92;25,715;25,82;35.320;911.295
2017-04-03;25,905;25,925;25,745;25,77;30.335;782.718
2017-03-31;25,77;25,84;25,675;25,72;26.200;674.459
2017-03-30;25,80;25,845;25,635;25,72;36.957;951.393
2017-03-29;25,695;25,81;25,65;25,795;48.577;1.251.320
2017-03-28;25,80;25,80;25,65;25,68;31.466;808.108
2017-03-27;25,725;25,825;25,58;25,72;24.435;629.401
2017-03-24;25,72;25,78;25,65;25,65;45.499;1.170.774
2017-03-23;25,56;25,785;25,515;25,75;77.937;1.999.818
2017-03-22;25,555;25,62;25,52;25,59;24.135;617.303
2017-03-21;25,67;25,675;25,535;25,555;34.069;871.686
2017-03-20;25,62;25,70;25,60;25,62;71.891;1.842.561
2017-03-17;25,73;25,75;25,62;25,655;24.189;620.957
2017-03-16;25,53;25,69;25,53;25,68;44.600;1.143.699
2017-03-15;25,655;25,74;25,55;25,70;18.507;474.881
2017-03-14;25,71;25,775;25,58;25,685;24.131;619.750
2017-03-13;25,65;25,72;25,585;25,585;53.215;1.364.314
2017-03-10;25,75;25,75;25,60;25,68;63.422;1.628.781
2017-03-09;25,655;25,715;25,525;25,61;74.106;1.898.471
2017-03-08;25,75;25,75;25,57;25,60;45.583;1.168.684
2017-03-07;25,72;25,79;25,70;25,70;39.573;1.018.225
2017-03-06;25,685;25,80;25,685;25,745;49.767;1.282.523
2017-03-03;25,715;25,845;25,64;25,725;48.086;1.237.250
2017-03-02;25,835;25,835;25,59;25,74;43.159;1.110.952
