Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-02-28;7,248;7,31;6,87;7,00;6.195.229;43.954.088
2020-02-27;8,14;8,14;7,608;7,694;6.265.299;48.857.324
2020-02-26;8,514;8,578;8,214;8,47;4.361.633;36.793.190
2020-02-25;9,20;9,25;8,736;8,736;3.181.921;28.299.437
2020-02-24;9,50;9,524;9,01;9,15;4.751.247;43.641.136
2020-02-21;10,08;10,205;10,075;10,155;653.858;6.630.530
2020-02-20;10,275;10,28;10,065;10,165;1.055.959;10.747.230
2020-02-19;10,285;10,405;10,26;10,26;741.195;7.651.061
2020-02-18;10,395;10,475;10,21;10,30;1.615.006;16.641.432
2020-02-17;10,79;10,80;10,57;10,57;1.269.439;13.532.397
2020-02-14;10,865;10,955;10,705;10,785;969.397;10.493.683
2020-02-13;10,90;11,01;10,445;10,845;2.230.090;23.858.226
2020-02-12;10,935;11,14;10,89;11,01;2.589.634;28.524.938
2020-02-11;10,52;11,36;10,52;11,36;8.294.259;92.925.800
2020-02-10;10,22;10,24;10,09;10,11;1.311.437;13.311.814
2020-02-07;10,275;10,275;9,944;10,15;1.719.169;17.387.062
2020-02-06;10,055;10,12;9,992;10,005;1.667.434;16.749.706
2020-02-05;9,91;9,976;9,852;9,906;1.671.963;16.547.605
2020-02-04;9,46;9,646;9,41;9,622;1.409.811;13.502.182
2020-02-03;9,348;9,42;9,222;9,394;1.426.236;13.322.335
2020-01-31;9,408;9,43;9,252;9,252;1.588.367;14.780.697
2020-01-30;9,50;9,61;9,344;9,372;1.270.949;11.980.688
2020-01-29;9,71;9,794;9,502;9,524;1.897.621;18.235.438
2020-01-28;9,734;9,734;9,58;9,63;964.290;9.314.140
2020-01-27;9,60;9,824;9,60;9,72;1.624.807;15.746.260
2020-01-24;10,10;10,135;9,938;9,94;1.031.157;10.316.637
2020-01-23;9,934;10,025;9,86;9,956;1.202.577;11.961.761
2020-01-22;10,37;10,38;9,682;9,932;3.750.007;37.363.964
2020-01-21;10,40;10,575;10,31;10,40;1.382.008;14.414.880
