Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-02-28;64,58;65,38;62,48;63,48;330.898;21.050.169
2020-02-27;68,30;68,38;66,00;66,76;317.766;21.344.293
2020-02-26;69,38;69,86;67,24;69,66;211.985;14.615.469
2020-02-25;71,76;72,22;69,78;69,86;149.763;10.550.643
2020-02-24;71,18;71,40;69,84;71,38;205.480;14.559.273
2020-02-21;74,52;75,18;73,10;73,56;168.898;12.492.931
2020-02-20;70,70;76,16;70,36;74,98;460.285;34.120.044
2020-02-19;70,98;71,32;70,12;70,64;96.293;6.797.126
2020-02-18;71,06;71,52;70,28;70,50;96.624;6.826.619
2020-02-17;71,00;72,08;71,00;71,74;83.735;6.004.812
2020-02-14;71,88;72,34;71,30;71,30;106.257;7.619.192
2020-02-13;71,00;72,44;70,62;71,90;188.942;13.550.207
2020-02-12;70,08;72,60;69,66;72,54;271.760;19.547.576
2020-02-11;66,80;70,68;66,80;70,18;336.295;23.356.676
2020-02-10;66,02;66,68;65,44;66,08;81.171;5.354.418
2020-02-07;68,22;68,22;66,06;66,68;169.914;11.351.434
2020-02-06;66,98;69,36;66,98;68,54;267.597;18.321.532
2020-02-05;67,06;67,84;66,54;66,96;267.202;17.909.528
2020-02-04;64,58;65,32;64,06;64,84;142.748;9.260.691
2020-02-03;63,82;64,92;62,86;63,76;166.405;10.606.833
2020-01-31;66,80;66,80;64,34;65,12;182.300;11.868.800
2020-01-30;66,70;67,80;65,26;66,38;227.238;15.146.484
2020-01-29;63,14;67,80;63,10;66,08;369.640;24.370.896
2020-01-28;62,80;63,70;61,72;62,98;409.952;25.791.294
2020-01-27;60,86;61,30;59,58;60,02;327.904;19.687.776
2020-01-24;62,88;63,06;61,42;61,60;135.332;8.383.680
2020-01-23;63,26;63,34;61,74;62,02;135.966;8.498.056
2020-01-22;63,86;64,36;62,96;63,32;118.069;7.483.788
2020-01-21;63,80;64,92;62,90;64,16;119.334;7.626.614
2020-01-20;64,64;64,64;63,32;63,60;147.602;9.395.932
2020-01-17;66,08;66,52;64,14;64,34;206.365;13.349.208
2020-01-16;63,70;66,96;63,70;65,94;298.561;19.655.430
2020-01-15;64,22;64,32;63,44;63,72;127.818;8.158.774
2020-01-14;64,70;64,86;63,52;64,04;111.093;7.122.025
2020-01-13;65,84;65,84;64,16;64,36;97.403;6.297.406
2020-01-10;65,10;65,88;63,70;65,12;155.092;10.087.841
2020-01-09;66,86;67,00;64,72;64,84;113.771;7.449.421
2020-01-08;64,50;66,88;64,10;66,02;149.161;9.822.597
2020-01-07;65,30;65,98;64,60;64,94;105.455;6.858.228
2020-01-06;66,40;66,40;63,48;65,22;200.779;12.968.617
2020-01-03;67,96;67,96;66,26;66,72;96.410;6.447.538
2020-01-02;67,60;69,90;67,60;68,34;103.455;7.116.707
2019-12-30;68,24;68,62;67,60;67,64;48.881;3.327.852
2019-12-27;68,56;69,34;68,12;68,66;53.287;3.656.485
2019-12-23;68,62;69,44;68,28;68,38;66.051;4.542.002
2019-12-20;67,72;68,78;67,62;68,74;119.105;8.158.039
2019-12-19;67,96;67,96;66,46;67,54;152.538;10.270.127
2019-12-18;67,74;68,26;67,08;67,46;118.757;8.025.612
2019-12-17;69,04;69,08;67,70;68,20;140.663;9.598.769
2019-12-16;68,64;69,62;68,56;69,28;105.205;7.285.641
2019-12-13;68,46;70,14;68,36;68,42;264.137;18.244.656
2019-12-12;64,48;67,64;64,46;67,64;271.702;18.136.104
2019-12-11;64,44;65,04;64,20;64,82;178.344;11.543.500
2019-12-10;63,42;64,56;62,12;64,56;200.893;12.785.115
2019-12-09;63,04;64,86;62,86;63,72;167.072;10.673.823
2019-12-06;62,00;64,54;60,34;64,26;499.336;31.509.538
2019-12-05;63,14;64,32;60,82;62,20;409.080;25.591.580
2019-12-04;61,88;63,06;61,88;62,54;172.421;10.772.731
2019-12-03;63,36;63,36;61,24;61,94;178.242;11.040.614
2019-12-02;62,80;64,14;61,96;62,66;161.040;10.165.308
2019-11-29;63,24;63,48;62,52;62,60;108.891;6.835.734
2019-11-28;62,90;63,44;62,22;63,44;102.728;6.492.006
2019-11-27;64,50;64,70;62,78;63,16;191.501;12.139.764
2019-11-26;64,48;64,48;63,90;64,24;562.155;36.108.252
2019-11-25;64,54;65,08;64,02;64,48;123.363;7.963.508
2019-11-22;63,58;64,84;63,00;63,98;141.421;9.061.860
2019-11-21;62,76;64,06;62,00;63,60;175.759;11.127.134
2019-11-20;62,66;63,56;62,06;63,00;203.489;12.804.741
2019-11-19;63,74;63,74;62,02;62,72;253.449;15.886.272
2019-11-18;64,30;65,02;62,56;63,30;189.227;11.990.377
2019-11-15;64,00;64,86;63,20;63,86;363.215;23.187.336
2019-11-14;67,00;67,02;64,74;64,88;283.730;18.561.542
2019-11-13;69,00;69,28;66,90;67,26;221.094;14.952.626
