Activa Resources	747137	DE0007471377
Air Berlin	AB1000	GB00B128C026
Alphaform	548795	DE0005487953
ARCANDOR	627500	DE0006275001
Beate Uhse	755140	DE0007551400
BÖWE SYSTEC	523970	DE0005239701
Colonia Real Estate	633800	DE0006338007
Constantin	914720	DE0009147207
curasan	549453	DE0005494538
Diebold Nixdorf	A0CAYB	DE000A0CAYB2
Funkwerk	575314	DE0005753149
GAGFAH	A0LBDT	LU0269583422
GERRY WEBER	330410	DE0003304101
GfK	587530	DE0005875306
Gigaset	515600	DE0005156004
Global PVQ	555866	DE0005558662
Matica Technologies	A0JELZ	DE000A0JELZ5
McKesson Europe (ex Celesio)	CLS100	DE000CLS1001
msg life	513010	DE0005130108
Phoenix Solar	A0BVU9	DE000A0BVU93
Pongs Zahn	695400	DE0006954001
Pulsion Medical Systems	548790	DE0005487904
RWE vz.	703714	DE0007037145
SinnerSchrader	514190	DE0005141907
Solar-Fabrik	661471	DE0006614712
SOLON	747119	DE0007471195
TELES	745490	DE0007454902
UMS United Medical Systems International	549365	DE0005493654
Vivacon	604891	DE0006048911
Diebold Nixdorf	A0CAYB	DE000A0CAYB2


